
[00:00:00.000 --> 00:00:03.540]  今日和大家分享的人物
[00:00:03.540 --> 00:00:06.460]  就是一個人物叫施洗若翰
[00:00:06.460 --> 00:00:09.940]  去到《路加夫音》第三章
[00:00:09.940 --> 00:00:14.120]  說這個人呢
[00:00:14.120 --> 00:00:15.760]  都特別的
[00:00:15.760 --> 00:00:18.480]  這個人令我想起什麼呢
[00:00:18.480 --> 00:00:20.480]  就是為耶穌鋪路
[00:00:20.480 --> 00:00:22.480]  耶穌的先鋒
[00:00:22.480 --> 00:00:28.200]  很多人信耶穌
[00:00:28.200 --> 00:00:29.400]  很多人去教會
[00:00:29.400 --> 00:00:30.960]  很多人跟隨著
[00:00:30.960 --> 00:00:34.600]  都是有其他人影響的
[00:00:34.600 --> 00:00:37.960]  如果你坐下來想一想
[00:00:37.960 --> 00:00:40.600]  你今天坐在這裡
[00:00:40.600 --> 00:00:43.000]  你今天成為基督徒
[00:00:43.000 --> 00:00:45.000]  你今天信耶穌
[00:00:45.000 --> 00:00:47.480]  你想一想
[00:00:47.480 --> 00:00:49.040]  在這個過程
[00:00:49.040 --> 00:00:50.200]  由你不是
[00:00:50.200 --> 00:00:51.320]  到你是
[00:00:51.320 --> 00:00:52.640]  過程中間
[00:00:52.640 --> 00:00:55.480]  應該有很多人有份參與的
[00:00:57.040 --> 00:00:59.440]  我想不是很少
[00:00:59.440 --> 00:01:00.560]  我不敢說沒有
[00:01:00.560 --> 00:01:03.280]  很少人能夠成為基督徒
[00:01:03.280 --> 00:01:04.560]  他信耶穌
[00:01:04.560 --> 00:01:08.560]  完全是神直接向他啟示
[00:01:08.560 --> 00:01:11.200]  然後他就直接回教會
[00:01:11.200 --> 00:01:14.240]  沒有牽涉到其他人的參與
[00:01:14.240 --> 00:01:18.840]  我不敢說沒有
[00:01:18.840 --> 00:01:20.520]  這些人世界裡面可能有
[00:01:20.520 --> 00:01:22.360]  但是一般來說
[00:01:22.360 --> 00:01:24.680]  我想我們很多的基督徒
[00:01:24.680 --> 00:01:27.360]  都是因為可能你的朋友
[00:01:27.360 --> 00:01:30.600]  他將福音介紹給你
[00:01:30.600 --> 00:01:32.680]  或者你有一個同學
[00:01:32.680 --> 00:01:33.600]  舊同學
[00:01:33.600 --> 00:01:35.360]  在你讀書的時候
[00:01:35.360 --> 00:01:37.480]  跟你一起帶你回教會
[00:01:37.480 --> 00:01:38.880]  或者你的家人
[00:01:38.880 --> 00:01:40.080]  兄弟姐妹
[00:01:40.080 --> 00:01:41.520]  在他們的影響之下
[00:01:41.520 --> 00:01:42.480]  你跟他們一起回去
[00:01:42.480 --> 00:01:44.520]  或者你的父母已經是基督徒了
[00:01:44.520 --> 00:01:46.200]  你在基督教的家庭長大
[00:01:46.200 --> 00:01:48.480]  都是你的父母輩
[00:01:48.480 --> 00:01:51.000]  帶領你
[00:01:51.000 --> 00:01:54.080]  不是你自己去找的
[00:01:54.440 --> 00:01:57.800]  我想無論是我們現實生活裡面
[00:01:57.800 --> 00:01:59.840]  以及在聖經裡面的記載
[00:01:59.840 --> 00:02:01.320]  都是在說什麼呢?
[00:02:01.320 --> 00:02:03.320]  就是我們能夠認識神
[00:02:03.320 --> 00:02:05.320]  我們能夠成為主的門徒
[00:02:05.320 --> 00:02:07.320]  我能夠明白神的救恩
[00:02:07.320 --> 00:02:10.120]  是有很多其他人的參與在中間的
[00:02:10.120 --> 00:02:13.520]  就算是四福音裡面的記載
[00:02:13.520 --> 00:02:15.640]  很多人去到耶穌的面前
[00:02:15.640 --> 00:02:18.360]  能夠跟隨主
[00:02:18.360 --> 00:02:20.280]  很多都是
[00:02:20.280 --> 00:02:21.600]  有人做了統計
[00:02:21.600 --> 00:02:24.520]  我不記得那個百分比
[00:02:24.520 --> 00:02:27.720]  我想超過六七成的人
[00:02:27.720 --> 00:02:29.840]  他能夠在四福音裡面記載的人物
[00:02:29.840 --> 00:02:31.760]  他能夠去到耶穌的面前
[00:02:31.760 --> 00:02:33.400]  無論是接受祂的依次
[00:02:33.400 --> 00:02:35.400]  無論是領受聽祂的訊息
