
[00:00:00.000 --> 00:00:02.000]  各位靚姐妹 早晨
[00:00:02.000 --> 00:00:06.000]  很高興跟大家分享這段聖經
[00:00:06.000 --> 00:00:09.000]  《穆罕福音》第六章的聖經
[00:00:09.000 --> 00:00:11.000]  其實是一個序幕
[00:00:11.000 --> 00:00:14.000]  開展了整個第六章的論述
[00:00:14.000 --> 00:00:17.000]  而第六章的論述
[00:00:17.000 --> 00:00:19.000]  是緊接著前面第五章
[00:00:19.000 --> 00:00:22.000]  有關耶穌的身份的論述
[00:00:22.000 --> 00:00:25.000]  在時序上的確有一個
[00:00:25.000 --> 00:00:27.000]  不是一個很完整的連貫性
[00:00:27.000 --> 00:00:31.000]  從第五章發生的事情到第六章的開始
[00:00:31.000 --> 00:00:33.000]  中間都有一些東西
[00:00:33.000 --> 00:00:35.000]  所以你會看到第六章開始的時候
[00:00:35.000 --> 00:00:37.000]  有講到這些事而後
[00:00:37.000 --> 00:00:40.000]  我們由作者使徒約翰的鋪排
[00:00:40.000 --> 00:00:43.000]  我們可以看到在約翰的眼光
[00:00:43.000 --> 00:00:48.000]  在他的眼中對耶穌這個身份的思考過程
[00:00:48.000 --> 00:00:52.000]  使徒約翰由耶穌和猶太人的
[00:00:52.000 --> 00:00:55.000]  三重見證的論述
[00:00:55.000 --> 00:00:59.000]  來引導讀者近距離
[00:00:59.000 --> 00:01:03.000]  近距離來看看大能的耶穌
[00:01:03.000 --> 00:01:08.000]  當中我們看到兩個超越人所能理解的神蹟
[00:01:08.000 --> 00:01:12.000]  然後就出現了一句簡單而有力的說話
[00:01:12.000 --> 00:01:15.000]  示我不要怕
[00:01:15.000 --> 00:01:18.000]  為耶穌的身份論述
[00:01:18.000 --> 00:01:24.000]  帶到一個讓我們更加深思的人神關係當中
[00:01:24.000 --> 00:01:27.000]  兩個神蹟的本質
[00:01:27.000 --> 00:01:32.000]  到底會讓我們看到耶穌的身份是什麼一回事
[00:01:32.000 --> 00:01:35.000]  這兩個神蹟又讓我們看到
[00:01:35.000 --> 00:01:38.000]  對耶穌的身份的支持
[00:01:38.000 --> 00:01:41.000]  可以讓我們對這位在十字架上
[00:01:41.000 --> 00:01:44.000]  為人類的罪釘死的三一上帝
[00:01:44.000 --> 00:01:46.000]  聖子耶穌基督
[00:01:46.000 --> 00:01:51.000]  有更深的敬重愛護
