
[00:00:00.000 --> 00:00:02.000]  我們起來讀今天的經文
[00:00:02.000 --> 00:00:11.000]  羅馬書第一章第三第四節
[00:00:11.000 --> 00:00:14.000]  我想有時候我們在等這個東西
[00:00:14.000 --> 00:00:17.000]  所以大家要習慣自己拿自己的聖經
[00:00:17.000 --> 00:00:21.000]  羅馬書第三第四節
[00:00:21.000 --> 00:00:23.000]  我們起來讀這段聖經
[00:00:23.000 --> 00:00:24.000]  來 預備 請
[00:00:24.000 --> 00:00:32.000]  論到他兒子我主耶穌基督 按肉體說是從大衛後一生的
[00:00:32.000 --> 00:00:40.000]  按聖善的靈說應從死裡復活 以大人顯明是神
[00:00:40.000 --> 00:00:45.000]  羅馬書這一段聖經裡面他講的基督的人性
[00:00:45.000 --> 00:00:48.000]  他說他兒子我主耶穌基督
[00:00:48.000 --> 00:00:51.000]  按肉體說就講的耶穌基督的人性
[00:00:51.000 --> 00:00:53.000]  從肉身的角度來講
[00:00:53.000 --> 00:00:57.000]  耶穌是大衛的後一生的
[00:00:57.000 --> 00:01:05.000]  大衛是以色列裡面他們心目當中的一個最偉大的君王
[00:01:05.000 --> 00:01:08.000]  所以他是君王的後裔
[00:01:08.000 --> 00:01:10.000]  預表著什麼呢
[00:01:10.000 --> 00:01:13.000]  預表著耶穌基督是君王
[00:01:13.000 --> 00:01:19.000]  但是這位君王他曾經在地上面行走過
[00:01:19.000 --> 00:01:20.000]  他成為人的樣子
[00:01:20.000 --> 00:01:23.000]  像我們剛受洗的時候他道成肉身 對不對
[00:01:23.000 --> 00:01:25.000]  incarnation
[00:01:25.000 --> 00:01:28.000]  道成肉身就是表明說神
[00:01:28.000 --> 00:01:32.000]  但是他卻成為人的樣子
[00:01:32.000 --> 00:01:33.000]  這是一個神蹟
[00:01:33.000 --> 00:01:38.000]  他不透過人所謂的這種男女的交合
[00:01:38.000 --> 00:01:43.000]  他是童貞女瑪利亞所懷孕生出來的
[00:01:43.000 --> 00:01:46.000]  因此他沒有罪
[00:01:46.000 --> 00:01:49.000]  他是生靈感孕的
[00:01:49.000 --> 00:01:51.000]  這些我所要講的這些
[00:01:51.000 --> 00:01:54.000]  如果不是神是沒有辦法做到的
[00:01:54.000 --> 00:01:56.000]  今天沒有任何一個其他的人
