
[00:00:00.000 --> 00:00:02.000]  (主席)提醒大家平安
[00:00:02.000 --> 00:00:03.000]  (群眾)平安
[00:00:03.000 --> 00:00:06.000]  (主席)多謝施班主愛激勵我們
[00:00:06.000 --> 00:00:08.000]  (主席)我們在聽的時候
[00:00:08.000 --> 00:00:10.000]  (主席)看著上面十字架的一個冠冕
[00:00:10.000 --> 00:00:13.000]  (主席)如果我們的主在掌權的話
[00:00:13.000 --> 00:00:14.000]  (主席)我們不會再懼怕
[00:00:14.000 --> 00:00:15.000]  (主席)感謝主
[00:00:15.000 --> 00:00:17.000]  (主席)今天我們一起思想
[00:00:17.000 --> 00:00:18.000]  (主席)剛才我們所讀的聖經
[00:00:18.000 --> 00:00:19.000]  (主席)我們在崇拜裡面
[00:00:19.000 --> 00:00:21.000]  (主席)來看哥林多前書的第九章
[00:00:21.000 --> 00:00:23.000]  (主席)我請大家打開聖經
[00:00:23.000 --> 00:00:25.000]  (主席)哥林多前書的第九章
[00:00:25.000 --> 00:00:27.000]  (主席)如果是唐用聖經的話
[00:00:27.000 --> 00:00:30.000]  (主席)是聖經裡面的一七一七頁
[00:00:30.000 --> 00:00:33.000]  (主席)一千七百一十七頁
[00:00:33.000 --> 00:00:35.000]  (主席)我們剛才讀的第十二節
[00:00:35.000 --> 00:00:36.000]  (主席)開始讀到最後
[00:00:36.000 --> 00:00:39.000]  (主席)但是今天我想和大家一起看
[00:00:39.000 --> 00:00:41.000]  (主席)整個哥林多前書的第九章
[00:00:41.000 --> 00:00:43.000]  (主席)哥林多前書第九章
[00:00:43.000 --> 00:00:45.000]  (主席)我們可以這樣形容
[00:00:45.000 --> 00:00:47.000]  (主席)保羅寫哥林多前書第九章的時候
[00:00:47.000 --> 00:00:49.000]  (主席)是很激的
[00:00:49.000 --> 00:00:51.000]  (主席)有人數過
[00:00:51.000 --> 00:00:53.000]  (主席)他用了十八個問號
[00:00:53.000 --> 00:00:56.000]  (主席)來表達他自己那種心情的激盪
[00:00:56.000 --> 00:00:58.000]  (主席)和澎湃
[00:00:58.000 --> 00:01:00.000]  (主席)因為他要去
[00:01:00.000 --> 00:01:03.000]  (主席)分辨一個很重要的立場和做法
[00:01:03.000 --> 00:01:05.000]  (主席)一會兒我再說說是什麼做法
[00:01:05.000 --> 00:01:07.000]  (主席)不過另外一樣東西我想留意
