
[00:00:00.000 --> 00:00:05.000]  以上的相片不是在雀仔書裏拍攝出來的
[00:00:05.000 --> 00:00:08.000]  以上的片段也不是在濕地公園拍攝的
[00:00:08.000 --> 00:00:14.000]  以上所顯示出來的是一個真實的紀錄
[00:00:14.000 --> 00:00:17.000]  在去年我們三樓的露台裏面
[00:00:17.000 --> 00:00:21.000]  發現一幅很美麗很美麗的片段
[00:00:21.000 --> 00:00:23.000]  我沒有辦法印證
[00:00:23.000 --> 00:00:27.000]  是不是上帝給我們的七十五週年的禮物
[00:00:27.000 --> 00:00:30.000]  但肯定的以上所看的
[00:00:30.000 --> 00:00:35.000]  是一個生命奇妙的誕生和成長的過程
[00:00:35.000 --> 00:00:39.000]  和我今日的訊息息息相關
[00:00:39.000 --> 00:00:41.000]  想和大家一起去分享
[00:00:41.000 --> 00:00:47.000]  彼得前書是彼得寫給已經信於耶穌的一班人
[00:00:47.000 --> 00:00:52.000]  我們信於耶穌的是一班正聖靈得承聖潔
[00:00:52.000 --> 00:00:56.000]  以至我們信服耶穌的一班信徒
[00:00:56.000 --> 00:01:00.000]  這是彼得前書一章一節彼得所宣告的
[00:01:00.000 --> 00:01:03.000]  在剛才所讀的經文當中
[00:01:03.000 --> 00:01:05.000]  作者來到一開始的時候就說
[00:01:05.000 --> 00:01:10.000]  所以意思就是我們一班重生的人
[00:01:10.000 --> 00:01:12.000]  如果我們在基督裏面已經成為聖見
[00:01:12.000 --> 00:01:17.000]  所以我們就應該有以下所有的事情的發生
[00:01:17.000 --> 00:01:21.000]  上文下理是息息相關的
[00:01:21.000 --> 00:01:26.000]  新生命要成長
[00:01:26.000 --> 00:01:28.000]  讓我們一起思想今日的講題
[00:01:28.000 --> 00:01:32.000]  新的生命要成長
[00:01:32.000 --> 00:01:34.000]  第一樣東西我們要看的
[00:01:34.000 --> 00:01:37.000]  這個新的生命是一個怎樣的生命呢
[00:01:37.000 --> 00:01:40.000]  是一個更新的生命
[00:01:40.000 --> 00:01:43.000]  請大家一起讀彼得前書二章一節
[00:01:43.000 --> 00:01:45.000]  或者螢光幕都可以有看的
[00:01:45.000 --> 00:01:47.000]  我們一起讀好嗎 預備起
[00:01:47.000 --> 00:01:57.000]  你忘記除去一切的惡毒 詭詐並假善 嫉妒和一切毀謗的話
[00:01:57.000 --> 00:02:00.000]  根據彼得他所宣告
[00:02:00.000 --> 00:02:07.000]  原來新的生命不應該存有以上那五種的惡行
[00:02:07.000 --> 00:02:09.000]  為什麼呢 我想大家都明白
[00:02:09.000 --> 00:02:14.000]  不過在聖經裏面更加給我們一個很重要的原因
[00:02:14.000 --> 00:02:17.000]  我們看一段舊約 一段新約經文
[00:02:17.000 --> 00:02:21.000]  我們先讀以西傑書三十六章二十六節
[00:02:21.000 --> 00:02:22.000]  請大家讀
[00:02:22.000 --> 00:02:26.000]  我也要賜給你們一個新心
[00:02:26.000 --> 00:02:29.000]  將新靈放在你們裏面
[00:02:29.000 --> 00:02:34.000]  上帝所要賜給我們的是新的心 新的靈
[00:02:34.000 --> 00:02:37.000]  而不是舊的心 舊的靈
[00:02:37.000 --> 00:02:42.000]  若有人在基督裏 他就是新造的人
[00:02:42.000 --> 00:02:45.000]  舊事已過 都變成新的了
[00:02:45.000 --> 00:02:49.000]  無論舊約的先知使徒保羅都提醒我們
[00:02:49.000 --> 00:02:53.000]  上帝已經將一個新的心 新的靈賜給我們
[00:02:53.000 --> 00:02:55.000]  原來我們在基督裏面
[00:02:55.000 --> 00:02:59.000]  我們就是一個新造的人 有新的生命
[00:02:59.000 --> 00:03:02.000]  所以重點不是你是不是第幾代的信徒
[00:03:02.000 --> 00:03:06.000]  重點也不是你在這裏洗禮 你就有新的生命
