
[00:00:00.000 --> 00:00:03.000]  各位大軒姐妹早晨
[00:00:03.000 --> 00:00:06.720]  我們今日都睇到
[00:00:06.720 --> 00:00:09.640]  能夠一家大小嚟到
[00:00:09.640 --> 00:00:12.000]  好多人都帶住啲仔女嚟到一齊去
[00:00:12.000 --> 00:00:14.680]  去教會去視鳳敬拜係一件福氣
[00:00:14.680 --> 00:00:18.320]  但係我哋都睇到一啲嘅我哋影相都有時會影全家福
[00:00:18.320 --> 00:00:20.320]  我自己都會去影全家福
[00:00:20.320 --> 00:00:23.120]  我早兩日呢就洗衫
[00:00:23.120 --> 00:00:25.400]  咁我成個銀包扔咗落洗機
[00:00:25.400 --> 00:00:26.600]  嘩真係好慘
[00:00:26.600 --> 00:00:29.200]  點解慘呢因為裏面有啲珍貴嘅相片
[00:00:29.200 --> 00:00:31.200]  就袋住啲全家福
[00:00:31.200 --> 00:00:33.760]  以前我同我爸爸媽媽影嘅相
[00:00:33.760 --> 00:00:35.280]  細個十幾歲嗰陣時
[00:00:35.280 --> 00:00:37.040]  而家就同我仔女十幾歲
[00:00:37.040 --> 00:00:38.440]  一對比之下
[00:00:38.440 --> 00:00:40.040]  嘩原來個大仔勁似我
[00:00:40.040 --> 00:00:41.880]  好似我個樣就係睇
[00:00:41.880 --> 00:00:44.480]  咁就係至於嗰張相仲救得返
[00:00:44.480 --> 00:00:45.480]  嗰兩張相
[00:00:45.480 --> 00:00:46.200]  咁呢度呢
[00:00:46.200 --> 00:00:52.000]  呢張相片就係2013年嗰時嘅一套嘅日本嘅電影
[00:00:52.000 --> 00:00:55.040]  佢日本文叫做父親
[00:00:55.040 --> 00:00:57.840]  佢就譯做like father like son
[00:00:57.840 --> 00:00:59.760]  咁呢個故事裏面呢當中呢
[00:00:59.760 --> 00:01:01.240]  佢喺漢城影展嗰度
[00:01:01.240 --> 00:01:03.600]  2013年嗰度一齊公演出嚟
[00:01:03.600 --> 00:01:06.200]  咁就話原來呢個全家福係咁樣
[00:01:06.200 --> 00:01:07.800]  有兩個家庭呢
[00:01:07.800 --> 00:01:09.600]  原來生仔嗰時去醫院生仔
