
[00:00:00.000 --> 00:00:03.240]  下個禮拜我知道大家都應該都很開心
[00:00:03.240 --> 00:00:10.300]  我們會慶祝一些事 或者做其他的事
[00:00:10.300 --> 00:00:16.580]  我和我的小朋友剛才問的
[00:00:16.580 --> 00:00:22.720]  這個時候 你們會慶祝些什麼呢?
[00:00:22.720 --> 00:00:24.640]  或者期待些什麼呢?
[00:00:24.640 --> 00:00:29.740]  個個都是有一個答案 同一個答案就是
[00:00:29.740 --> 00:00:35.160]  他們希望得到一份禮物
[00:00:35.160 --> 00:00:37.720]  我不說禮物是什麼了
[00:00:37.720 --> 00:00:40.400]  他們想想的禮物
[00:00:40.400 --> 00:00:48.240]  有時候不是一定我想給的
[00:00:48.240 --> 00:00:52.320]  我不知道大家在慶祝聖誕節的時候
[00:00:52.320 --> 00:00:56.400]  你們想的是什麼
[00:00:56.400 --> 00:01:01.960]  我想先生最好問一問太太
[00:01:01.960 --> 00:01:05.360]  另外一半在這個時候他們想的是什麼
[00:01:05.360 --> 00:01:09.600]  但是我想在聖誕的時候
[00:01:09.600 --> 00:01:11.900]  我想我們都應該想一下
[00:01:11.900 --> 00:01:18.400]  這個時候我們應該是希望一個什麼的禮物
[00:01:18.400 --> 00:01:28.280]  我很記得我們慶祝這個聖誕節的日子
[00:01:28.280 --> 00:01:32.240]  不知道很多很多年了 我都忘記了多少年
[00:01:32.240 --> 00:01:34.720]  因為我在二年級開始的時候
[00:01:34.720 --> 00:01:39.800]  已經參加學校第一次慶祝聖誕節
[00:01:39.800 --> 00:01:41.520]  在學校
[00:01:41.520 --> 00:01:43.760]  而且還特別
[00:01:43.760 --> 00:01:50.120]  我們安排了要唱一首聖詩
[00:01:50.120 --> 00:01:53.680]  那首聖詩我們還要用英文唱
[00:01:53.680 --> 00:01:57.000]  不只是唱那麼簡單
[00:01:57.000 --> 00:02:00.440]  我們那年是剛剛學了ABCD
[00:02:00.440 --> 00:02:03.440]  沒多久 二年級的時候
[00:02:03.440 --> 00:02:05.280]  但是先生選我們
[00:02:05.280 --> 00:02:09.200]  或者說我們的學生英文都不錯
[00:02:09.200 --> 00:02:12.280]  不是逼我們 強行我們唱
[00:02:12.280 --> 00:02:14.280]  為什麼呢
[00:02:14.280 --> 00:02:18.000]  因為唱的家長來聽 我們也有
[00:02:18.000 --> 00:02:21.680]  老實說 我們懂不懂得唱
[00:02:21.680 --> 00:02:23.480]  發音也有一點問題
[00:02:23.480 --> 00:02:25.400]  但是唱什麼呢
[00:02:25.400 --> 00:02:27.400]  老實說我真的不知道
[00:02:27.400 --> 00:02:32.440]  但是我記得中文版的時候
[00:02:32.440 --> 00:02:36.800]  頭兩個字不是勉強的
[00:02:36.800 --> 00:02:39.440]  我覺得是舊版
[00:02:39.440 --> 00:02:40.800]  但是我們那時候是唱英文
[00:02:40.800 --> 00:02:44.560]  我都忘記了英文是怎樣
[00:02:44.560 --> 00:02:47.880]  我想我們自己唱什麼都不知道的時候
[00:02:47.880 --> 00:02:51.880]  我不知道聽的人又知不知道
[00:02:51.880 --> 00:02:53.360]  聽的人是家長
[00:02:53.360 --> 00:02:57.200]  但是老師就是想讓家長知道
[00:02:57.200 --> 00:03:02.800]  我們的學生在學校裡學到什麼
[00:03:02.800 --> 00:03:07.240]  但是我們是一個基督教學校
[00:03:07.240 --> 00:03:11.000]  我們唱的詩 我們的目的
[00:03:11.000 --> 00:03:15.480]  好像我們昨天在Asian War的時候
[00:03:15.480 --> 00:03:21.400]  我一直都是在那裡聽著的時候
[00:03:21.400 --> 00:03:23.520]  我想著那些人進來的時候
[00:03:23.520 --> 00:03:25.480]  他會聽到什麼
[00:03:25.480 --> 00:03:30.080]  有時候是不容易
[00:03:30.080 --> 00:03:34.520]  但是我們仍然是要唱我們應該唱的東西
[00:03:37.400 --> 00:03:40.680]  在聖誕節這個時間
[00:03:40.680 --> 00:03:46.040]  我想是在港台上一定要
[00:03:46.040 --> 00:03:47.240]  不是一定要
[00:03:47.240 --> 00:03:51.680]  當然是要說聖誕節的故事
[00:03:51.680 --> 00:03:52.760]  不是說故事
[00:03:52.760 --> 00:03:55.240]  我想我們在小時候
[00:03:55.240 --> 00:03:59.600]  我們要他們做話劇或者什麼
[00:03:59.600 --> 00:04:03.760]  但是我想我們在港台上
[00:04:03.760 --> 00:04:09.240]  我們都要看看聖誕節的故事
[00:04:09.240 --> 00:04:13.880]  雖然每年我們都會說
[00:04:13.880 --> 00:04:15.560]  但是我想都是時間有時候
