
[00:00:00.000 --> 00:00:04.160]  之前我在週六的聖經課程裏面
[00:00:04.160 --> 00:00:06.520]  剛剛教完《使徒行傳》
[00:00:06.520 --> 00:00:09.280]  透過教學互動之下
[00:00:09.280 --> 00:00:12.040]  我發覺我對《使徒行傳》的經文裏面
[00:00:12.040 --> 00:00:14.120]  多了一番的認識和體會
[00:00:14.120 --> 00:00:16.480]  其中有一段我也想和大家分享
[00:00:16.480 --> 00:00:18.760]  就是在《使徒行傳》第27章
[00:00:18.760 --> 00:00:20.520]  其實這段聖經太長了
[00:00:20.520 --> 00:00:23.680]  所以我也只能夠抽讀部分和大家讀
[00:00:23.680 --> 00:00:26.200]  其他部分我和大家略略來讀去看
[00:00:26.200 --> 00:00:28.400]  先了解一下背景
[00:00:28.400 --> 00:00:31.840]  其實保羅先有三次宣教旅程
[00:00:31.840 --> 00:00:34.560]  最後一次他回到耶路撒冷
[00:00:34.560 --> 00:00:35.920]  去到耶路撒冷的時候
[00:00:35.920 --> 00:00:39.040]  有些從亞細亞來的猶太人蒙告他
[00:00:39.040 --> 00:00:42.560]  說他在外邦世教四處生亂
[00:00:42.560 --> 00:00:44.920]  叫猶太人不要守律法
[00:00:44.920 --> 00:00:46.920]  也占污聖殿等等
[00:00:46.920 --> 00:00:49.080]  之後保羅就被拘捕
[00:00:49.080 --> 00:00:53.120]  然後他多次在不同的羅馬官員或者巡撫裏面
[00:00:53.120 --> 00:00:55.960]  審訊然後去作見證
[00:00:55.960 --> 00:00:58.520]  其實經歷了兩年時間的拘留
[00:00:58.520 --> 00:01:01.720]  其實羅馬官員透過羅馬法律說
[00:01:01.720 --> 00:01:03.520]  他基本上是沒有罪的
[00:01:03.520 --> 00:01:05.120]  因為他只不過覺得
[00:01:05.120 --> 00:01:07.520]  這是猶太人之間的分泌
[00:01:07.520 --> 00:01:10.120]  派系的看法不同而已
[00:01:10.120 --> 00:01:12.120]  應該是無罪釋放
[00:01:12.120 --> 00:01:17.240]  但是這班巡撫或者官員為了要討好猶太人
[00:01:17.240 --> 00:01:18.400]  又不放保羅
[00:01:18.400 --> 00:01:21.000]  拖拖拉拉也有兩年的時間
[00:01:21.000 --> 00:01:24.680]  最後保羅就用以他羅馬籍的公民身份
[00:01:24.680 --> 00:01:26.680]  我要上訴 要去羅馬
[00:01:26.680 --> 00:01:28.680]  基於權利的情況
[00:01:28.680 --> 00:01:32.280]  於是唯有將他送到羅馬
[00:01:32.280 --> 00:01:33.840]  去押訊
[00:01:33.840 --> 00:01:39.520]  27章記載了伯夫長如何押訊保羅的整個過程
[00:01:39.520 --> 00:01:42.440]  這裏有一幅地圖 大家看看
[00:01:42.440 --> 00:01:46.840]  你們的方向是右下角
[00:01:46.840 --> 00:01:49.680]  當時是在蓋薩尼亞
[00:01:49.680 --> 00:01:52.160]  然後沿著綠色線
[00:01:52.160 --> 00:01:57.200]  走到左上角的羅馬
[00:01:57.200 --> 00:01:59.200]  這是整個行程
[00:01:59.200 --> 00:02:01.200]  其實是一條海路
[00:02:01.200 --> 00:02:05.160]  但在這條海路裏面遇上災難
[00:02:05.160 --> 00:02:06.040]  風浪
[00:02:06.040 --> 00:02:08.800]  於是這條行程相當艱鉅
[00:02:08.800 --> 00:02:11.800]  今天我和大家看一看
[00:02:11.800 --> 00:02:14.680]  在6至12節裏面
[00:02:14.680 --> 00:02:16.440]  他講到已經風不順
[00:02:16.440 --> 00:02:19.360]  已經很困難地航行
[00:02:19.360 --> 00:02:21.360]  在第9節是這樣說
[00:02:21.360 --> 00:02:22.920]  去走的日子多
[00:02:22.920 --> 00:02:25.400]  已經過了禁食的節期
[00:02:25.400 --> 00:02:27.400]  行船有危險
[00:02:27.400 --> 00:02:29.120]  保羅就勸眾人說
[00:02:29.120 --> 00:02:32.200]  諸位我看這次行船
[00:02:32.200 --> 00:02:35.000]  不但貨物和船都要受損傷
[00:02:35.000 --> 00:02:36.440]  大遭破壞
[00:02:36.440 --> 00:02:38.560]  連我們的性命也難保
[00:02:38.560 --> 00:02:41.040]  但伯夫長順從掌船的
[00:02:41.040 --> 00:02:44.720]  和船主不順從保羅所說的
[00:02:44.720 --> 00:02:48.080]  這裏覺得已經很困難
[00:02:48.080 --> 00:02:51.600]  保羅憑航海經驗發覺這次很危險
[00:02:51.600 --> 00:02:54.640]  於是主動和伯夫長等人說
[00:02:54.640 --> 00:02:56.640]  但聖經說
[00:02:56.640 --> 00:02:59.000]  在當時裏面帶著船
[00:02:59.000 --> 00:03:01.480]  有三類人有掛舌權
[00:03:01.480 --> 00:03:03.640]  第一是船長
[00:03:03.640 --> 00:03:05.880]  船長當然知道怎樣航行
[00:03:05.880 --> 00:03:07.400]  怎樣駛進去決定
[00:03:07.400 --> 00:03:08.560]  第二是船主
[00:03:08.560 --> 00:03:11.400]  船主擁有這條船的主人
[00:03:11.400 --> 00:03:13.000]  當然有說話權
[00:03:13.000 --> 00:03:14.760]  伯夫長當然有說話權
[00:03:14.760 --> 00:03:16.760]  因為是羅馬的官員
[00:03:16.760 --> 00:03:20.080]  所以三方面的人都商量過之後
[00:03:20.080 --> 00:03:22.880]  覺得不要管保羅
