
[00:00:00.000 --> 00:00:04.940]  我們讀一段聖經在停不待後書第一章第六節到第七節
[00:00:04.940 --> 00:00:08.620]  我們一同來念兩節的聖經非常熟悉的
[00:00:08.620 --> 00:00:11.160]  來為此我提醒你
[00:00:11.160 --> 00:00:17.660]  使你將神借我暗手所給你的恩賜再如火挑旺起來
[00:00:17.660 --> 00:00:20.940]  因為神所賜給我們的不是膽怯的心
[00:00:20.940 --> 00:00:24.180]  乃是剛強仁愛謹守的心
[00:00:24.180 --> 00:00:25.780]  我們就讀到這裡
[00:00:25.780 --> 00:00:28.980]  今天是今年的第一個主日
[00:00:28.980 --> 00:00:32.400]  首先在這裡恭賀大家新年非常非常快樂
[00:00:32.400 --> 00:00:33.220]  Amen
[00:00:33.220 --> 00:00:34.760]  Hallelujah
[00:00:34.760 --> 00:00:37.780]  當然在新的一年當中要快樂
[00:00:37.780 --> 00:00:40.980]  首先一定要新的你才行
[00:00:40.980 --> 00:00:42.620]  所以神的話很清楚告訴我們說
[00:00:42.620 --> 00:00:46.180]  在基督裡面就要成為新造的人
[00:00:46.180 --> 00:00:49.300]  舊事已過都變成新的
[00:00:49.300 --> 00:00:50.340]  Amen
[00:00:50.340 --> 00:00:53.820]  這裡說在基督裡不但是指的是說
[00:00:53.820 --> 00:00:58.940]  當你接受耶穌基督做你救主的那一天
[00:00:58.940 --> 00:01:01.560]  而是當每一天
[00:01:01.560 --> 00:01:07.060]  當你願意在基督裡的時候每一天都可以做新造的人
[00:01:07.060 --> 00:01:10.380]  而今天當你選擇在基督裡
[00:01:10.380 --> 00:01:13.180]  今天你也就是新造的人
[00:01:13.180 --> 00:01:13.900]  Amen
[00:01:13.900 --> 00:01:15.700]  所以今天你來主日崇拜
[00:01:15.700 --> 00:01:17.160]  你就選擇在基督裡的
[00:01:17.160 --> 00:01:19.260]  所以跟你旁邊說今天你是新造的人了
[00:01:19.260 --> 00:01:23.100]  對他說
[00:01:23.100 --> 00:01:24.980]  換句話說
[00:01:24.980 --> 00:01:28.700]  在基督裡面一切的舊事
[00:01:28.700 --> 00:01:31.980]  現在就可以成為過去
[00:01:31.980 --> 00:01:34.860]  一切都可以變成新的
[00:01:34.860 --> 00:01:36.340]  Amen
[00:01:36.340 --> 00:01:38.580]  那麼今年我們教會的主題是
[00:01:38.580 --> 00:01:42.620]  不斷成長進入豐盛
[00:01:42.620 --> 00:01:46.540]  英文是 grow and be fruitful
[00:01:46.540 --> 00:01:49.460]  為什麼我們會定下這個主題呢
[00:01:49.460 --> 00:01:52.060]  因為我們看見在過去這幾年當中
[00:01:52.060 --> 00:01:56.260]  神好像在我們教會一直在做調整的工作
[00:01:56.260 --> 00:01:58.780]  在做調度的工作
[00:01:58.780 --> 00:01:59.580]  藉著疫情
[00:01:59.580 --> 00:02:00.900]  藉著環境的改變
[00:02:00.900 --> 00:02:03.140]  藉著一些人事的異動
[00:02:03.140 --> 00:02:08.820]  神好像在我們中間興起了一支新的基督大軍
[00:02:08.820 --> 00:02:12.780]  而現在這支軍隊好像已經整裝待發
[00:02:12.780 --> 00:02:17.220]  要進入一個新的成長季節當中
[00:02:17.220 --> 00:02:21.780]  所以我們期待今年會是一個多節國子的一年
[00:02:21.780 --> 00:02:22.780]  Amen
[00:02:22.780 --> 00:02:27.180]  事實上如果你還記得康麥克穆斯在去年的宣教主日
[00:02:27.180 --> 00:02:29.980]  為我們教會做祝福禱告的時候
[00:02:29.980 --> 00:02:33.220]  他特別就是用創世紀第四十九章
[00:02:33.220 --> 00:02:37.380]  二十二節的話語來為我們教會做祝福禱告
[00:02:37.380 --> 00:02:38.540]  這個聖經怎麼說呢
