
[00:00:00.000 --> 00:00:04.740]  好,很開心,今天在大家當中分享一個訊息
[00:00:04.740 --> 00:00:07.580]  從十誡裡面看人生的優先次序
[00:00:07.580 --> 00:00:09.560]  怎樣才算是人生優先次序?
[00:00:09.560 --> 00:00:11.240]  用英文可能簡單些
[00:00:11.240 --> 00:00:12.360]  Priority
[00:00:12.360 --> 00:00:15.380]  你每天早上出門都是要講Priority的
[00:00:15.380 --> 00:00:19.900]  先塗眼蓋膏還是先塗口紅?
[00:00:19.900 --> 00:00:23.880]  我們男生當然也有優先的
[00:00:23.880 --> 00:00:26.340]  當然是先穿恤衫,然後再打領帶
[00:00:26.340 --> 00:00:29.980]  有沒有人調轉的,先打領帶,然後再穿恤衫?
[00:00:29.980 --> 00:00:32.720]  人生就是有這些優先次序
[00:00:32.720 --> 00:00:37.900]  剛才Simon很感謝他,他說了一句話很正經的
[00:00:37.900 --> 00:00:40.600]  就是說現今青年人,老年人
[00:00:40.600 --> 00:00:43.660]  大家之間的矛盾衝突都很厲害
[00:00:43.660 --> 00:00:46.720]  我今天早上看Yahoo的新聞
[00:00:46.720 --> 00:00:50.380]  發覺有一個爸爸很嘈吵
[00:00:50.380 --> 00:00:52.500]  為什麼?有沒有人看到一個新聞?
[00:00:52.500 --> 00:00:54.500]  他原來被女兒告他
[00:00:54.500 --> 00:01:00.740]  因為女兒和女婿幫他買了他的房子
[00:01:00.740 --> 00:01:05.780]  買了之後,爸爸和媽媽繼續留在房子裡住
[00:01:05.780 --> 00:01:10.420]  又裝香,又打麻將等等
[00:01:10.420 --> 00:01:16.380]  一聽就知道不是每個人都能適應這種生活
[00:01:16.380 --> 00:01:20.340]  後來,總之現在已經告上法庭了
[00:01:20.340 --> 00:01:24.580]  女兒和女婿加起來告爸爸,拿20萬的租金
[00:01:24.580 --> 00:01:26.580]  說他在這裡住,諸如此類
[00:01:26.580 --> 00:01:29.440]  都剛剛開始,究竟有什麼結局呢?
[00:01:29.440 --> 00:01:35.060]  都留待律師去處理,我們只是八卦新聞知道
[00:01:35.060 --> 00:01:38.360]  但我心裡就覺得,這真是剛剛好
[00:01:38.360 --> 00:01:42.060]  就是說我今天這個人生的主題
[00:01:42.060 --> 00:01:45.320]  人生裡一定要選擇的,你每天出門都要選擇的
[00:01:45.320 --> 00:01:48.980]  選擇搭MTR又怕會爆胎
[00:01:48.980 --> 00:01:55.060]  不要笑了,前幾天有MTR真的爆胎了
[00:01:55.060 --> 00:01:57.740]  你搭巴士要選擇上層還是下層?
[00:01:57.740 --> 00:02:01.140]  下層就下車方便,上層就安安靜靜
[00:02:01.140 --> 00:02:03.300]  可能安靜,如果有人講電話
[00:02:03.300 --> 00:02:05.540]  很吵,你都不知道該怎麼辦
[00:02:05.540 --> 00:02:08.780]  我回到香港,在外國回來的時間
[00:02:08.780 --> 00:02:12.540]  有一次是很不習慣搭上層巴士
[00:02:12.540 --> 00:02:19.580]  為什麼呢?因為上層巴士上有個哥哥在談電話
[00:02:19.580 --> 00:02:21.960]  這些歐巴,我叫他歐巴
[00:02:21.960 --> 00:02:31.260]  我都看少少韓劇,每一套我大概看兩集左右
[00:02:31.260 --> 00:02:34.240]  知道一頭一尾就可以了
[00:02:34.240 --> 00:02:36.240]  中間不用看的,我發覺
[00:02:36.240 --> 00:02:44.540]  歐巴在談電話,整個巴士的人都貼著他在講什麼
[00:02:44.540 --> 00:02:49.520]  他說給我一次機會,一直有很大聲的說話
[00:02:49.520 --> 00:02:55.420]  我們猜想他在被人扔鍋,扔鍋都有被動式和主動型式
[00:02:55.420 --> 00:03:00.420]  一直在談,故事內容都很複雜
[00:03:00.420 --> 00:03:06.740]  我想起那時候牽著你的手,山盟海誓,很吸引的故事
[00:03:06.740 --> 00:03:08.740]  有機會我先複述少少
[00:03:08.740 --> 00:03:13.100]  我和師母合謀都記得他大部份說的話
