
[00:00:00.000 --> 00:00:03.360]  今天很想和大家一起看一段聖經
[00:00:03.360 --> 00:00:09.280]  這段經文在聖經裡面是一個很重要的經文
[00:00:09.280 --> 00:00:14.200]  特別是當一個文士來到耶穌的面前
[00:00:14.200 --> 00:00:17.680]  向耶穌提出一個問題
[00:00:17.680 --> 00:00:20.080]  當然聖經也說得挺好的
[00:00:20.080 --> 00:00:22.480]  就是他很尊敬耶穌
[00:00:22.480 --> 00:00:25.280]  所以才來到耶穌面前提問
[00:00:25.280 --> 00:00:27.600]  但當然可能在整個方書裡面
[00:00:27.600 --> 00:00:30.680]  我們有時也見到一些文士、法利賽人
[00:00:30.680 --> 00:00:36.360]  或多或少帶著一些去挑戰一下耶穌的心
[00:00:36.360 --> 00:00:38.360]  至少這個文士來到耶穌面前
[00:00:38.360 --> 00:00:41.920]  去認識耶穌是一個回應得
[00:00:41.920 --> 00:00:45.440]  或者是給出一些很好的回應人
[00:00:45.440 --> 00:00:49.600]  所以他很想來尋求一個學習
[00:00:49.600 --> 00:00:51.600]  所以我相信也是幫助我們
[00:00:51.600 --> 00:00:55.720]  藉著這個文士向耶穌提問之間的對話
[00:00:55.720 --> 00:01:01.600]  幫助我們去明白今天在信仰當中的第一要緊是甚麼
[00:01:01.600 --> 00:01:05.280]  這是向文士提出請教耶穌
[00:01:05.280 --> 00:01:09.320]  耶穌就很精簡明確地告訴他
[00:01:09.320 --> 00:01:14.680]  在誡命、在我們信仰當中最重要的是甚麼
[00:01:14.680 --> 00:01:18.120]  他用了第一要緊來形容
[00:01:18.120 --> 00:01:20.200]  所以今天很想和大家一起
[00:01:20.200 --> 00:01:22.560]  讓這個信仰的第一要緊
[00:01:22.560 --> 00:01:25.640]  再一次放在我們的信仰當中
[00:01:25.640 --> 00:01:28.280]  我想邀請大家一起來讀這段經文
[00:01:28.280 --> 00:01:31.640]  馬克思的十二章二十八到三十四節
[00:01:31.640 --> 00:01:33.800]  可以看大家聖經或是看螢光幕
[00:01:33.800 --> 00:01:35.400]  我們一起讀完這段經文
[00:01:35.400 --> 00:01:38.040]  看到的我們預備,預備起!
[00:01:38.040 --> 00:01:42.160]  有一個文士來,聽見他們辯論
[00:01:42.160 --> 00:01:46.360]  曉得耶穌回答的好,就問他說
[00:01:46.360 --> 00:01:49.920]  誡命中那是第一要緊的呢?
[00:01:49.920 --> 00:01:54.360]  耶穌回答說,第一要緊的就是說
[00:01:54.360 --> 00:01:56.840]  以色列亞,你要聽
[00:01:56.840 --> 00:02:00.480]  主我們神是獨一的主
[00:02:00.480 --> 00:02:06.720]  你要盡心盡性盡義盡力愛主你的神
[00:02:06.720 --> 00:02:10.480]  其次就是說,要愛人如己
[00:02:10.480 --> 00:02:15.040]  再沒有比這兩條誡命更大的了
[00:02:15.040 --> 00:02:17.560]  那文士對耶穌說
[00:02:17.560 --> 00:02:21.920]  夫子說,神是一位實在不錯
[00:02:21.920 --> 00:02:25.920]  除了他以外,再沒有別的神
[00:02:25.920 --> 00:02:30.200]  並且盡心盡志盡力愛他
[00:02:30.200 --> 00:02:32.160]  又愛人如己
[00:02:32.160 --> 00:02:37.440]  就比一切凡制和各樣制治好的多
[00:02:37.440 --> 00:02:40.800]  耶穌見他回答的有智慧
[00:02:40.800 --> 00:02:42.480]  就對他說
[00:02:42.480 --> 00:02:45.240]  你們神的國不遠了
[00:02:45.240 --> 00:02:50.640]  從此以後沒有人敢再問他甚麼
[00:02:50.640 --> 00:02:55.480]  這裡提到,當文士聽完耶穌給他的答案
[00:02:55.480 --> 00:02:59.000]  他很認同愛神愛人
[00:02:59.000 --> 00:03:00.760]  所以他的回應是很特別的
[00:03:00.760 --> 00:03:06.600]  就比一切的凡制和各樣的制治好的多
[00:03:06.600 --> 00:03:09.160]  其實這是在表達一個甚麼呢?
[00:03:09.160 --> 00:03:14.800]  是在說一個愛神愛人比任何一切的宗教活動
[00:03:14.800 --> 00:03:20.040]  或者是當時他們很著重的這些制治憲制
[00:03:20.040 --> 00:03:21.920]  更加重要
[00:03:21.920 --> 00:03:24.040]  所以這是我們在信仰裡面
[00:03:24.040 --> 00:03:27.640]  我們能不能夠同樣的體會呢?
[00:03:27.640 --> 00:03:32.040]  我想用多一點在馬克福音12章的39到40
[00:03:32.040 --> 00:03:33.920]  和43到44節
[00:03:33.920 --> 00:03:37.080]  當耶穌跟這個文士對話完之後
[00:03:37.080 --> 00:03:41.040]  耶穌說了再多一點的教導
[00:03:41.040 --> 00:03:42.480]  甚至是責備
[00:03:42.480 --> 00:03:46.000]  而他又引用了一個寡婦的奉獻
[00:03:46.000 --> 00:03:49.360]  來幫助當時聽的人
[00:03:49.360 --> 00:03:54.600]  更加明白甚麼是信仰中的第一要緊
[00:03:54.600 --> 00:03:58.040]  在馬克福音的第十二章39到40節
[00:03:58.040 --> 00:04:01.400]  是在說耶穌有一段責備
[00:04:01.400 --> 00:04:03.480]  責備這班法利賽人文士
[00:04:03.480 --> 00:04:05.800]  他們做了一些不好的事情
[00:04:05.800 --> 00:04:07.920]  馬克福音記載得比較精簡
