
[00:00:00.000 --> 00:00:03.080]  今天和大家分享一個題目
[00:00:03.080 --> 00:00:04.980]  當我自己在想的時候
[00:00:04.980 --> 00:00:08.580]  我就想起以色列博物館的一個景象
[00:00:08.580 --> 00:00:10.900]  當我想到大家分享的題目的時候
[00:00:10.900 --> 00:00:14.620]  就讓我想起在以色列博物館的一幅景象
[00:00:14.620 --> 00:00:18.500]  本來我預備了一些相片給大家看的
[00:00:18.500 --> 00:00:22.260]  但是播不出來就要用文字描述了
[00:00:22.260 --> 00:00:25.540]  我本來想帶些照片給大家看
[00:00:25.540 --> 00:00:28.140]  因為發不到,只能用文字來描述
[00:00:28.140 --> 00:00:30.820]  在以色列托拉維夫一個地方
[00:00:30.820 --> 00:00:33.700]  你去到的時候,那是以色列的博物館
[00:00:33.700 --> 00:00:36.900]  在以色列的威拉夫博物館裏面
[00:00:36.900 --> 00:00:42.780]  你會看到一個蓋,有些水射在裏面,是白色的
[00:00:42.780 --> 00:00:46.300]  就好像看到有個蓋,水射上去是白色的
[00:00:46.300 --> 00:00:48.620]  另外一邊有一幅黑色的牆
[00:00:48.620 --> 00:00:50.660]  另外一邊是一面褐色的牆
[00:00:50.660 --> 00:00:54.220]  那兩個其實在白色的蓋下面
[00:00:54.220 --> 00:00:56.940]  就是死海博物館的一些展覽
[00:00:56.940 --> 00:01:00.500]  就說在蓋底下是死海博物館的展覽
[00:01:00.500 --> 00:01:03.140]  在上面你會看到一個黑一個白
[00:01:03.140 --> 00:01:05.100]  上面有看到一個黑一個白
[00:01:05.100 --> 00:01:07.540]  原來那個就是講到一個
[00:01:07.540 --> 00:01:10.820]  他們在昆蘭這個地方找到一些書卷
[00:01:10.820 --> 00:01:13.300]  就是你在昆蘭這個地方找到一些書卷
[00:01:13.300 --> 00:01:16.460]  除了這是聖經的抄本之外
[00:01:16.460 --> 00:01:18.060]  除了是聖經的抄本之外
[00:01:18.060 --> 00:01:20.700]  還有一個就是他們在當時
[00:01:20.700 --> 00:01:24.260]  他們另外一些的記載就講到
[00:01:24.260 --> 00:01:30.380]  黑白,這個黑暗之子,光明之子的將來要發生的戰爭
[00:01:30.380 --> 00:01:35.860]  就是另外還有講到的黑暗之子和光明之子將來要發生的戰爭
[00:01:35.860 --> 00:01:40.540]  黑暗光明,在聖經裏面我想大家都很熟
[00:01:40.540 --> 00:01:43.740]  黑暗與光明在聖經裏面大家都很熟悉
[00:01:43.740 --> 00:01:47.580]  我願意和大家來到這裡有自己的一些體會
[00:01:47.580 --> 00:01:49.420]  一些從聖經裏面的分享
[00:01:49.420 --> 00:01:52.100]  將我和大家的願意和大家的一些分享
[00:01:52.100 --> 00:01:56.420]  我相信簡單一些來說大家都很容易聯想到
[00:01:56.420 --> 00:01:58.500]  黑白那個的分別
[00:01:58.500 --> 00:02:01.660]  就是大家很簡單就能想到黑白的分別
[00:02:01.660 --> 00:02:05.740]  當然我記得三十幾四十年前
[00:02:05.740 --> 00:02:08.780]  當我第一次看那個星球大戰的時間
[00:02:08.780 --> 00:02:11.620]  如果今時今日你有留意
[00:02:11.620 --> 00:02:13.580]  好像今年都還有一齣看
[00:02:13.580 --> 00:02:16.620]  就是有一個三四十年前我看星球大戰的時候
[00:02:16.620 --> 00:02:19.780]  你會見到那個黑沒有事,白沒有事
[00:02:19.780 --> 00:02:22.260]  比如你看到黑白無事
[00:02:22.260 --> 00:02:24.540]  很明顯黑白那個分明
[00:02:24.540 --> 00:02:27.940]  很明白很清晰這個黑白分明
[00:02:27.940 --> 00:02:31.260]  當然今天我們講在聖經裏面那個黑白
[00:02:31.260 --> 00:02:33.660]  不是這一句裏面所講的
[00:02:33.660 --> 00:02:35.620]  當然聖經裏面所講的黑白
[00:02:35.620 --> 00:02:37.940]  和我們剛才講的星球大戰是不一樣的
[00:02:37.940 --> 00:02:42.860]  星球大戰有些人甚至講那個好像是新紀元的思想
