
[00:00:00.000 --> 00:00:04.800]  感謝主我們可以再一次在神的家裡相聚
[00:00:04.800 --> 00:00:07.660]  每一刻我們都要感恩
[00:00:07.660 --> 00:00:11.040]  我們為了今天我們聽到的時間去禱告
[00:00:11.040 --> 00:00:14.400]  天主上我們知道傳道書是祢所賜下的
[00:00:14.400 --> 00:00:15.880]  求祢賜下智慧
[00:00:15.880 --> 00:00:17.680]  讓我們可以讀得明
[00:00:17.680 --> 00:00:21.020]  也讓祢引領我們進入祢真理的話語當中
[00:00:21.020 --> 00:00:21.920]  多謝祢
[00:00:21.920 --> 00:00:24.640]  祈禱為奉主耶穌基督得勝明智祈求
[00:00:24.640 --> 00:00:25.640]  阿門
[00:00:30.000 --> 00:00:33.480]  祢是虛空也是美好的
[00:00:33.480 --> 00:00:38.800]  這是創造萬物的神所賜給我們人生的特點
[00:00:38.800 --> 00:00:43.040]  是要我們去尊重神這一切的設計和秩序
[00:00:43.040 --> 00:00:45.400]  這就是敬畏神
[00:00:45.400 --> 00:00:52.640]  但怎樣去理解虛空這個字呢?
[00:00:52.640 --> 00:00:58.760]  幾乎近代每一本傳道書的識經書
[00:00:58.760 --> 00:01:01.000]  都是這樣去解釋這個詞給我們聽
[00:01:01.000 --> 00:01:07.240]  沒有辦法用一個字詞去解釋什麼是虛空
[00:01:07.240 --> 00:01:08.600]  不過作為入門
[00:01:08.600 --> 00:01:11.400]  或者我們可以嘗試用一個小動作
[00:01:11.400 --> 00:01:15.160]  去體會一下什麼是虛空
[00:01:15.160 --> 00:01:17.000]  你可以戴上你的口罩
[00:01:17.000 --> 00:01:18.640]  我們嘗試深呼吸一口氣
[00:01:18.640 --> 00:01:19.920]  你含在口裡
[00:01:19.920 --> 00:01:20.720]  不要讓它漏出來
[00:01:20.720 --> 00:01:27.320]  預備
[00:01:27.320 --> 00:01:30.840]  我想三秒內你就忍不住了
[00:01:30.840 --> 00:01:33.640]  虛空這個字詞本來的原意
[00:01:33.640 --> 00:01:37.520]  就是氣息無氣
[00:01:37.520 --> 00:01:40.640]  或者一口氣一陣風
[00:01:40.640 --> 00:01:43.680]  虛空就好像一口氣
[00:01:43.680 --> 00:01:45.080]  不是什麼都沒有
[00:01:45.080 --> 00:01:46.080]  你有的
[00:01:46.080 --> 00:01:48.680]  你明明吸了一口氣進去
[00:01:48.680 --> 00:01:50.800]  剛才你吸了一口空氣
[00:01:50.800 --> 00:01:52.400]  有一口氣在口裡
[00:01:52.400 --> 00:01:55.280]  但你感覺是空的
[00:01:55.280 --> 00:01:56.440]  虛空又好像一口氣
[00:01:56.440 --> 00:01:59.200]  就是你經驗到的事
[00:01:59.200 --> 00:02:02.080]  你會感覺到那口氣穿過你的嘴唇
[00:02:02.080 --> 00:02:03.720]  碰到你的舌尖
[00:02:03.720 --> 00:02:07.520]  你的嘴有一個脹鼓鼓的感覺
[00:02:07.520 --> 00:02:10.320]  但又有些不實在
