
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹,主愛平安
[00:00:02.000 --> 00:00:07.000]  很高興在大家當中分享的訊息
[00:00:07.000 --> 00:00:11.000]  我發現我應該在做總幹事之後
[00:00:11.000 --> 00:00:14.000]  來得最多的是全因堂來港
[00:00:14.000 --> 00:00:19.000]  所以對大家已經相對比較熟悉
[00:00:19.000 --> 00:00:21.000]  在今天的講題裡面
[00:00:21.000 --> 00:00:23.000]  可能你聽完講題
[00:00:23.000 --> 00:00:25.000]  你會覺得沒有離規矩的是我
[00:00:25.000 --> 00:00:27.000]  不是怎麼沒有離規矩的耶穌
[00:00:27.000 --> 00:00:29.000]  是我怎麼沒有離規矩
[00:00:29.000 --> 00:00:33.000]  我自己都在當中有很多學習
[00:00:33.000 --> 00:00:35.000]  我都很喜歡拿耶穌基督
[00:00:35.000 --> 00:00:37.000]  大家比較熟悉的神蹟
[00:00:37.000 --> 00:00:39.000]  我們一起去彼此學習
[00:00:39.000 --> 00:00:42.000]  大家如果都習慣
[00:00:42.000 --> 00:00:44.000]  之前聽我講到
[00:00:44.000 --> 00:00:46.000]  我都會用兒童主一學
[00:00:46.000 --> 00:00:47.000]  怎樣去講這個故事
[00:00:47.000 --> 00:00:49.000]  又跟大家重溫一次
[00:00:49.000 --> 00:00:52.000]  這個就是加拿大的婚宴
[00:00:52.000 --> 00:00:54.000]  耶穌水便酒的神蹟
[00:00:54.000 --> 00:00:55.000]  相信大家都很熟悉的
[00:00:55.000 --> 00:00:58.000]  兒童主一學通常都會跟大家講一次
[00:00:58.000 --> 00:01:00.000]  在加拿大這裡有一個婚宴
[00:01:00.000 --> 00:01:04.000]  耶穌的母親先被請到這個婚宴裡面
[00:01:04.000 --> 00:01:06.000]  之後耶穌和祂的門徒
[00:01:06.000 --> 00:01:08.000]  才因為祂母親的緣故
[00:01:08.000 --> 00:01:11.000]  被邀請到加拿大的婚宴裡面
[00:01:11.000 --> 00:01:14.000]  在婚宴裡面有很多人
[00:01:14.000 --> 00:01:17.000]  耶穌的母親發現他們都沒有酒
[00:01:17.000 --> 00:01:19.000]  然後就跟耶穌說
[00:01:19.000 --> 00:01:21.000]  他們都沒有酒了
[00:01:21.000 --> 00:01:26.000]  然後耶穌就跟祂說
[00:01:26.000 --> 00:01:28.000]  這句話本身就是我們其中經文中
[00:01:28.000 --> 00:01:30.000]  很難解的一個問題
[00:01:30.000 --> 00:01:32.000]  就是母親 我與你何干
[00:01:32.000 --> 00:01:34.000]  我的時候還沒有到
[00:01:34.000 --> 00:01:36.000]  你在兒童主一學講這個故事
[00:01:36.000 --> 00:01:37.000]  都是很難解的
[00:01:37.000 --> 00:01:39.000]  小朋友突然會聽不懂這個位置
[00:01:39.000 --> 00:01:41.000]  我們一會兒嘗試去
[00:01:41.000 --> 00:01:42.000]  看看有沒有一些線索
[00:01:42.000 --> 00:01:44.000]  讓我們知道其實為什麼這句話
[00:01:44.000 --> 00:01:48.000]  然後耶穌的母親其實沒有直接回應
[00:01:48.000 --> 00:01:52.000]  耶穌然後她就叫一些傭人
[00:01:52.000 --> 00:01:54.000]  就說耶穌叫你做什麼
[00:01:54.000 --> 00:01:55.000]  你就跟著去做
[00:01:55.000 --> 00:01:57.000]  耶穌就叫那些傭人
[00:01:57.000 --> 00:01:59.000]  就在這個石缸那裡
[00:01:59.000 --> 00:02:00.000]  有六口
[00:02:00.000 --> 00:02:02.000]  然後每口可以裝到兩三桶水
[00:02:02.000 --> 00:02:04.000]  然後裝滿了水
[00:02:04.000 --> 00:02:07.000]  然後就叫他們裝滿水之後
[00:02:07.000 --> 00:02:09.000]  就叫僕人舀出來
[00:02:09.000 --> 00:02:12.000]  然後給那個管賢直的去喝
[00:02:12.000 --> 00:02:14.000]  然後那個管賢直的喝完就說
[00:02:14.000 --> 00:02:15.000]  哇 這些酒很棒
[00:02:15.000 --> 00:02:17.000]  然後他就叫那個新郎來
[00:02:17.000 --> 00:02:20.000]  為什麼別人都是把好酒放在前面
[00:02:20.000 --> 00:02:22.000]  不好的就放在後面
[00:02:22.000 --> 00:02:25.000]  但是你就反過來
[00:02:25.000 --> 00:02:28.000]  然後耶穌的門徒就看到
[00:02:28.000 --> 00:02:30.000]  耶穌顯出的榮耀
[00:02:30.000 --> 00:02:32.000]  然後就相信了耶穌
[00:02:32.000 --> 00:02:34.000]  其實這個故事
