
[00:00:00.000 --> 00:00:02.920]  今天很高興可以一齊敬拜
[00:00:02.920 --> 00:00:06.440]  你知道可以很自由地一齊敬拜是很開心的事
[00:00:06.440 --> 00:00:10.200]  我們的信仰在傳遞一個德性的訊息
[00:00:10.200 --> 00:00:11.840]  主經德性
[00:00:11.840 --> 00:00:17.840]  但是今天我們好像打敗仗那樣頭頂
[00:00:17.840 --> 00:00:24.360]  我不知道最近你會不會有什麼歡喜、有什麼快樂
[00:00:24.360 --> 00:00:29.720]  最近呢,以前奧運看到那些人很威猛
[00:00:29.720 --> 00:00:35.160]  或者看到香港隊、國家隊或者其他國家的人拿金牌
[00:00:35.160 --> 00:00:37.400]  我們就很開心、很興奮
[00:00:37.400 --> 00:00:40.600]  今年好像不是很興奮,是不是?
[00:00:40.600 --> 00:00:44.040]  是不是?疫症,大家都是這樣
[00:00:44.040 --> 00:00:46.960]  我想問一下,有多久沒有唱過歡欣?
[00:00:46.960 --> 00:00:50.200]  很久沒有唱過的部分
[00:00:50.200 --> 00:00:53.240]  很久沒有唱過歡欣
[00:00:53.240 --> 00:00:54.920]  為什麼沒有唱歡欣呢?
[00:00:54.920 --> 00:00:56.240]  因為不是很歡欣
[00:00:56.240 --> 00:01:00.760]  我想問,如果一回來崇拜第一首歌唱歡欣
[00:01:00.760 --> 00:01:02.920]  你唱得到嗎?
[00:01:02.920 --> 00:01:04.240]  不知道行不行
[00:01:04.240 --> 00:01:05.600]  但是我們記得
[00:01:05.600 --> 00:01:07.040]  我們所信的主
[00:01:07.040 --> 00:01:08.480]  我們敬拜祂
[00:01:08.480 --> 00:01:10.800]  我們回來說感謝、讚美
[00:01:10.800 --> 00:01:14.040]  甚至唱歡喜、快樂
[00:01:14.040 --> 00:01:16.000]  我們不是因為地上沒有問題
[00:01:16.000 --> 00:01:18.760]  因為我們知道主仍然在天上
[00:01:18.760 --> 00:01:20.600]  我們敬拜天上的主
[00:01:20.600 --> 00:01:22.480]  我們的眼界不只是看地上
[00:01:22.480 --> 00:01:24.200]  我們也是看天上
[00:01:24.200 --> 00:01:25.560]  我們要有這樣的心態
[00:01:25.560 --> 00:01:29.560]  我們才能唱得到感恩、歡欣和讚美
[00:01:29.560 --> 00:01:32.400]  所以不要被地上的東西困擾我們
[00:01:32.400 --> 00:01:33.600]  在說到之前
[00:01:33.600 --> 00:01:37.040]  我會代表啟福堂有一點分享
[00:01:37.040 --> 00:01:43.000]  大家知不知道啟福堂是窩福分出去的第幾間分堂?
[00:01:43.000 --> 00:01:44.680]  一到十一
[00:01:44.680 --> 00:01:46.680]  我們當然不是第一
[00:01:46.680 --> 00:01:48.760]  十是望福
[00:01:48.760 --> 00:01:50.920]  我們是十一
[00:01:50.920 --> 00:01:53.080]  我們是十一哥
[00:01:53.080 --> 00:01:55.160]  我們是第十一
[00:01:55.160 --> 00:01:58.440]  我們啟福堂在新蒲崗和大仙區
[00:01:58.440 --> 00:02:00.760]  四年多了
[00:02:00.760 --> 00:02:02.160]  我們四歲多
[00:02:02.160 --> 00:02:06.760]  窩福你們貴庚呢?
[00:02:06.760 --> 00:02:07.720]  人到中年了
[00:02:07.720 --> 00:02:09.360]  窩福四十多了
[00:02:09.360 --> 00:02:10.200]  你四十多
[00:02:10.200 --> 00:02:11.960]  我們四歲多
[00:02:11.960 --> 00:02:13.280]  我們新的分堂
[00:02:13.280 --> 00:02:16.640]  眨眼又快五年了
[00:02:16.640 --> 00:02:19.120]  但是回來匯報我們的工作
[00:02:19.120 --> 00:02:20.800]  我們越來越像一間社區教會
[00:02:20.800 --> 00:02:23.080]  因為我們出去的時候帶著一個異象
[00:02:23.080 --> 00:02:30.240]  就是想刻意去接觸、服侍社區的普通階層
[00:02:30.240 --> 00:02:34.520]  所以我們禱告神給我們教會
[00:02:34.520 --> 00:02:36.400]  一般普通階層
[00:02:36.400 --> 00:02:41.080]  或者有些學歷高一點的也有
[00:02:41.080 --> 00:02:42.840]  普通也有
[00:02:42.840 --> 00:02:45.160]  我們希望兩樣都有
[00:02:45.160 --> 00:02:46.320]  特別是教會的文化
[00:02:46.320 --> 00:02:50.640]  希望能夠向普通街坊傾斜
[00:02:50.640 --> 00:02:55.760]  我們希望教會會成為社區的那些本區居民
[00:02:55.760 --> 00:02:58.840]  會覺得教會是他的鄰舍
