
[00:00:00.000 --> 00:00:01.600]  大家季度你平安
[00:00:01.600 --> 00:00:03.540]  等於節目平安
[00:00:03.540 --> 00:00:06.760]  我們今天又回到彼得全書
[00:00:06.760 --> 00:00:09.700]  我們今天又回到彼得全書
[00:00:09.700 --> 00:00:12.100]  我們停了兩個月彼得全書
[00:00:12.100 --> 00:00:13.960]  停了兩個月彼得全書
[00:00:13.960 --> 00:00:16.040]  大家還記得講到哪裡了嗎
[00:00:16.040 --> 00:00:18.360]  大家還記不記得講到哪裡
[00:00:18.360 --> 00:00:21.600]  本來彼得全書不長
[00:00:21.600 --> 00:00:23.900]  但是我們講了很長時間
[00:00:23.900 --> 00:00:25.500]  本來彼得全書不長
[00:00:25.500 --> 00:00:27.560]  但是我們講了很長時間
[00:00:27.560 --> 00:00:29.860]  不知道大家有沒有一點厭倦
[00:00:29.860 --> 00:00:31.560]  不知道大家有沒有一點厭倦
[00:00:31.560 --> 00:00:33.300]  我們今天回來
[00:00:33.300 --> 00:00:35.460]  我們需要再重溫一下
[00:00:35.460 --> 00:00:37.160]  彼得全書的主題
[00:00:37.160 --> 00:00:38.060]  我們今天回來
[00:00:38.060 --> 00:00:41.300]  我們需要重溫一下彼得全書的主題
[00:00:41.300 --> 00:00:44.200]  彼得全書的主題就是講
[00:00:44.200 --> 00:00:47.460]  基督徒在苦難中的盼望
[00:00:47.460 --> 00:00:49.560]  彼得全書的主題就是講
[00:00:49.560 --> 00:00:52.000]  基督徒在苦難中的盼望
[00:00:52.000 --> 00:00:53.400]  那也就是說
[00:00:53.400 --> 00:00:56.440]  基督徒活在世上一定會受苦
[00:00:56.440 --> 00:00:59.600]  就是說基督徒活在世上一定會受苦
[00:00:59.600 --> 00:01:02.000]  苦難一定伴隨我們的人生
[00:01:02.000 --> 00:01:04.360]  苦難一定伴隨我們的人生
[00:01:04.360 --> 00:01:06.500]  那我們如何來面對苦難呢
[00:01:06.500 --> 00:01:08.240]  那我們如何來面對苦難呢
[00:01:08.240 --> 00:01:09.240]  那在苦難當中
[00:01:09.240 --> 00:01:10.800]  我們的盼望在哪裡呢
[00:01:10.800 --> 00:01:13.100]  苦難之中我們的盼望在哪裡呢
[00:01:13.100 --> 00:01:15.140]  這就是彼得全書的宗旨
[00:01:15.140 --> 00:01:17.360]  這就是彼得全書的宗旨
[00:01:17.360 --> 00:01:21.400]  那我們今天的經文已經到了二章的十八節
[00:01:21.400 --> 00:01:24.100]  我們今天的經文已經到了二章十八節
[00:01:24.100 --> 00:01:25.200]  我們先低頭禱告
[00:01:25.200 --> 00:01:27.260]  我們先低頭祈禱
[00:01:27.260 --> 00:01:29.260]  天父上帝我們來到您的面前
[00:01:29.260 --> 00:01:31.640]  天父上帝我們來到您的面前
[00:01:31.640 --> 00:01:33.760]  我們把我們自己交託給您
[00:01:33.760 --> 00:01:35.560]  我們把我們自己交託給您
[00:01:35.560 --> 00:01:38.460]  因為我們很渺小很軟弱很有限
[00:01:38.460 --> 00:01:41.140]  因為我們很渺小很軟弱很有限
[00:01:41.140 --> 00:01:43.400]  我們把以下的時間交託給您
[00:01:43.400 --> 00:01:45.500]  我們把以下的時間交託給您
[00:01:45.500 --> 00:01:47.300]  求您除去我們的軟弱
[00:01:47.300 --> 00:01:48.960]  求您除去我們的軟弱
[00:01:48.960 --> 00:01:50.760]  求您憐憫我們的虧欠
[00:01:50.760 --> 00:01:52.440]  求您憐憫我們的虧欠
[00:01:52.440 --> 00:01:53.940]  求您加給我們力量
[00:01:53.940 --> 00:01:55.660]  求您加給我們力量
[00:01:55.660 --> 00:01:59.300]  讓我們講的聽的都有聖靈的同在和帶領
[00:01:59.300 --> 00:02:02.760]  讓我們講的聽的都有聖靈的同在和帶領
[00:02:02.760 --> 00:02:05.760]  讓我們的思想情感都被聖靈來掌管
[00:02:05.760 --> 00:02:08.700]  讓我們的思想情感都被聖靈來掌管
[00:02:08.700 --> 00:02:11.200]  讓我們用心來聽用心來講
[00:02:11.200 --> 00:02:13.640]  讓我們用心的聽用心的講
[00:02:13.640 --> 00:02:16.040]  讓神的話語進到我們的心中
[00:02:16.040 --> 00:02:19.240]  讓神的話語進入我們的內心裡面
[00:02:19.240 --> 00:02:21.940]  滋養我們的心靈改變我們的觀念
[00:02:21.940 --> 00:02:24.840]  滋養我們的心靈改變我們的觀念
[00:02:24.840 --> 00:02:27.540]  餵養我們的靈性兼顧我們的信心
[00:02:27.540 --> 00:02:30.260]  餵養我們的靈性兼顧我們的信心
[00:02:30.260 --> 00:02:32.200]  主啊 您打開我們的耳朵
[00:02:32.200 --> 00:02:34.000]  主啊 您打開我們的耳朵
[00:02:34.000 --> 00:02:35.400]  打開我們的心門
[00:02:35.400 --> 00:02:36.760]  打開我們的心門
[00:02:36.760 --> 00:02:38.900]  讓我們側耳來聽您的話語
[00:02:38.900 --> 00:02:41.160]  讓我們側耳來聽您的話語
[00:02:41.160 --> 00:02:43.240]  讓我們認真思想您的話語
[00:02:43.240 --> 00:02:45.300]  讓我們認真思想您的話語
[00:02:45.300 --> 00:02:47.400]  讓我們把您的話語存在心中
[00:02:47.400 --> 00:02:50.000]  讓我們把您的話語存在心裡面
[00:02:50.000 --> 00:02:52.460]  我們把講的和翻譯都交託給您
[00:02:52.460 --> 00:02:54.840]  我們把講的和翻譯都交給您
[00:02:54.840 --> 00:02:56.060]  聖靈帶領我們
[00:02:56.060 --> 00:02:57.340]  聖靈帶領我們
[00:02:57.340 --> 00:03:00.400]  如此禱告 奉告 耶穌基督聖靈求
[00:03:00.400 --> 00:03:03.800]  如此禱告 奉告 耶穌基督聖靈求
[00:03:03.800 --> 00:03:05.700]  阿們
[00:03:05.700 --> 00:03:07.140]  好 我們來讀經文
[00:03:07.140 --> 00:03:08.700]  好 我們一起讀經文
[00:03:08.700 --> 00:03:11.240]  弟兄姊妹請一起朗讀
[00:03:11.240 --> 00:03:13.400]  你們做僕人的
[00:03:13.400 --> 00:03:15.960]  凡事要全敬畏的心
[00:03:15.960 --> 00:03:18.260]  信服主人
[00:03:18.260 --> 00:03:22.140]  不但願信服那善良
[00:03:22.140 --> 00:03:23.140]  溫和的
[00:03:23.140 --> 00:03:26.340]  就是那乖癖的也要信服
[00:03:26.340 --> 00:03:29.660]  倘若人為叫良心對得住神
[00:03:29.660 --> 00:03:32.100]  就忍受冤屈的苦楚
[00:03:32.100 --> 00:03:34.200]  這是可喜愛的
[00:03:34.200 --> 00:03:36.800]  你們若因犯罪受責打
[00:03:36.800 --> 00:03:37.960]  能忍耐
[00:03:37.960 --> 00:03:40.240]  有什麼可誇的呢
[00:03:40.240 --> 00:03:43.000]  但你們若因行善受苦
