
[00:00:00.000 --> 00:00:07.160]  每次聽到新婆加入教會前所分享的得救見證
[00:00:07.160 --> 00:00:10.440]  都會很自然想起自己昔日
[00:00:10.440 --> 00:00:14.200]  曾經像她們一樣
[00:00:14.200 --> 00:00:19.520]  在眾人面前公開承認自己是罪人
[00:00:19.520 --> 00:00:22.480]  公開分享自己的得救見證
[00:00:22.480 --> 00:00:26.000]  分享自己蒙恩的經歷
[00:00:26.000 --> 00:00:29.440]  不知不覺已經很多年了
[00:00:29.440 --> 00:00:32.440]  我想不只是這六位
[00:00:32.440 --> 00:00:38.000]  在座很多人都像我一樣已經受浸
[00:00:38.000 --> 00:00:40.800]  可能是最近的年日
[00:00:40.800 --> 00:00:43.800]  有些人像我一樣可能是十年、二十年
[00:00:43.800 --> 00:00:45.760]  甚至乎更久的日子
[00:00:45.760 --> 00:00:53.400]  我想我們每一位都是一個見證
[00:00:53.400 --> 00:00:58.680]  我們每一個都有一個屬靈成長的故事
[00:00:58.680 --> 00:01:00.800]  有時我都會想
[00:01:00.800 --> 00:01:03.520]  可能在神的手中
[00:01:03.520 --> 00:01:07.440]  都好像有一本這樣的見證集
[00:01:07.440 --> 00:01:11.440]  裡面收集了我們每一個弟兄姊妹
[00:01:11.440 --> 00:01:15.040]  亦都是神所愛的兒女
[00:01:15.040 --> 00:01:18.280]  他們一生的見證
[00:01:18.280 --> 00:01:22.920]  不知你的靈情故事是怎樣呢?
[00:01:22.920 --> 00:01:24.920]  覺得自己的生命
[00:01:24.920 --> 00:01:29.400]  是否真的可以完全地
[00:01:29.400 --> 00:01:34.160]  在神的面前坦然地打開
[00:01:34.160 --> 00:01:37.160]  不過我們想一想
[00:01:37.160 --> 00:01:40.080]  聖經都可能提過有類似的東西
[00:01:40.080 --> 00:01:42.920]  不知大家想起那樣東西呢?
[00:01:42.920 --> 00:01:49.000]  我想一想就是聖經提過的一本《生命冊》
[00:01:49.000 --> 00:01:51.720]  在啟示律裡面提過
[00:01:51.720 --> 00:01:55.280]  這本《生命冊》如果上面有名字的話
[00:01:55.280 --> 00:01:58.760]  都會憑著這些案卷所記的
[00:01:58.760 --> 00:02:01.840]  照它所行的受審判
[00:02:01.840 --> 00:02:06.160]  但是若有人名字沒有記在這個《生命冊》
[00:02:06.160 --> 00:02:12.040]  他就會被吊在一個火壺裡面
[00:02:12.040 --> 00:02:14.760]  這本一個記錄
[00:02:14.760 --> 00:02:16.640]  一個記錄冊
[00:02:16.640 --> 00:02:21.920]  真的有點像我剛才所說的一個靈情的日記
[00:02:21.920 --> 00:02:26.440]  又像一張靈情的成績表
[00:02:26.440 --> 00:02:28.880]  我又想一想又猜一猜
[00:02:28.880 --> 00:02:32.200]  可能大部份的信徒在受浸之前
[00:02:32.200 --> 00:02:35.640]  都應該是不錯的成績表
[00:02:35.640 --> 00:02:37.480]  好的意思
[00:02:37.480 --> 00:02:41.280]  不是說因為他有幾好的表現
[00:02:41.280 --> 00:02:44.480]  或者做了幾多好的事情
[00:02:44.480 --> 00:02:46.880]  因為神不是看這些的
[00:02:46.880 --> 00:02:50.320]  我們的得救是祂的恩典
[00:02:50.320 --> 00:02:51.560]  我所說的好
[00:02:51.560 --> 00:02:55.640]  反而是一個適合初信的人
[00:02:55.640 --> 00:03:00.720]  因為他還是很新鮮
[00:03:00.720 --> 00:03:05.680]  在他的生命裡的一個得救蒙恩的經驗
[00:03:05.680 --> 00:03:09.240]  他正正剛剛經歷了
[00:03:09.240 --> 00:03:15.280]  自己因為罪而得著赦免的那種不釋放
[00:03:15.280 --> 00:03:20.200]  以致一般來說都會較為謙遜
[00:03:20.200 --> 00:03:21.960]  生命可能在這一刻
[00:03:21.960 --> 00:03:25.720]  有人會覺得是軟弱
