
[00:00:00.000 --> 00:00:03.760]  感謝神讓我有機會再一次回到這裡
[00:00:03.760 --> 00:00:05.760]  和大家有機會見面
[00:00:05.760 --> 00:00:08.480]  在網路上的大英姐妹
[00:00:08.480 --> 00:00:10.160]  雖然我見不到你
[00:00:10.160 --> 00:00:11.480]  但你也見到我
[00:00:11.480 --> 00:00:13.480]  可以我們一起來去敬拜
[00:00:13.480 --> 00:00:15.480]  一起來侍奉我們的神
[00:00:15.480 --> 00:00:21.200]  我們說脾氣人人都有
[00:00:21.200 --> 00:00:24.480]  但是發出來的方式每個人都不同
[00:00:24.480 --> 00:00:27.280]  有些人發脾氣的時候會破口大罵
[00:00:27.280 --> 00:00:29.280]  有些人發脾氣什麼都不說
[00:00:29.280 --> 00:00:33.280]  嘴巴好像被針線縫起來一樣
[00:00:33.280 --> 00:00:36.280]  有些人發脾氣會亂扔東西
[00:00:36.280 --> 00:00:40.280]  有些人發脾氣會把自己困在房間裡
[00:00:40.280 --> 00:00:42.280]  什麼人都不可以進去
[00:00:42.280 --> 00:00:44.280]  有些人發脾氣會打人
[00:00:44.280 --> 00:00:46.280]  有些人發脾氣會打自己
[00:00:46.280 --> 00:00:53.280]  所以我們說生氣人人都會有的事情
[00:00:53.280 --> 00:00:56.280]  事實上我們知道發脾氣
[00:00:56.280 --> 00:01:04.280]  或者憤怒是人對一些我們覺得不合理的事的一種反應
[00:01:04.280 --> 00:01:07.280]  可以說是一種正常的反應
[00:01:07.280 --> 00:01:11.280]  所以我們說生氣其實是人之常情
[00:01:11.280 --> 00:01:16.280]  問題是我們怎樣去處理我們的怒氣
[00:01:16.280 --> 00:01:18.280]  怎樣去表達
[00:01:18.280 --> 00:01:20.280]  這個是我們的問題
[00:01:20.280 --> 00:01:26.280]  我選擇怒氣這個題目
[00:01:26.280 --> 00:01:32.280]  是因為我覺得最近人心裡的確有很多憤怒
[00:01:32.280 --> 00:01:40.280]  可能是因為疫情將人的情緒壓抑得非常厲害
[00:01:40.280 --> 00:01:47.280]  也可能是整個社會都落在彼此對立的氣氛裡
[00:01:47.280 --> 00:01:51.280]  動不動就燃起火花
[00:01:51.280 --> 00:01:54.280]  最近我在網路上看到一個統計數字
[00:01:54.280 --> 00:01:58.280]  我不知道有多科學的統計
[00:01:58.280 --> 00:02:04.280]  不過我看它的內容似乎都很吻合我們平時的觀察
[00:02:04.280 --> 00:02:06.280]  它說有30%的人
[00:02:06.280 --> 00:02:10.280]  最少有一個親近的朋友或者家人
[00:02:10.280 --> 00:02:14.280]  是控制不了自己的怒氣
[00:02:14.280 --> 00:02:18.280]  有10%的人自己控制不了怒氣
[00:02:18.280 --> 00:02:22.280]  有相當多的人開車的時候
[00:02:22.280 --> 00:02:26.280]  曾經遇見過road rage的情況
[00:02:26.280 --> 00:02:30.280]  也有不少的人自己有road rage的時候
[00:02:30.280 --> 00:02:36.280]  這裡說有一半的人曾經對他的電腦發過脾氣
[00:02:36.280 --> 00:02:40.280]  我不知道你有沒有試過
[00:02:40.280 --> 00:02:45.280]  基本上大部分的人都同意現在的人是越來越多憤怒
[00:02:45.280 --> 00:02:50.280]  這個是我覺得大家都可能都會同意的
[00:02:50.280 --> 00:02:53.280]  在基督教的傳統裡面
[00:02:53.280 --> 00:02:56.280]  其實在很早期的中世紀的時候
[00:02:56.280 --> 00:03:02.280]  就已經有列出所謂七項的seven deadly sins
[00:03:02.280 --> 00:03:05.280]  有時候中文被翻譯為七宗罪
[00:03:05.280 --> 00:03:09.280]  如果直接翻譯的話就是七樣致命的罪惡
[00:03:09.280 --> 00:03:15.280]  這七樣裡面其中有一樣就是怒氣
[00:03:15.280 --> 00:03:19.280]  所以你可以看見怒氣這件事其實是
[00:03:19.280 --> 00:03:24.280]  一直以來我們在基督教的歷史裡面都注意到
[00:03:24.280 --> 00:03:31.280]  是一樣相當有殺傷力的一種情形
[00:03:31.280 --> 00:03:36.280]  幾乎沒有人是從來不生氣的
[00:03:36.280 --> 00:03:39.280]  有時候是為了人有時候是為了事
[00:03:39.280 --> 00:03:41.280]  有時候是為了一些東西
[00:03:41.280 --> 00:03:48.280]  當你被人欺負有人得罪你的時候你會生氣
[00:03:48.280 --> 00:03:52.280]  當事情發生不合你的心意的時候你會生氣
[00:03:52.280 --> 00:03:56.280]  當事情不受你控制的時候你會生氣
[00:03:56.280 --> 00:03:59.280]  或者新聞仔不聽話會生氣
[00:03:59.280 --> 00:04:05.280]  配偶做了一些我們不喜歡的事我們會生氣
[00:04:05.280 --> 00:04:07.280]  在新約聖經有一段經文
[00:04:07.280 --> 00:04:11.280]  二弗所書第四章我不詳細全部讀出來
[00:04:11.280 --> 00:04:17.280]  其中有一節第26節說到生氣卻不要犯罪
[00:04:17.280 --> 00:04:21.280]  不可含怒到日落
[00:04:21.280 --> 00:04:26.280]  可見聖經也承認人是會生氣的
[00:04:26.280 --> 00:04:29.280]  而且生氣不一定是不對的
[00:04:29.280 --> 00:04:36.280]  但是要非常小心因為生氣會很容易令人犯罪
[00:04:36.280 --> 00:04:40.280]  今天我不是在二弗所書的經文跟大家分享
[00:04:40.280 --> 00:04:44.280]  而是我想在舊約的《針研》裏面
[00:04:44.280 --> 00:04:51.280]  原來《針研》提到人的怒氣是有相當多的經文
