
[00:00:00.000 --> 00:00:04.800]  開始之前我們一起祈禱吧
[00:00:04.800 --> 00:00:06.880]  親愛的父上帝
[00:00:06.880 --> 00:00:10.800]  我們今天很想在亡祿裏面迎見祢
[00:00:10.800 --> 00:00:12.400]  求祢幫助我們
[00:00:12.400 --> 00:00:16.480]  首先在這一刻能夠放下纏累我們的東西
[00:00:16.480 --> 00:00:19.480]  讓我們的心傳言歸祢
[00:00:19.480 --> 00:00:21.040]  讓我們能夠聽到
[00:00:21.040 --> 00:00:24.400]  祢今天要透過經文對我們的提醒
[00:00:24.400 --> 00:00:26.080]  求祢使用孩子的口
[00:00:26.080 --> 00:00:28.800]  能夠清楚傳達祢的話語
[00:00:28.800 --> 00:00:30.720]  就是祢時刻的同在
[00:00:30.720 --> 00:00:32.800]  透過奉主耶穌基督的聖名而求
[00:00:32.800 --> 00:00:34.280]  阿們
[00:00:34.280 --> 00:00:37.440]  弟兄姊妹平安
[00:00:37.440 --> 00:00:41.080]  你覺得自己忙嗎?
[00:00:41.080 --> 00:00:43.600]  今天沒那麼忙
[00:00:43.600 --> 00:00:45.400]  昨天好像比較忙
[00:00:45.400 --> 00:00:46.920]  有些人點頭的也是
[00:00:46.920 --> 00:00:50.120]  我想大部份香港人都很忙
[00:00:50.120 --> 00:00:52.560]  我們在家工作室還是很忙
[00:00:52.560 --> 00:00:55.520]  就知道我們是很忙的了
[00:00:55.520 --> 00:00:59.760]  亡祿這個題目跟我都很貼切
[00:00:59.760 --> 00:01:02.800]  認識我的人都知道我是很忙的
[00:01:02.800 --> 00:01:04.720]  我之前是教書的
[00:01:04.720 --> 00:01:06.560]  老師是眾所周知
[00:01:06.560 --> 00:01:10.200]  數一數二都是比較繁忙的職業
[00:01:10.200 --> 00:01:11.760]  在讀神學的時候
[00:01:11.760 --> 00:01:14.680]  又入了學術要求比較高的學院
[00:01:14.680 --> 00:01:17.720]  還要做學生會副會長
[00:01:17.720 --> 00:01:20.040]  不過忠臣的老師很好
