
[00:00:00.000 --> 00:00:04.860]  大家好,主要是有機會跟大家分享神的話語
[00:00:04.860 --> 00:00:11.100]  一年前的今天,我在耶路撒冷跑馬拉松
[00:00:11.100 --> 00:00:17.640]  我跑10公里,有兩位是跑全馬
[00:00:17.640 --> 00:00:23.460]  其中一位,耶路撒冷的馬拉松不是很成熟,但要求很高
[00:00:23.460 --> 00:00:29.920]  全馬要求6個小時內一定要完成,一個就cut了
[00:00:30.200 --> 00:00:32.760]  駕駛也要長一點,那裡不行
[00:00:32.760 --> 00:00:38.380]  有位弟兄在最後7秒之前衝線
[00:00:38.380 --> 00:00:41.940]  剛剛好,就過關了
[00:00:41.940 --> 00:00:44.800]  最近我們又再談這件事
[00:00:44.800 --> 00:00:48.560]  其實本來我應該明天出發,還是後天出發
[00:00:48.560 --> 00:00:52.860]  今年的馬拉松,不過就取消了
[00:00:52.860 --> 00:00:56.220]  我們取消,那邊就退了,因為疫情的緣故
[00:00:56.760 --> 00:01:01.740]  但是我沒有因為這個取消而停止跑步
[00:01:01.740 --> 00:01:06.940]  我跑步不是因為要跑馬拉松,純粹是因為健康
[00:01:06.940 --> 00:01:12.440]  而在這個疫情下,我們經常在home office
[00:01:12.440 --> 00:01:15.860]  我反而是多了自主的時間,其實忙了很多
[00:01:15.860 --> 00:01:18.460]  所以坐到我腰都歪了,其實真的有點痛
[00:01:18.460 --> 00:01:23.300]  但是自主的時間多了,所以我跑步的時間也多了
[00:01:23.300 --> 00:01:26.660]  所以多謝公司說我瘦了,應該是這樣的
[00:01:27.460 --> 00:01:33.760]  這個其實是我自己反思的時候
[00:01:33.760 --> 00:01:39.080]  我沒有因為可以去跑比賽,或者是帶團出去
[00:01:39.080 --> 00:01:41.780]  或者沒有而改變一件事
[00:01:41.780 --> 00:01:44.520]  就是原來跑步是身心有益的
[00:01:44.520 --> 00:01:46.900]  還有跑開步是會上癮的
[00:01:46.900 --> 00:01:52.040]  所以原來我知道我要做什麼,我知道目的是什麼
[00:01:52.040 --> 00:01:56.060]  環境變了,我都會仍然繼續做下去
[00:01:56.060 --> 00:02:00.600]  我的目的,是決定了我做什麼
[00:02:00.600 --> 00:02:05.820]  所以今天跟大家分享的題目,叫做"不以為恥"
[00:02:05.820 --> 00:02:11.960]  剛才讀經都讀過了,都讀了保羅在這段給提摩太太的教訓
[00:02:11.960 --> 00:02:15.800]  我們經常都說"不以福音為恥"
[00:02:15.800 --> 00:02:20.940]  但是環境轉變,我們自己有沒有改變
[00:02:20.940 --> 00:02:22.940]  我們改變了什麼
[00:02:22.940 --> 00:02:26.700]  今天在這個疫情的影響底下
[00:02:26.700 --> 00:02:30.200]  我不知道對你來說有多大的影響
[00:02:30.200 --> 00:02:34.820]  在這個疫情開始的時候
[00:02:34.820 --> 00:02:39.880]  我想我們都經驗過,我們機構我們自己都經驗過
[00:02:39.880 --> 00:02:42.220]  17年前SARS對我們的影響
