
[00:00:00.000 --> 00:00:04.600]  能夠在聖誕節的崇拜和大家在港台見面
[00:00:04.600 --> 00:00:07.000]  是非常大的福份
[00:00:07.000 --> 00:00:11.000]  能夠在聖誕節在港台跟大家見面
[00:00:11.000 --> 00:00:12.400]  是非常大的福份
[00:00:12.400 --> 00:00:16.400]  特別剛才看到年輕人在唱歌
[00:00:16.400 --> 00:00:18.800]  特別剛才看到年輕人在唱歌
[00:00:18.800 --> 00:00:19.600]  彈琴
[00:00:19.600 --> 00:00:21.200]  彈結他
[00:00:21.200 --> 00:00:22.200]  彈結他
[00:00:22.200 --> 00:00:23.000]  打鼓
[00:00:23.000 --> 00:00:23.600]  打鼓
[00:00:23.600 --> 00:00:27.600]  這班年輕人很多都是我們從小看到他們長大的
[00:00:27.600 --> 00:00:31.000]  這班年輕人很多都是我們從小看到他們長大的
[00:00:31.000 --> 00:00:36.400]  能夠在節日當中一起走出來在台上敬拜
[00:00:36.400 --> 00:00:37.800]  我們是很高興
[00:00:37.800 --> 00:00:39.800]  在這個節日當中
[00:00:39.800 --> 00:00:43.800]  他們走到台上跟大家一起來敬拜
[00:00:43.800 --> 00:00:45.000]  是非常高興的
[00:00:45.000 --> 00:00:49.600]  我們剛才讀的詩篇也是要我們這樣做的
[00:00:49.600 --> 00:00:52.600]  剛才我們所念的詩篇也是讓我們這樣做的
[00:00:52.600 --> 00:00:56.200]  他說全地都要向我們的神耶和華歡呼
[00:00:56.200 --> 00:01:01.000]  他說全地都要向我們的神耶和華歡呼
[00:01:01.000 --> 00:01:02.800]  要揚聲
[00:01:02.800 --> 00:01:03.600]  要揚聲
[00:01:03.600 --> 00:01:04.400]  歡唱
[00:01:04.400 --> 00:01:05.200]  歡唱
[00:01:05.200 --> 00:01:05.800]  歌頌
[00:01:05.800 --> 00:01:06.600]  歌頌
[00:01:06.600 --> 00:01:08.400]  用琴來歌頌耶和華
[00:01:08.400 --> 00:01:10.000]  用琴來歌頌耶和華
[00:01:10.000 --> 00:01:12.600]  用琴和詩歌的聲音來歌頌祂
[00:01:12.600 --> 00:01:15.200]  用琴和詩歌的聲音來歌頌祂
[00:01:15.200 --> 00:01:17.800]  用號筒和角聲
[00:01:17.800 --> 00:01:19.400]  用號筒跟角聲
[00:01:19.400 --> 00:01:21.800]  在大君王耶和華面前歡呼
[00:01:21.800 --> 00:01:24.000]  在大君王耶和華面前歡呼
[00:01:24.000 --> 00:01:27.200]  剛才我們敬拜就差了一點點
[00:01:27.200 --> 00:01:29.600]  剛才敬拜就差了一點點
[00:01:29.600 --> 00:01:31.800]  差了號筒和角聲
[00:01:31.800 --> 00:01:35.200]  差了號筒和角聲
[00:01:35.200 --> 00:01:37.600]  差了喇叭
[00:01:37.600 --> 00:01:39.200]  差了喇叭
[00:01:39.200 --> 00:01:40.600]  號角
[00:01:40.600 --> 00:01:42.400]  我相信氣氛會更加好
[00:01:42.400 --> 00:01:44.400]  我相信氣氛會更加好
[00:01:44.400 --> 00:01:49.800]  為什麼我們在聖誕節期間特別要去歡呼呢
[00:01:49.800 --> 00:01:52.600]  為什麼我們在聖誕節期間特別要去歡呼呢
[00:01:52.600 --> 00:01:56.400]  大家知道聖誕是一個普世歡騰的節日
[00:01:56.400 --> 00:01:59.600]  大家知道聖誕是一個普世歡騰的節日
[00:01:59.600 --> 00:02:02.600]  普世這個詞其實是很重要的
[00:02:02.600 --> 00:02:05.400]  普世這個詞其實非常重要
[00:02:05.400 --> 00:02:08.600]  因為很多時候我們都會有開心有不開心
[00:02:08.600 --> 00:02:11.200]  因為很多時候我們有快樂有不快樂
[00:02:11.200 --> 00:02:13.600]  或者今天我開心但是你不開心
[00:02:13.600 --> 00:02:15.600]  或者今天我快樂你卻不快樂
[00:02:15.600 --> 00:02:18.400]  明天可能你開心就輪到我不開心
[00:02:18.400 --> 00:02:20.800]  可能明天是你開心我不開心
[00:02:20.800 --> 00:02:24.000]  很多時候不會大家都開心
[00:02:24.000 --> 00:02:27.200]  很多時候比較少大家都開心
[00:02:27.200 --> 00:02:29.200]  因為總有些事情令我們不開心
[00:02:29.200 --> 00:02:30.400]  總是會有一些事情
[00:02:30.400 --> 00:02:32.600]  因為我們人生之中有很多憂慮
[00:02:32.600 --> 00:02:34.000]  因為人生之中很多的憂慮
[00:02:34.000 --> 00:02:35.600]  我們經歷了很多苦難
[00:02:35.600 --> 00:02:36.600]  我們經歷了很多苦難
[00:02:36.600 --> 00:02:38.200]  有很多不如意的事情
[00:02:38.200 --> 00:02:39.000]  很多不如意的事情
[00:02:39.000 --> 00:02:40.400]  令我們很不開心
[00:02:40.400 --> 00:02:42.000]  讓我們很不開心
[00:02:42.000 --> 00:02:43.200]  在物理上
[00:02:43.200 --> 00:02:44.200]  在物理上
[00:02:44.200 --> 00:02:46.200]  讀物理的朋友應該知道
[00:02:46.200 --> 00:02:47.200]  念物理的朋友應該知道
[00:02:47.200 --> 00:02:48.400]  有一個定義
[00:02:48.400 --> 00:02:49.200]  有一個定義
[00:02:49.200 --> 00:02:53.200]  它說是一個能量或者質量守恆的定義
[00:02:53.200 --> 00:02:57.200]  它說是所謂的能量或者質量的守恆
[00:02:57.200 --> 00:02:59.400]  英文是Conservation of Energy
[00:02:59.400 --> 00:03:01.000]  Conservation of Material
[00:03:01.000 --> 00:03:02.800]  英文就是Conservation of Energy
[00:03:02.800 --> 00:03:04.800]  或者說Conservation of Material
[00:03:04.800 --> 00:03:06.600]  就是說質量和能量
[00:03:06.600 --> 00:03:09.600]  它是不會增加不會減少的
[00:03:09.600 --> 00:03:13.000]  就是說質量和能量不會增加也不會減少
[00:03:13.000 --> 00:03:14.200]  它只會改變
