
[00:00:00.000 --> 00:00:03.760]  不知我們是否每天都會跟着鼻子走呢
[00:00:03.760 --> 00:00:06.720]  向哪邊又走哪邊
[00:00:06.720 --> 00:00:09.360]  今天早上我和大家分享
[00:00:09.360 --> 00:00:11.840]  穆斯今年65歲
[00:00:11.840 --> 00:00:16.080]  65歲的人通常會想些什麼呢
[00:00:16.080 --> 00:00:18.320]  我覺得我65歲的時候
[00:00:18.320 --> 00:00:19.600]  今年6月
[00:00:19.600 --> 00:00:22.080]  經常想 聽很多人說
[00:00:22.080 --> 00:00:24.080]  新的城市有很多福利
[00:00:24.080 --> 00:00:27.760]  做了新的城市之後有什麼福利呢
[00:00:27.760 --> 00:00:32.320]  7月大家知道我們有30人回中國大陸做短訊
[00:00:32.320 --> 00:00:35.840]  我第一件事去到香港飛機場的時候做什麼大家知道嗎
[00:00:35.840 --> 00:00:38.640]  立刻去到八達通的地鐵站
[00:00:38.640 --> 00:00:42.080]  買了張Senior的八達通卡
[00:00:42.080 --> 00:00:43.120]  ok
[00:00:43.120 --> 00:00:43.920]  爲什麼呢
[00:00:43.920 --> 00:00:46.080]  因爲那時候我買了之後
[00:00:46.080 --> 00:00:49.920]  我坐的那些coach bus由機場回到我住的地方
[00:00:49.920 --> 00:00:53.600]  本來是48元的 24元而已
[00:00:53.600 --> 00:00:59.760]  而且在香港的時間無論我坐巴士也好坐subway也好坐ferry也好
[00:00:59.760 --> 00:01:01.920]  全部香港2元
[00:01:01.920 --> 00:01:03.360]  大家知不知道
[00:01:03.360 --> 00:01:05.920]  這是香港citizen的福利
[00:01:05.920 --> 00:01:09.200]  哇 都save我那天的money
[00:01:09.200 --> 00:01:14.160]  因爲在香港有一段時間然後去大陸做短訊
[00:01:14.160 --> 00:01:17.680]  事實上很難避免不去想
[00:01:17.680 --> 00:01:19.440]  當你這個年紀的時候
[00:01:19.440 --> 00:01:21.120]  退休做些什麼呢
[00:01:21.120 --> 00:01:22.400]  ok
[00:01:22.400 --> 00:01:26.400]  我師母經常都會抱怨
[00:01:26.400 --> 00:01:27.360]  抱怨什麼呢
[00:01:27.360 --> 00:01:28.880]  哇 你說到就到處去
[00:01:28.880 --> 00:01:31.440]  但是我好多地方都沒去過
[00:01:31.440 --> 00:01:32.960]  她很喜歡去旅遊的
[00:01:32.960 --> 00:01:34.560]  很喜歡去看地方的
[00:01:34.560 --> 00:01:35.760]  其實我也喜歡的
[00:01:35.760 --> 00:01:39.120]  去旅行啊 到處去看世界啊
[00:01:39.120 --> 00:01:40.640]  這麼大 是不是
[00:01:40.640 --> 00:01:43.680]  所以其實我們兩個人有時候聊天的時候都會說
[00:01:43.680 --> 00:01:46.640]  做什麼都好 退休如果多點時間的時候呢
[00:01:46.640 --> 00:01:49.280]  最好我們能夠坐那些cruise ship
[00:01:49.280 --> 00:01:51.200]  那些遊輪環遊世界
[00:01:51.200 --> 00:01:53.040]  通常都要幾個月的
[00:01:53.040 --> 00:01:56.960]  去到上岸的時候就有land excursion
[00:01:56.960 --> 00:01:58.160]  參觀不同的地方
[00:01:58.160 --> 00:02:00.400]  在船上的時候最好什麼呢
[00:02:00.400 --> 00:02:02.000]  寫下書也好
[00:02:02.000 --> 00:02:04.000]  靜靜的 你沒什麼地方去
[00:02:04.000 --> 00:02:05.440]  一日三餐有人照顧
[00:02:05.440 --> 00:02:06.960]  你就在那裏寫書
[00:02:06.960 --> 00:02:08.320]  關於ministry的
[00:02:08.320 --> 00:02:10.800]  做了幾年牧師 應該很多東西寫了
[00:02:10.800 --> 00:02:12.720]  這些是我們的dream
[00:02:12.720 --> 00:02:16.320]  不知道有沒有機會實現呢
[00:02:16.320 --> 00:02:18.080]  不過與此同時呢
[00:02:18.080 --> 00:02:21.040]  我跟師母都經常說
[00:02:21.040 --> 00:02:22.720]  我們的生命我們經常口說
[00:02:22.720 --> 00:02:24.320]  教導弟兄姊妹都是
[00:02:24.320 --> 00:02:26.800]  我們的生命是屬於上帝的
[00:02:26.800 --> 00:02:28.240]  如果上帝說
[00:02:28.240 --> 00:02:29.520]  你想去旅遊世界啊
[00:02:29.520 --> 00:02:30.720]  Sorry
[00:02:30.720 --> 00:02:32.720]  It's not my plan for you
[00:02:32.720 --> 00:02:35.760]  這個不是我給你生命當中的指示來的
[00:02:35.760 --> 00:02:37.280]  你想寫書啊
[00:02:37.280 --> 00:02:38.320]  好的這個idea
[00:02:38.320 --> 00:02:42.400]  不過我有別的東西給你做
[00:02:42.400 --> 00:02:44.800]  那我做不做好呢
[00:02:44.800 --> 00:02:49.040]  我還會不會計劃去環遊世界呢
[00:02:49.040 --> 00:02:52.640]  如果你問我呢Right now I will tell you
[00:02:52.640 --> 00:02:54.160]  我應該聽神說吧
[00:02:54.160 --> 00:02:55.440]  我是牧師來的嘛
[00:02:55.440 --> 00:02:57.280]  神要我做什麼就做什麼
[00:02:57.280 --> 00:03:01.440]  神要我去哪裏就去哪裏
[00:03:01.440 --> 00:03:05.200]  很多時候不知道大家有沒有類似的掙扎呢
[00:03:05.200 --> 00:03:07.680]  你知道神想要你做些什麼
[00:03:07.680 --> 00:03:08.880]  OK
[00:03:08.880 --> 00:03:12.560]  然後你心裏面又想做些什麼
[00:03:12.560 --> 00:03:15.200]  當你落在這樣的掙扎當中的時候呢
[00:03:15.200 --> 00:03:17.840]  你的choice是什麼呢
[00:03:17.840 --> 00:03:20.400]  那今天跟大家講一個故事
[00:03:20.400 --> 00:03:23.440]  有些人可能聽過有些人可能不太熟悉
[00:03:23.440 --> 00:03:25.360]  我們講一個人物
[00:03:25.360 --> 00:03:28.400]  他是一個外邦人的先知
[00:03:28.400 --> 00:03:31.440]  或者我們甚至可以叫做一個靈媒
[00:03:31.440 --> 00:03:33.120]  有些人以爲他是基督徒
[00:03:33.120 --> 00:03:33.840]  不是基督徒啦
[00:03:33.840 --> 00:03:36.080]  有人以爲他是以色列人來的
[00:03:36.080 --> 00:03:36.800]  其實不是
[00:03:36.800 --> 00:03:37.440]  OK
[00:03:37.440 --> 00:03:41.520]  這個人叫巴蘭
[00:03:41.520 --> 00:03:43.200]  他是一個靈媒來的
[00:03:43.200 --> 00:03:44.960]  是一個pagan prophet
[00:03:44.960 --> 00:03:47.760]  一個外邦人的先知
[00:03:47.760 --> 00:03:49.600]  這個人爲什麼出名呢
[00:03:49.600 --> 00:03:50.720]  爲什麼我們聽過呢
[00:03:50.720 --> 00:03:52.880]  因爲《新約聖經》就提及過他
[00:03:52.880 --> 00:03:56.080]  不要像巴蘭那樣做事
[00:03:56.080 --> 00:03:57.600]  到底他做了些什麼呢
[00:03:57.600 --> 00:03:59.520]  我們似知似不知
[00:03:59.520 --> 00:04:04.480]  原來巴蘭這個故事就記載在《文書記》22章
[00:04:04.480 --> 00:04:07.120]  這個人有一個長處
[00:04:07.120 --> 00:04:09.120]  或者一個很特別的地方是什麼呢
[00:04:09.120 --> 00:04:11.280]  這個人是一個靈媒
[00:04:11.280 --> 00:04:13.920]  是一個所謂外邦人的先知
[00:04:13.920 --> 00:04:15.440]  他出了名是什麼呢
[00:04:15.440 --> 00:04:18.160]  他咒了誰 誰就被咒了
[00:04:18.160 --> 00:04:21.200]  他祝福誰 誰就可以得到祝福
[00:04:21.200 --> 00:04:22.880]  這很厲害的
[00:04:22.880 --> 00:04:24.560]  個個都想祝福 不想咒咒
[00:04:24.560 --> 00:04:27.600]  這個人竟然有個reputation
[00:04:27.600 --> 00:04:30.080]  每次他咒哪個人 那個人就衰了
[00:04:30.080 --> 00:04:32.880]  他祝福哪個人 那個人就蒙福了
[00:04:32.880 --> 00:04:36.080]  這就很powerful了
[00:04:36.080 --> 00:04:37.920]  就在那個時間裏面
[00:04:37.920 --> 00:04:43.040]  摩厄王巴勒就遇到一個很大的困擾
[00:04:43.040 --> 00:04:45.760]  爲什麼呢 摩厄王的困擾
