
[00:00:00.000 --> 00:00:05.000]  大家早晨好 願大家平安
[00:00:05.000 --> 00:00:11.000]  這個《但義理書》呢 前一部分都是尼布賈尼薩王的事情
[00:00:11.000 --> 00:00:16.000]  這個《但義理書》前一部分都是講尼布薩王的事情
[00:00:16.000 --> 00:00:19.000]  他一共經歷了四件事
[00:00:19.000 --> 00:00:21.000]  這是第四件
[00:00:21.000 --> 00:00:26.000]  這件事情呢 讓這個王明白了一個道理
[00:00:26.000 --> 00:00:29.000]  這件事情讓這個王明白了一個道理
[00:00:29.000 --> 00:00:35.000]  就是不論是國度還是王
[00:00:35.000 --> 00:00:38.000]  都是神掌權的
[00:00:38.000 --> 00:00:43.000]  這個神即是在一個國家中掌權
[00:00:43.000 --> 00:00:47.000]  也在一個國王身上掌權
[00:00:47.000 --> 00:00:50.000]  他通過這件事他應該是明白了這個道理
[00:00:50.000 --> 00:00:53.000]  他通過這件事應該是明白了這個道理
[00:00:53.000 --> 00:00:57.000]  《但義理書》呢 我們看到這個第四章
[00:00:57.000 --> 00:00:59.000]  《但義理書》我們看到了第四章
[00:00:59.000 --> 00:01:04.000]  第四章不是一個我們很習慣的那種講故事
[00:01:04.000 --> 00:01:08.000]  第四章不是那種好像我們很習慣了的那種講故事
[00:01:08.000 --> 00:01:11.000]  它更像是一個公開信
[00:01:11.000 --> 00:01:13.000]  它更像是一種公開信
[00:01:13.000 --> 00:01:17.000]  好像這個王在向國民宣佈一件事
[00:01:17.000 --> 00:01:20.000]  好像這個王是向國民宣佈一件事
[00:01:20.000 --> 00:01:22.000]  那今天大家有沒有帶聖經啊
[00:01:22.000 --> 00:01:24.000]  大家今天有沒有帶聖經呢
[00:01:24.000 --> 00:01:27.000]  不管是什麼形式的
[00:01:27.000 --> 00:01:29.000]  不管是什麼形式的
[00:01:29.000 --> 00:01:33.000]  因為投影再怎麼做呀
[00:01:33.000 --> 00:01:37.000]  無論如何不如你有聖經在手裡
[00:01:37.000 --> 00:01:39.000]  因為投影不管怎麼去做
[00:01:39.000 --> 00:01:44.000]  都不如你有本聖經在你的手上
[00:01:44.000 --> 00:01:47.000]  所以有聖經的你們打開
[00:01:47.000 --> 00:01:48.000]  有聖經的你們打開
[00:01:48.000 --> 00:01:50.000]  你們打開《但義理書》第四章
[00:01:50.000 --> 00:01:53.000]  《但義理書》第四章
[00:01:53.000 --> 00:01:55.000]  大家首先來看第三節
[00:01:55.000 --> 00:01:57.000]  首先大家來看第三節
[00:01:57.000 --> 00:01:59.000]  你看第三節
[00:01:59.000 --> 00:02:01.000]  他說他的神蹟何其大
[00:02:01.000 --> 00:02:03.000]  他的騎士何其盛
[00:02:03.000 --> 00:02:04.000]  第三節他說
[00:02:04.000 --> 00:02:06.000]  他的神蹟何其大
[00:02:06.000 --> 00:02:08.000]  他的騎士何其盛
[00:02:08.000 --> 00:02:09.000]  他的國是永遠的
[00:02:09.000 --> 00:02:11.000]  他的權柄存到萬代
[00:02:11.000 --> 00:02:12.000]  他的國是永遠的
[00:02:12.000 --> 00:02:15.000]  他的權柄傳到萬代
[00:02:15.000 --> 00:02:18.000]  然後你再看三十四
[00:02:18.000 --> 00:02:22.000]  然後你再看三十四
[00:02:22.000 --> 00:02:23.000]  三十四的後半部分
[00:02:23.000 --> 00:02:26.000]  他說他就稱頌至高者
[00:02:26.000 --> 00:02:29.000]  讚美尊崇活到永遠的神
[00:02:29.000 --> 00:02:32.000]  三十四他的後半部分就說
[00:02:32.000 --> 00:02:38.000]  我就稱頌至高者
[00:02:38.000 --> 00:02:42.000]  讚美尊崇活到永遠的神
[00:02:42.000 --> 00:02:43.000]  然後接著他說
