
[00:00:00.000 --> 00:00:02.680]  讓我們一起有祈禱的時間
[00:00:02.680 --> 00:00:07.240]  主啊求您的聖靈
[00:00:07.240 --> 00:00:10.640]  再一次離去開我們的眼睛
[00:00:10.640 --> 00:00:12.480]  開我們的耳朵
[00:00:12.480 --> 00:00:15.520]  以至到我們都能夠在罪
[00:00:15.520 --> 00:00:18.280]  以及面對審判
[00:00:18.280 --> 00:00:19.880]  作為主祢的門徒
[00:00:19.880 --> 00:00:22.600]  我們怎樣離去到去正視
[00:00:22.600 --> 00:00:24.840]  怎樣離去到在當中繼續離去到
[00:00:24.840 --> 00:00:29.280]  讓聖靈去根深改變我們的生命
[00:00:29.280 --> 00:00:31.520]  以至到我們能夠更加
[00:00:31.520 --> 00:00:33.240]  好像耶穌基督一樣
[00:00:33.240 --> 00:00:36.280]  繼續走在這條天路的裏面
[00:00:36.280 --> 00:00:39.160]  主求您給我們有一個柔軟的心
[00:00:39.160 --> 00:00:40.960]  因為我們很多時候
[00:00:40.960 --> 00:00:43.320]  都是不願意去聆聽
[00:00:43.320 --> 00:00:46.680]  一些可能是很沉重的訊息
[00:00:46.680 --> 00:00:48.120]  願意在今天的裏面
[00:00:48.120 --> 00:00:50.920]  祢的聖靈再一次去開啟我們
[00:00:50.920 --> 00:00:53.920]  使我們都能夠去聽到
[00:00:53.920 --> 00:00:55.600]  祢自己的訓誨
[00:00:55.600 --> 00:00:58.600]  叫我們降服在祢裏面
[00:00:58.600 --> 00:00:59.480]  感謝祢
[00:00:59.480 --> 00:01:00.280]  求祢就是這樣
[00:01:00.280 --> 00:01:01.760]  順聽我們的禱告
[00:01:01.760 --> 00:01:03.120]  奉耶穌基督
[00:01:03.120 --> 00:01:04.680]  得聖的名求
[00:01:04.680 --> 00:01:05.920]  阿們
[00:01:05.920 --> 00:01:07.920]  各位領子們早晨
[00:01:07.920 --> 00:01:09.840]  今天我們要講一個
[00:01:09.840 --> 00:01:12.360]  很沉重的訊息
[00:01:12.360 --> 00:01:15.640]  我不知道你怎樣去理解罪
[00:01:15.640 --> 00:01:17.240]  以及審判
[00:01:17.240 --> 00:01:19.480]  我相信當我們一路翻開聖經的時候
[00:01:19.480 --> 00:01:21.920]  其實都有不少的經文
[00:01:21.920 --> 00:01:24.920]  提及這個課題
[00:01:24.920 --> 00:01:27.360]  究竟跟我們有什麼關係
[00:01:27.360 --> 00:01:29.320]  究竟一個可能你曾幾何時
[00:01:29.320 --> 00:01:30.760]  都想過一個問題
[00:01:30.760 --> 00:01:31.760]  或者你都被人問過
[00:01:31.760 --> 00:01:34.280]  一個謹守法律
[00:01:34.280 --> 00:01:37.440]  心地善良樂於助人的好人
[00:01:37.440 --> 00:01:39.760]  究竟他是否一個罪人呢
[00:01:39.760 --> 00:01:40.760]  對一般人來說
[00:01:40.760 --> 00:01:44.520]  其實他不會經常想到罪這件事
[00:01:44.520 --> 00:01:46.400]  但如果每次想起的時候
[00:01:46.400 --> 00:01:49.160]  我們都會想到一些大奸大惡
[00:01:49.160 --> 00:01:51.120]  譬如殺人放火
[00:01:51.120 --> 00:01:52.160]  偷呃拐騙
[00:01:52.160 --> 00:01:54.600]  奸人擄掠等等等等
[00:01:54.600 --> 00:01:58.680]  而這些大部分的事情
[00:01:58.680 --> 00:02:03.080]  其實很多人都不會參與
[00:02:03.080 --> 00:02:05.040]  所以對很多人來說
[00:02:05.040 --> 00:02:08.640]  其實他不覺得自己是一個罪人
[00:02:08.640 --> 00:02:11.240]  尤其是我們跟一些未信的人
[00:02:11.240 --> 00:02:15.400]  他對這個題目很敏感
[00:02:15.400 --> 00:02:16.560]  你不會一開始跟他說
[00:02:16.560 --> 00:02:17.440]  你是一個罪人
[00:02:17.440 --> 00:02:18.680]  你要信耶穌
[00:02:18.680 --> 00:02:21.920]  我想他已經把你趕走了
[00:02:21.920 --> 00:02:25.200]  所以我們通常都是很會做的
[00:02:25.200 --> 00:02:27.040]  不過有時候似乎
[00:02:27.040 --> 00:02:28.440]  當我們信了主之後
[00:02:28.440 --> 00:02:30.560]  又好像對這個題目
[00:02:30.560 --> 00:02:32.400]  好像有點陌生
[00:02:32.400 --> 00:02:34.000]  究竟為什麼
[00:02:34.000 --> 00:02:37.280]  很多時候我們都會覺得自己沒問題呢
[00:02:37.280 --> 00:02:40.160]  你有沒有想過這個問題
[00:02:40.160 --> 00:02:41.680]  就是為什麼我們有時候
[00:02:41.680 --> 00:02:43.840]  或者對大部分人來說
[00:02:43.840 --> 00:02:45.600]  為什麼會經常覺得自己沒罪呢
[00:02:45.600 --> 00:02:49.720]  因為我們將我們的標準
[00:02:49.720 --> 00:02:51.160]  人的標準
[00:02:51.160 --> 00:02:53.680]  來衡量自己
[00:02:53.680 --> 00:02:55.800]  聖經對罪的看法
[00:02:55.800 --> 00:02:57.680]  是一個更加寬闊
[00:02:57.680 --> 00:02:59.120]  全面
[00:02:59.120 --> 00:03:03.160]  遠遠超過世界對罪的定義
[00:03:03.160 --> 00:03:05.600]  不單止說的是大奸大惡
[00:03:05.600 --> 00:03:07.840]  觸犯一些不合理的規條
[00:03:07.840 --> 00:03:10.040]  羅馬書三章二十三節
[00:03:10.040 --> 00:03:11.080]  讓我們一起讀出來
[00:03:11.080 --> 00:03:13.000]  預備一二三起
[00:03:13.000 --> 00:03:15.840]  因為世人都犯了罪
[00:03:15.840 --> 00:03:18.920]  規決了神的榮耀
[00:03:18.920 --> 00:03:20.760]  所以無論你信了或者未信
[00:03:20.760 --> 00:03:23.840]  都應該去承認
[00:03:23.840 --> 00:03:25.920]  其實我們都是一個罪人
[00:03:25.920 --> 00:03:27.640]  但是當我們信了主的時候
