
[00:00:00.000 --> 00:00:04.000]  親愛的女生們,我們在這個地方,神與我們同在
[00:00:04.000 --> 00:00:08.000]  禮拜天是與我們同在的日子,因為是祂復活的日子
[00:00:08.000 --> 00:00:10.000]  你一定要帶著這個心心來到這個地方
[00:00:10.000 --> 00:00:13.000]  不要把你自己的情緒帶來這個地方
[00:00:13.000 --> 00:00:16.000]  不要把你自己的感覺帶來這個地方
[00:00:16.000 --> 00:00:19.000]  你要看見這位耶穌基督,祂是復活的主
[00:00:19.000 --> 00:00:24.000]  哥羅西書裡面一直在講這位,祂的中心就是在講這位基督
[00:00:24.000 --> 00:00:28.000]  今天我們也講到這位基督,祂是豐盛的基督
[00:00:28.000 --> 00:00:35.000]  跟你旁邊說,基督是豐盛的基督
[00:00:35.000 --> 00:00:39.000]  在哥羅西書第八節到第十節
[00:00:39.000 --> 00:00:44.000]  今天其實我要把第八節放進來,因為這整個是一段的
[00:00:44.000 --> 00:00:49.000]  在第二章八到第十節裡面提到什麼呢?
[00:00:49.000 --> 00:00:52.000]  保羅在這裡提到說,祂說你們要謹慎
[00:00:52.000 --> 00:00:57.000]  恐怕有人用祂的理學和虛空的妄言
[00:00:57.000 --> 00:01:01.000]  不照著基督來造人間的遺傳和世上的小學
[00:01:01.000 --> 00:01:03.000]  就把你們擄去
[00:01:03.000 --> 00:01:07.000]  保羅在這裡提到說,你們要謹慎
[00:01:07.000 --> 00:01:11.000]  不要有人用理學、虛空的妄言
[00:01:11.000 --> 00:01:12.000]  保羅在這裡說什麼呢?
[00:01:12.000 --> 00:01:19.000]  保羅在這個地方要針對當時候這個異端
[00:01:19.000 --> 00:01:28.000]  當時候出現在這個異端,他們用著理性、用著哲學
[00:01:28.000 --> 00:01:33.000]  我記得上次我曾經提過,哲學就是愛智慧
[00:01:33.000 --> 00:01:36.000]  所以希臘人很著重哲學
[00:01:36.000 --> 00:01:45.000]  所以保羅提醒他們,你們不要被這些哲學思想意念來影響了
[00:01:45.000 --> 00:01:51.000]  他說這些理學和虛空的妄言,不照著什麼?
[00:01:51.000 --> 00:01:59.000]  不照著什麼?
[00:01:59.000 --> 00:02:04.000]  看圖說故事,看圖對文章
[00:02:04.000 --> 00:02:09.000]  不照著什麼?不照著基督
[00:02:09.000 --> 00:02:11.000]  什麼叫做不照著基督?
[00:02:11.000 --> 00:02:19.000]  不照著基督就是不根據基督,not according to Christ
[00:02:19.000 --> 00:02:23.000]  今天這個世界上面有很多的這些學說
[00:02:23.000 --> 00:02:25.000]  有很多的這些的視頻
[00:02:25.000 --> 00:02:27.000]  很多的東西講得很有道理
[00:02:27.000 --> 00:02:30.000]  但是不是真理,懂這意思嗎?
[00:02:30.000 --> 00:02:32.000]  很多似是而非的道理
[00:02:32.000 --> 00:02:35.000]  但是沒有辦法帶給我們真理
[00:02:35.000 --> 00:02:41.000]  因為他們不是按照基督
[00:02:41.000 --> 00:02:45.000]  而今天是不是有很多的人
[00:02:45.000 --> 00:02:48.000]  就被這些人間的遺傳
[00:02:48.000 --> 00:02:53.000]  還有世上的小學,把他們擄去了
[00:02:53.000 --> 00:02:56.000]  丟字兵,你我要謹慎
[00:02:56.000 --> 00:02:59.000]  末世的時候越來越多
[00:02:59.000 --> 00:03:05.000]  這些不按著基督,而所傳播的這些世上的小學
[00:03:05.000 --> 00:03:12.000]  甚至是所謂的神學
[00:03:12.000 --> 00:03:17.000]  最近我有一個神學院同學
[00:03:17.000 --> 00:03:24.000]  在我們的群組裡面拋了一個視頻
[00:03:24.000 --> 00:03:33.000]  然後有另外一個同學,馬上就PO一個很長的回應他
[00:03:33.000 --> 00:03:39.000]  這是都是神學院畢業的
[00:03:39.000 --> 00:03:41.000]  我這個同學裡面拋出來的
[00:03:41.000 --> 00:03:47.000]  也是現在在華人教會開始比較慢慢流行的
[00:03:47.000 --> 00:03:50.000]  就是所謂習安主義
[00:03:50.000 --> 00:03:52.000]  聽不懂就算了
[00:03:52.000 --> 00:03:56.000]  簡單的說,有一些人
[00:03:56.000 --> 00:04:00.000]  這些習安主義者其實是相信
[00:04:00.000 --> 00:04:07.000]  所有在外面的以色列人,通通都要歸回以色列
[00:04:07.000 --> 00:04:12.000]  現在很多的基督徒,包括美國的基督徒
[00:04:12.000 --> 00:04:17.000]  也都支持這個觀念
[00:04:17.000 --> 00:04:20.000]  但是現在丟字兵
[00:04:20.000 --> 00:04:25.000]  請問,以色列人要回以色列
[00:04:25.000 --> 00:04:29.000]  在外面流亡的以色列人要回到以色列來
[00:04:29.000 --> 00:04:37.000]  請問,那個跟聖經有什麼關係
[00:04:37.000 --> 00:04:43.000]  你懂我意思嗎
[00:04:43.000 --> 00:04:46.000]  可是這個已經是是而非
[00:04:46.000 --> 00:04:50.000]  他也可以斷章取義,抓住聖經上的章節
[00:04:50.000 --> 00:04:52.000]  告訴你說我們應該支持他們
[00:04:52.000 --> 00:04:55.000]  甚至我知道有不少的一些的機構
[00:04:55.000 --> 00:04:57.000]  華人機構現在推動這件事情
[00:04:57.000 --> 00:05:01.000]  出錢出力,推動要幫助這些流亡在海外的
[00:05:01.000 --> 00:05:05.000]  這些的以色列人回歸到耶路撒冷
[00:05:05.000 --> 00:05:15.000]  請問,我們應當為以色列人信耶穌禱告
[00:05:15.000 --> 00:05:19.000]  因為他們還不認識主對嗎
[00:05:19.000 --> 00:05:24.000]  可是今天這些以色列的這些的政治的這些政客
[00:05:24.000 --> 00:05:28.000]  其實他們也在利用基督徒
[00:05:28.000 --> 00:05:32.000]  我們對以色列的這種所謂神的選民
[00:05:32.000 --> 00:05:36.000]  這種的聖地的這種的這種心
[00:05:36.000 --> 00:05:39.000]  你懂我意思嗎
[00:05:39.000 --> 00:05:43.000]  我去聖地今年是第三次要去
[00:05:43.000 --> 00:05:47.000]  我第一次去的時候我看到
[00:05:47.000 --> 00:05:50.000]  這個他們說你們要祝福以色列
[00:05:50.000 --> 00:05:53.000]  以色列人買他們的東西
[00:05:53.000 --> 00:05:57.000]  但是到了巴勒斯坦人聚集的地方的時候
[00:05:57.000 --> 00:06:03.000]  他們卻覺得好像這些人是抵擋以色列人的
[00:06:03.000 --> 00:06:06.000]  所以我們就這個整個基督徒的團
[00:06:06.000 --> 00:06:09.000]  就好像覺得說這些人是敵人一樣
[00:06:09.000 --> 00:06:13.000]  我們在威斯林禱告什麼
[00:06:13.000 --> 00:06:17.000]  我們在威斯林禱告希望他們也認識主是不是
[00:06:17.000 --> 00:06:19.000]  是嗎
[00:06:19.000 --> 00:06:22.000]  他看到的是這些基督徒
[00:06:22.000 --> 00:06:24.000]  你們在那邊祝福以色列
[00:06:24.000 --> 00:06:26.000]  物質上面幫助他們
[00:06:26.000 --> 00:06:29.000]  可是到我們這邊來的時候呢
[00:06:29.000 --> 00:06:31.000]  如果你到過以色列就知道了
[00:06:31.000 --> 00:06:33.000]  其實這些巴勒斯坦人可憐
[00:06:33.000 --> 00:06:36.000]  被這些以色列人把他們通通就圍起來
[00:06:36.000 --> 00:06:38.000]  他們居住在那個地方
[00:06:38.000 --> 00:06:42.000]  但是他們把他們圍起來
[00:06:42.000 --> 00:06:47.000]  好 這個問題是很深入的一些東西在裡面
[00:06:47.000 --> 00:06:48.000]  但我要講的意思就是說
[00:06:48.000 --> 00:06:53.000]  你可以看見這些事上面的一些的學說
[00:06:53.000 --> 00:06:57.000]  一些的想法它不按照基督
[00:06:57.000 --> 00:06:59.000]  對不對
[00:06:59.000 --> 00:07:01.000]  不按照基督的意思
[00:07:01.000 --> 00:07:05.000]  也就是不按照祂的話
[00:07:05.000 --> 00:07:09.000]  這是我們需要謹慎的
[00:07:09.000 --> 00:07:11.000]  不要被這些事情
[00:07:11.000 --> 00:07:13.000]  不要被這些東西跟風
[00:07:13.000 --> 00:07:15.000]  所以有時候我真是提醒弟兄姊妹
[00:07:15.000 --> 00:07:17.000]  現在大家這個時間
[00:07:17.000 --> 00:07:20.000]  有時候很多花在網路上面
[00:07:20.000 --> 00:07:23.000]  不要亂看一些東西
[00:07:23.000 --> 00:07:27.000]  不要亂看一些東西
[00:07:27.000 --> 00:07:29.000]  有時候這個講那個講
[00:07:29.000 --> 00:07:37.000]  講得好讓我們真是更多的花時間來讀主的話
[00:07:37.000 --> 00:07:42.000]  他說 保羅說因為神本性
[00:07:42.000 --> 00:07:47.000]  他說因為神本性一切的豐盛
[00:07:47.000 --> 00:07:52.000]  都有形有體地居住在基督裡面
[00:07:52.000 --> 00:07:55.000]  所以保羅講這個因為就是因為什麼
[00:07:55.000 --> 00:07:59.000]  因為什麼 前面的所以 是不是
[00:07:59.000 --> 00:08:04.000]  因為神本性一切的這些的
[00:08:04.000 --> 00:08:07.000]  祂的本性都有形有體居住在基督裡面
[00:08:07.000 --> 00:08:10.000]  這是什麼意思
[00:08:10.000 --> 00:08:16.000]  什麼叫做神本性一切的豐盛
[00:08:16.000 --> 00:08:20.000]  本性這個字其實就是神性 簡單的說
[00:08:20.000 --> 00:08:22.000]  神祂有神性 對不對
[00:08:22.000 --> 00:08:25.000]  神學上裡面我們講說神祂有什麼神性呢
[00:08:25.000 --> 00:08:28.000]  祂有公義 祂有聖潔 還有呢
[00:08:28.000 --> 00:08:30.000]  來 弟兄姊妹你們說
[00:08:30.000 --> 00:08:34.000]  還有什麼
[00:08:34.000 --> 00:08:37.000]  公義 聖潔這是我們最常講的對不對
[00:08:37.000 --> 00:08:40.000]  還有什麼 慈愛
[00:08:40.000 --> 00:08:46.000]  還有呢 能力 權柄等等這些對不對
[00:08:46.000 --> 00:08:49.000]  這一切神的屬性
[00:08:49.000 --> 00:08:52.000]  保羅說神本性神的屬性的裡面
[00:08:52.000 --> 00:08:56.000]  所有的這一切都在哪裡
[00:08:56.000 --> 00:09:00.000]  都在基督的裡面
[00:09:00.000 --> 00:09:05.000]  都在基督的裡面
[00:09:05.000 --> 00:09:07.000]  我們對神的認識
[00:09:07.000 --> 00:09:12.000]  要對祂的屬性的認識很重要
[00:09:12.000 --> 00:09:15.000]  這一切的豐盛的
[00:09:15.000 --> 00:09:19.000]  這個神的本性都在祂的裡面
[00:09:19.000 --> 00:09:22.000]  他說神本性一切的豐盛
[00:09:22.000 --> 00:09:24.000]  豐盛是什麼東西
[00:09:24.000 --> 00:09:26.000]  豐盛是什麼意思
[00:09:26.000 --> 00:09:28.000]  豐盛講到的聖經上裡面
[00:09:28.000 --> 00:09:32.000]  中文把它翻譯有不同的幾個字把它翻譯
[00:09:32.000 --> 00:09:35.000]  第一個在尹夫所書第一章二十三節翻譯成說
[00:09:35.000 --> 00:09:39.000]  那充滿萬有者所充滿的
[00:09:39.000 --> 00:09:42.000]  那個充滿就是豐盛的意思
[00:09:42.000 --> 00:09:47.000]  所以有一些英文版本把這個豐盛翻成fuel
[00:09:47.000 --> 00:09:55.000]  fuel Him with the fullness of Christ of God
[00:09:55.000 --> 00:09:59.000]  那其他東西所以這個充滿
[00:09:59.000 --> 00:10:01.000]  另外一個在約翰福音一章十六節
[00:10:01.000 --> 00:10:02.000]  我們起來念好不好
[00:10:02.000 --> 00:10:05.000]  從祂豐滿的恩典禮
[00:10:05.000 --> 00:10:08.000]  我們都領受了
[00:10:08.000 --> 00:10:12.000]  而且恩上加恩
[00:10:12.000 --> 00:10:17.000]  我們從祂什麼豐滿的恩典
[00:10:17.000 --> 00:10:19.000]  哇恩典已經很好了
[00:10:19.000 --> 00:10:20.000]  是不是啊
[00:10:20.000 --> 00:10:23.000]  這裡還說豐滿的恩典
[00:10:23.000 --> 00:10:27.000]  所以後來這個約翰必須要再加上一個形容
[00:10:27.000 --> 00:10:28.000]  祂的恩典是什麼
[00:10:28.000 --> 00:10:31.000]  是恩上加恩
[00:10:31.000 --> 00:10:34.000]  恩上加恩恩上加恩
[00:10:34.000 --> 00:10:35.000]  一直加一直加
[00:10:35.000 --> 00:10:37.000]  加到一個地步什麼
[00:10:37.000 --> 00:10:40.000]  達到豐滿的地步
[00:10:40.000 --> 00:10:42.000]  你懂這句話的意思嗎
[00:10:42.000 --> 00:10:47.000]  所以保羅說神本心一切的豐盛的時候
[00:10:47.000 --> 00:10:48.000]  祂講到慈愛
[00:10:48.000 --> 00:10:49.000]  祂講到公義
[00:10:49.000 --> 00:10:50.000]  祂講到憐憫
[00:10:50.000 --> 00:10:51.000]  祂講到能力
[00:10:51.000 --> 00:10:52.000]  祂講到威嚴
[00:10:52.000 --> 00:10:53.000]  祂講到權柄
[00:10:53.000 --> 00:10:58.000]  祂講到神屬性裡面所有這一切的東西
[00:10:58.000 --> 00:11:01.000]  都完完全全的
[00:11:01.000 --> 00:11:04.000]  充滿在耶穌基督的裡面
[00:11:04.000 --> 00:11:09.000]  阿門
[00:11:09.000 --> 00:11:10.000]  聽清楚沒有
[00:11:10.000 --> 00:11:17.000]  你認識的基督是什麼樣的一個基督
[00:11:17.000 --> 00:11:20.000]  如果我們昨天已經做一個調查
[00:11:20.000 --> 00:11:26.000]  問說當你想到耶穌基督的時候
[00:11:26.000 --> 00:11:28.000]  你想到最直接想到的
[00:11:28.000 --> 00:11:31.000]  你舉三個就好了
[00:11:31.000 --> 00:11:33.000]  三個就好了
[00:11:33.000 --> 00:11:36.000]  你想到耶穌基督想到什麼
