
[00:00:00.000 --> 00:00:01.640]  各位鼎姊妹 早安
[00:00:01.640 --> 00:00:05.880]  不知道上星期這個時間 你們在做些什麼呢
[00:00:05.880 --> 00:00:10.240]  我相信其中一件事
[00:00:10.240 --> 00:00:13.040]  就是機不離手
[00:00:13.040 --> 00:00:16.280]  相信大家都很迫切地
[00:00:16.280 --> 00:00:19.100]  去發出一些問候
[00:00:19.100 --> 00:00:20.980]  對你的家人
[00:00:20.980 --> 00:00:24.500]  對住在行花村的弟兄姊妹
[00:00:24.500 --> 00:00:27.500]  我們都很想去表達我們的關心
[00:00:27.500 --> 00:00:31.420]  問候 亦都盼望在這個過程裏面
[00:00:31.420 --> 00:00:34.680]  我們都心不離主
[00:00:34.680 --> 00:00:38.020]  在當日 我們也都真的
[00:00:38.020 --> 00:00:41.440]  師母來去到去預備了一個簡單的家庭崇拜
[00:00:41.440 --> 00:00:43.680]  我們一家四口就在家裏面
[00:00:43.680 --> 00:00:45.880]  一齊去敬拜神
[00:00:45.880 --> 00:00:47.280]  教會亦都很好
[00:00:47.280 --> 00:00:51.000]  我們將星期六晚的崇拜錄下了
[00:00:51.000 --> 00:00:54.840]  亦都透過不同的途徑來去發放給大家
[00:00:54.840 --> 00:00:57.980]  盼望大家都能夠可以有機會
[00:00:57.980 --> 00:01:01.140]  來去看回上星期那位業傳道
[00:01:01.140 --> 00:01:05.460]  來去和我們分享提摩太前書的第四章
[00:01:05.460 --> 00:01:09.740]  以致我們都不會錯過了任何
[00:01:09.740 --> 00:01:13.120]  這段時間我們都在看這本書的內容
[00:01:13.120 --> 00:01:14.580]  盼望在當中
[00:01:14.580 --> 00:01:17.620]  上星期的訊息亦都相當之好
[00:01:17.620 --> 00:01:19.820]  讓我們的生命都能夠再一次
[00:01:19.820 --> 00:01:22.780]  來去到去被調整 來去到去改變
[00:01:23.460 --> 00:01:28.260]  颱風之後 最多人說的四個字是甚麼字
[00:01:28.260 --> 00:01:31.940]  滿目瘡痍
[00:01:31.940 --> 00:01:34.620]  當我們下到街的時候
[00:01:34.620 --> 00:01:37.500]  看到很多樹都倒塌了
[00:01:37.500 --> 00:01:43.100]  通街我們都很容易去到去發現那些玻璃碎
[00:01:43.100 --> 00:01:44.380]  即使是這樣
[00:01:44.380 --> 00:01:48.260]  在中山紀念公園的孫中山像
[00:01:48.260 --> 00:01:51.660]  沒有因為山竹而倒下
[00:01:51.660 --> 00:01:53.940]  依然的屹立不倒
[00:01:53.940 --> 00:01:57.260]  他的像下面有一個叫生平
[00:01:57.260 --> 00:02:00.300]  他的人生使命很清楚
[00:02:00.300 --> 00:02:01.980]  在他的信念
[00:02:01.980 --> 00:02:04.180]  各國家應該是
[00:02:04.180 --> 00:02:05.580]  of the people
[00:02:05.580 --> 00:02:06.980]  by the people
[00:02:06.980 --> 00:02:08.740]  for the people
[00:02:08.740 --> 00:02:10.540]  是由人民所擁有
[00:02:10.540 --> 00:02:12.220]  是獲人民所選出
[00:02:12.220 --> 00:02:15.660]  和是為人民而服務
[00:02:15.660 --> 00:02:17.060]  我不禁在想
[00:02:17.060 --> 00:02:18.900]  我作為主的門徒
[00:02:18.900 --> 00:02:22.460]  我的使命是否也像孫中山先生一樣
[00:02:22.460 --> 00:02:23.820]  這麼清晰
[00:02:23.820 --> 00:02:26.900]  來到繼續堅持到底
[00:02:26.900 --> 00:02:28.540]  我們的人生
[00:02:28.540 --> 00:02:30.140]  我們的教會
[00:02:30.140 --> 00:02:32.020]  又是否of the Lord
[00:02:32.020 --> 00:02:33.180]  by the Lord
[00:02:33.180 --> 00:02:34.460]  for the Lord
[00:02:34.460 --> 00:02:35.660]  以主
[00:02:35.660 --> 00:02:36.940]  按主
[00:02:36.940 --> 00:02:39.460]  朝主呢?
[00:02:39.460 --> 00:02:44.380]  讓我們一起低頭禱告
[00:02:44.380 --> 00:02:45.300]  親愛的天父
[00:02:45.300 --> 00:02:48.220]  當在風暴過後
[00:02:48.220 --> 00:02:50.220]  我們深深體會
[00:02:50.220 --> 00:02:53.340]  原來人很渺小
