
[00:00:00.000 --> 00:00:02.000]  各位電影節目的各位朋友早安
[00:00:02.000 --> 00:00:04.000]  我們今天的講題是
[00:00:04.000 --> 00:00:06.500]  《反轉生命的十四隻字》
[00:00:06.500 --> 00:00:10.800]  我們會繼續看若拿書第一章第四到第十六節
[00:00:10.800 --> 00:00:13.500]  中國人對於十四這個數目字
[00:00:13.500 --> 00:00:16.900]  其實是非常非常敏感的
[00:00:16.900 --> 00:00:19.500]  有些樓層是沒有十四樓的
[00:00:19.500 --> 00:00:22.200]  有些升降機根本沒有十四這個號碼
[00:00:22.200 --> 00:00:25.000]  十四嘛 十四等於十四
[00:00:25.000 --> 00:00:28.100]  誰想要呢 意圖非常不吉利
[00:00:28.100 --> 00:00:30.900]  但是十四在國語來說
[00:00:30.900 --> 00:00:32.900]  其實也可以化為一世的
[00:00:32.900 --> 00:00:36.400]  例如一三一四所代表的一生一世
[00:00:36.400 --> 00:00:39.900]  如果你讀過馬太福音的家譜的話
[00:00:39.900 --> 00:00:43.200]  三個十四代大概可能你都會記得的
[00:00:43.200 --> 00:00:48.500]  三個十四代就帶出耶穌的家譜裡面的身份
[00:00:48.500 --> 00:00:51.300]  但是任你怎麼去數都好
[00:00:51.300 --> 00:00:53.900]  從亞伯拉罕到耶穌的家譜
[00:00:53.900 --> 00:00:58.400]  這三個十四代其實無論你怎麼數都好
[00:00:58.400 --> 00:01:00.900]  你都會發現不是十四代的
[00:01:00.900 --> 00:01:04.900]  馬太是一個的歲老 是一個歲官
[00:01:04.900 --> 00:01:07.200]  他對數字應該是非常敏感
[00:01:07.200 --> 00:01:09.000]  他又怎麼會搞得錯呢
[00:01:09.000 --> 00:01:14.000]  但是原來希伯來文每一個字母都有一個數字
[00:01:14.000 --> 00:01:16.700]  如果你用英文去代入的話
[00:01:16.700 --> 00:01:23.000]  例如A是等於1 B是等於2 C是等於3 如此類推下去
[00:01:23.000 --> 00:01:29.300]  這樣的話你就可以將英文字B A G 袋這個字
[00:01:29.300 --> 00:01:33.900]  back這個字就會變成2加1加7
[00:01:33.900 --> 00:01:38.100]  back這個字就會變成2加1加7就等於10
[00:01:38.100 --> 00:01:43.700]  所以每一個字10這個數字就等於袋這個字
[00:01:43.700 --> 00:01:47.900]  而希伯來文其實都有類似的做法
[00:01:47.900 --> 00:01:54.000]  有一些人就相信原來在西比埃神語裏面
[00:01:54.000 --> 00:01:57.400]  耶穌這個數字就等於888
[00:01:57.400 --> 00:01:59.100]  無論你接不接受都好
[00:01:59.100 --> 00:02:04.300]  但是無論如何希伯來文這個數字的演繹
[00:02:04.300 --> 00:02:06.800]  就是說字母裏面的數字的演繹
[00:02:06.800 --> 00:02:09.700]  很多人都會接受這個講法
[00:02:09.700 --> 00:02:14.900]  事實上希伯來文14這個字 David或者是Davic這個字
[00:02:14.900 --> 00:02:17.300]  看你的發音重音在哪裏
[00:02:17.300 --> 00:02:20.100]  Davic這個字其實就是大衛的數字
[00:02:20.100 --> 00:02:24.600]  因為這個14這個字就是大衛的數值
[00:02:24.600 --> 00:02:32.800]  每一個人其實對14這個字眼都有很多不同的想法
[00:02:32.800 --> 00:02:35.700]  不知道如果你要用口講14個字的話
[00:02:35.700 --> 00:02:38.500]  你講的14個字是什麼字呢
[00:02:38.500 --> 00:02:41.300]  可能是粗口 還是祝福人的說話
[00:02:41.300 --> 00:02:43.200]  還是改變人生命的說話呢
[00:02:43.200 --> 00:02:46.000]  若拿這位這麼偉大的先知
[00:02:46.000 --> 00:02:49.200]  可以說是非常之勁
[00:02:49.200 --> 00:02:52.300]  因為他在《若拿書》第一章第九節
[00:02:52.300 --> 00:02:55.800]  他第一句講的字就是14個字
[00:02:55.800 --> 00:02:57.300]  我是希伯來人
[00:02:57.300 --> 00:02:58.800]  我驚威耶和華
[00:02:58.800 --> 00:03:03.300]  創造滄海 罕地之天上的上帝
[00:03:03.300 --> 00:03:05.800]  若拿這位這麼偉大的先知
[00:03:05.800 --> 00:03:08.300]  神吩咐他要去尼尼眉這個大城
[00:03:08.300 --> 00:03:10.700]  宣告神要他宣告的說話
[00:03:10.700 --> 00:03:14.900]  就是要毀滅這個當時道德敗壞的大城
[00:03:14.900 --> 00:03:17.300]  若拿當然不是浪得虛名的人
[00:03:17.300 --> 00:03:19.600]  若拿准知道尼尼眉城的人
[00:03:19.600 --> 00:03:21.200]  可能因為這樣的緣故
[00:03:21.200 --> 00:03:23.800]  這樣的預告而全城悔改
[00:03:23.800 --> 00:03:27.600]  所以耶和華上帝就不會毀滅這個大城
[00:03:27.600 --> 00:03:31.900]  但是 若拿不認同上帝這麼厚待
[00:03:31.900 --> 00:03:34.900]  這個罪惡滔天的大城和當地的人民
[00:03:34.900 --> 00:03:38.300]  所以決定離開神的念
[00:03:38.300 --> 00:03:40.300]  要和神鬥一鬥
[00:03:40.300 --> 00:03:41.900]  不執行神的吩咐
[00:03:41.900 --> 00:03:45.000]  不去尼尼眉這個城去宣告神的說話
[00:03:45.000 --> 00:03:47.200]  反而他反其道而行
[00:03:47.200 --> 00:03:50.500]  坐船去到另一個地方叫做他市
[00:03:50.500 --> 00:03:52.500]  索性就好像我們上次說的
[00:03:52.500 --> 00:03:54.500]  把手機都關了
[00:03:54.500 --> 00:03:56.000]  不想聽神的聲音
[00:03:56.000 --> 00:03:57.500]  不想神找到我
[00:03:57.500 --> 00:04:00.600]  當然啦 神怎麼會找不到若拿呢
[00:04:00.600 --> 00:04:05.000]  神根本是一定知道若拿的位置在哪裡
[00:04:05.000 --> 00:04:07.800]  不過 你要知道若拿這樣做
[00:04:07.800 --> 00:04:09.600]  只是一個鬥氣的做法
[00:04:09.600 --> 00:04:11.400]  神當然不要放棄若拿
[00:04:11.400 --> 00:04:13.500]  要說神最後都出手
[00:04:13.500 --> 00:04:16.000]  令到若拿坐的這條船
[00:04:16.000 --> 00:04:19.000]  在大海裡面受到狂風的吹襲
[00:04:19.000 --> 00:04:21.400]  船上的水手 船上的船長
[00:04:21.400 --> 00:04:24.700]  甚至若拿都幾乎危在旦夕
[00:04:24.700 --> 00:04:25.700]  就是這個時候
[00:04:25.700 --> 00:04:29.100]  若拿說出他第一句的字眼
[00:04:29.100 --> 00:04:31.500]  就是剛才我們看的那14個字
[00:04:31.500 --> 00:04:34.100]  而這14個字可以說扭轉了
[00:04:34.100 --> 00:04:37.400]  船上眾人的命運 眾人的生命
[00:04:37.400 --> 00:04:41.100]  這14個字絕對是令他們從拜初神
[00:04:41.100 --> 00:04:46.100]  去到敬畏神的一個很重要的里程碑
[00:04:46.100 --> 00:04:50.500]  第一件事我們要從若拿書這個第一章裡面
[00:04:50.500 --> 00:04:53.200]  第四節開始看到的這一幫人
[00:04:53.200 --> 00:04:55.700]  他們拜初神的階段
[00:04:55.700 --> 00:04:59.200]  第四節他說 然而耶和華使海中起大風
[00:04:59.200 --> 00:05:01.100]  海就狂風大作
[00:05:01.100 --> 00:05:02.900]  甚至船幾乎破壞
[00:05:02.900 --> 00:05:04.000]  水手變懼怕
[00:05:04.000 --> 00:05:06.200]  各人哀求自己的神
[00:05:06.200 --> 00:05:09.200]  他們將船上的貨物拋在海中
[00:05:09.200 --> 00:05:11.200]  謂要使船輕舍
[00:05:11.200 --> 00:05:14.600]  若拿已下到底倉
[00:05:14.600 --> 00:05:16.300]  躺臥沉睡
[00:05:16.300 --> 00:05:20.300]  我想你留意中文聖經在第一章第四節那裡說
[00:05:20.300 --> 00:05:23.800]  說到耶和華使海起大風
[00:05:23.800 --> 00:05:26.100]  其實這個起這個字
[00:05:26.100 --> 00:05:27.900]  起這個字 tuo這個字
[00:05:27.900 --> 00:05:29.900]  正確應該回去做丟出去
[00:05:29.900 --> 00:05:32.900]  在第一章其實先後出現過四次
[00:05:32.900 --> 00:05:36.600]  這裡除了在第一章第四節出現之外
[00:05:36.600 --> 00:05:39.600]  第五節 第十二節 第十五節都出現過
[00:05:39.600 --> 00:05:40.600]  tuo這個字
