
[00:00:00.000 --> 00:00:03.840]  星期三大埔雲福縣的火災
[00:00:03.840 --> 00:00:08.440]  讓我們再次看到生命的脆弱
[00:00:08.440 --> 00:00:12.800]  以及看到群體的重要
[00:00:12.800 --> 00:00:17.920]  一日之間很多家庭失去了他們的親人
[00:00:17.920 --> 00:00:21.000]  整個社區都陷入哀傷
[00:00:21.000 --> 00:00:26.360]  這一場的悲劇替我們生命無常
[00:00:26.360 --> 00:00:30.720]  也提醒我們 群體如果失去了合一
[00:00:30.720 --> 00:00:35.320]  就會帶來很多破壞和痛苦
[00:00:35.320 --> 00:00:45.040]  上次提及我們要脫去舊人 穿上新人
[00:00:45.040 --> 00:00:48.880]  這個新人是照著神的形象做的
[00:00:48.880 --> 00:00:55.800]  要有從上帝而來的真理和聖潔在當中
[00:00:55.800 --> 00:00:59.920]  我們的信仰不只是星期日回來唱詩歌
[00:00:59.920 --> 00:01:02.640]  祈禱 聽道那麼簡單
[00:01:02.640 --> 00:01:04.600]  而是在日常的生活裏面
[00:01:04.600 --> 00:01:08.200]  我們能夠活出我們的新生命
[00:01:08.200 --> 00:01:11.240]  今天很想和大家去思想
[00:01:11.240 --> 00:01:16.600]  以弗所書四章二十五至五章二節
[00:01:16.600 --> 00:01:21.320]  我們怎樣在生活裏面去活出這份新生命
[00:01:21.320 --> 00:01:24.920]  讓人看見耶穌基督的愛
[00:01:24.920 --> 00:01:31.560]  讓我們一起祈禱
[00:01:31.560 --> 00:01:33.600]  神主我求祢 祢幫助
[00:01:33.600 --> 00:01:41.080]  幫助到我們每一位都能夠看見
[00:01:41.080 --> 00:01:43.760]  是有祢的教導
[00:01:43.760 --> 00:01:47.360]  每一位表示相信祢
[00:01:47.360 --> 00:01:50.520]  願意成為祢的門徒
[00:01:50.520 --> 00:01:53.000]  成為祢的跟隨者的人
[00:01:53.000 --> 00:01:59.160]  我們能夠有祢的話語成為我們生命的光照
[00:01:59.160 --> 00:02:01.080]  那個提醒
[00:02:01.080 --> 00:02:05.120]  以致我們能夠和世界不同
[00:02:05.120 --> 00:02:09.080]  主求祢在當中去幫助我們
[00:02:09.080 --> 00:02:14.400]  幫助我們在很不容易過的日子裏面
