
[00:00:00.000 --> 00:00:02.000]  好,我們大家一起祈禱
[00:00:02.000 --> 00:00:05.440]  慈悲的天父,感謝讚美你
[00:00:05.440 --> 00:00:08.000]  在這個清晨當中,我們能夠聚在一起
[00:00:08.000 --> 00:00:10.000]  我們這班蒙恩的人
[00:00:10.000 --> 00:00:12.000]  來到你的面前,不但敬拜你
[00:00:12.000 --> 00:00:14.000]  我們一起來咀嚼著你的話語
[00:00:14.000 --> 00:00:16.000]  求主你開我們的心
[00:00:16.000 --> 00:00:18.000]  開我們的眼,開我們的耳朵
[00:00:18.000 --> 00:00:20.000]  讓我們能夠明白你的話語
[00:00:20.000 --> 00:00:22.000]  不單止明白
[00:00:22.000 --> 00:00:24.000]  要活生生地活出來
[00:00:24.000 --> 00:00:26.000]  求主你釋放孩子的口
[00:00:26.000 --> 00:00:28.000]  能夠將你的原意
[00:00:28.000 --> 00:00:30.000]  傳遞出來
[00:00:30.000 --> 00:00:32.000]  我們這樣的禱告
[00:00:32.000 --> 00:00:34.000]  是奉主耶穌基督得勝的命求
[00:00:34.000 --> 00:00:36.000]  Amen
[00:00:36.000 --> 00:00:38.000]  在這段經文裏
[00:00:38.000 --> 00:00:40.000]  保羅一開始就說
[00:00:40.000 --> 00:00:42.000]  我的心好喜樂,為你們喜樂
[00:00:42.000 --> 00:00:44.000]  我們大家都知道
[00:00:44.000 --> 00:00:46.000]  聖經裏有四卷書
[00:00:46.000 --> 00:00:48.000]  我們叫它監獄書信
[00:00:48.000 --> 00:00:50.000]  這個就是其中一個
[00:00:50.000 --> 00:00:52.000]  所以保羅
[00:00:52.000 --> 00:00:54.000]  根本就沒有什麼基礎說
[00:00:54.000 --> 00:00:56.000]  他是喜樂的
[00:00:56.000 --> 00:00:58.000]  他當時是在坐牢
[00:00:58.000 --> 00:01:00.000]  他自己以前是一個怎樣的人呢
[00:01:00.000 --> 00:01:02.000]  環境相當之好
[00:01:02.000 --> 00:01:04.000]  他又是一個有學問
[00:01:04.000 --> 00:01:06.000]  又有些勢力
[00:01:06.000 --> 00:01:08.000]  但是他一直都逼迫基督徒
