
[00:00:00.000 --> 00:00:02.000]  再次歡迎網路上的弟兄姊妹跟我們一起
[00:00:02.000 --> 00:00:07.000]  敬拜讚美主 一起來聆聽神的話語
[00:00:07.000 --> 00:00:09.000]  今年我們教會做了一件新事
[00:00:09.000 --> 00:00:12.000]  就是過去從來沒有做過的事情
[00:00:12.000 --> 00:00:14.000]  就是邀請全教會的弟兄姊妹
[00:00:14.000 --> 00:00:17.000]  不論是兒童墓區
[00:00:17.000 --> 00:00:19.000]  或者是我們的青少年墓區
[00:00:19.000 --> 00:00:20.000]  或者是英文墓區
[00:00:20.000 --> 00:00:21.000]  一起來做什麼
[00:00:21.000 --> 00:00:24.000]  背誦神的話語
[00:00:24.000 --> 00:00:26.000]  你說為什麼教會要求弟兄姊妹
[00:00:26.000 --> 00:00:28.000]  一起來背誦神的話語呢
[00:00:28.000 --> 00:00:29.000]  神的話語非常的重要
[00:00:29.000 --> 00:00:31.000]  祂是我們每天的靈糧
[00:00:31.000 --> 00:00:33.000]  我們的教會顧名思義
[00:00:33.000 --> 00:00:36.000]  生命和什麼 靈糧堂
[00:00:36.000 --> 00:00:37.000]  所以我們每位弟兄姊妹
[00:00:37.000 --> 00:00:39.000]  一定要愛慕神和愛慕神的話語
[00:00:39.000 --> 00:00:41.000]  因為神的話語可以幫助我們
[00:00:41.000 --> 00:00:44.000]  每一天過得神的生活
[00:00:44.000 --> 00:00:46.000]  要不然的話我們很容易跌入試探
[00:00:46.000 --> 00:00:49.000]  甚至會邊行幾路
[00:00:49.000 --> 00:00:51.000]  在一個主日早上的時候
[00:00:51.000 --> 00:00:55.000]  李牧師就跟大家說
[00:00:55.000 --> 00:00:57.000]  下主日我要跟大家來分享
[00:00:57.000 --> 00:01:00.000]  有關縮緩的信息
[00:01:00.000 --> 00:01:01.000]  所以今天你回去以後
[00:01:01.000 --> 00:01:03.000]  為了預備下週的信息
[00:01:03.000 --> 00:01:07.000]  先把《馬可復因》第十七章來讀一遍
[00:01:07.000 --> 00:01:09.000]  下個主日到的時候
[00:01:09.000 --> 00:01:11.000]  李牧師就問大家說
[00:01:11.000 --> 00:01:16.000]  有多少人已經讀了《馬可復因》第十七章
[00:01:16.000 --> 00:01:20.000]  哇 看到幾副所有的弟兄姊妹都舉起手來
[00:01:20.000 --> 00:01:23.000]  然後李牧師就笑著回說
[00:01:23.000 --> 00:01:29.000]  非常好 其實《馬可復因》只有十六章
[00:01:29.000 --> 00:01:35.000]  現在我可以開始和大家分享縮緩的信息了
[00:01:35.000 --> 00:01:39.000]  看到旁邊的人說要熟讀聖經
[00:01:39.000 --> 00:01:41.000]  是的 我們不但要熟讀聖經
[00:01:41.000 --> 00:01:43.000]  要背誦神的話語
[00:01:43.000 --> 00:01:45.000]  讓神的話語常常在我們生命當中
[00:01:45.000 --> 00:01:46.000]  記在我們的心中
[00:01:46.000 --> 00:01:49.000]  免得我們離開神
