
[00:00:00.000 --> 00:00:02.940]  好,我們一起做個祈禱
[00:00:02.940 --> 00:00:04.280]  愛的天父,我們感謝祢
[00:00:04.280 --> 00:00:09.520]  讓我們今晚可以來到祢的聖殿裏面去敬拜
[00:00:09.520 --> 00:00:12.480]  多謝祢通過彼得前書
[00:00:12.480 --> 00:00:17.580]  讓我們去思想究竟福音是多寶貴
[00:00:17.580 --> 00:00:21.600]  叫我們在這個世界上可以奔跑天路
[00:00:21.600 --> 00:00:25.700]  不做地上的人
[00:00:25.700 --> 00:00:29.540]  而是做天上的人
[00:00:29.540 --> 00:00:32.200]  叫我們追求一個不一樣的國度
[00:00:32.200 --> 00:00:36.840]  今晚我們回來去撒姆爾記的時候
[00:00:36.840 --> 00:00:38.980]  我們會發現其實最終
[00:00:38.980 --> 00:00:43.880]  祢給我們的引導或者是挑戰都是同一樣東西
[00:00:43.880 --> 00:00:46.880]  祢是叫我們成為一個天路客
[00:00:46.880 --> 00:00:49.680]  追求一個不一樣的國度
[00:00:49.680 --> 00:00:55.500]  求主祢幫助我們一起用心恆心的去明白
[00:00:55.500 --> 00:00:58.400]  這本都頗厚的一本書
[00:00:58.400 --> 00:01:01.840]  或者我們只是記得當中很多的故事
[00:01:01.840 --> 00:01:07.980]  但我們其實都沒有辦法很整體的去明白這本書究竟是講甚麼
[00:01:07.980 --> 00:01:09.980]  讓我們專心去聆聽
[00:01:09.980 --> 00:01:13.480]  也在當中真的得到一些亮光
[00:01:13.480 --> 00:01:17.420]  以致我們可以努力的去讀完這本書
[00:01:17.420 --> 00:01:18.720]  再次多謝祢
[00:01:18.720 --> 00:01:20.160]  祝福我們一切的時間
[00:01:20.160 --> 00:01:22.260]  這樣祈禱去奉主耶穌基督名求
[00:01:22.260 --> 00:01:23.420]  阿門
[00:01:23.420 --> 00:01:29.800]  歡迎大家來到我們第八講我們舊約的講座
[00:01:29.800 --> 00:01:34.800]  我們由《創世記》開始創《出利民生》
[00:01:34.800 --> 00:01:36.100]  講了五個月
[00:01:36.100 --> 00:01:38.240]  接著我們就講《約書亞記》
[00:01:38.240 --> 00:01:39.740]  如果你上個月在這裏
[00:01:39.740 --> 00:01:42.240]  你知道我們上個月就打孖上
[00:01:42.240 --> 00:01:44.740]  就講了《史詩記》和《路德記》
[00:01:44.740 --> 00:01:47.980]  因為這兩本書其實是孖公仔來的
[00:01:47.980 --> 00:01:51.860]  今天我們去到第八講就是講撒姆爾記
[00:01:51.860 --> 00:01:54.560]  撒姆爾記中的《基督復任》
[00:01:54.560 --> 00:01:56.560]  你看我們整個題目叫做
[00:01:56.560 --> 00:01:59.460]  《基督自保盡藏舊約》
[00:01:59.460 --> 00:02:02.100]  我們其中這個講座的特色就是
[00:02:02.100 --> 00:02:04.000]  當我們打開這本舊約的時候
[00:02:04.000 --> 00:02:06.140]  我們不只是在這裏看舊約
