
[00:00:00.000 --> 00:00:03.400]  今天我們想和大家分享的訊息
[00:00:03.400 --> 00:00:06.400]  就是記載在詩篇第84篇
[00:00:06.400 --> 00:00:08.080]  詩篇第84篇裡面
[00:00:08.080 --> 00:00:11.960]  是講到「靠主有力量的福」
[00:00:11.960 --> 00:00:14.680]  這是一首什麼詩篇呢?
[00:00:14.680 --> 00:00:18.200]  這一首詩篇是一首朝聖的詩篇
[00:00:18.200 --> 00:00:23.040]  你和我其實都是在這個朝聖的旅途裡面
[00:00:23.040 --> 00:00:25.960]  我們不斷地去經歷神的帶領
[00:00:25.960 --> 00:00:27.480]  以致我們最後有一天
[00:00:27.480 --> 00:00:29.920]  我們去到神要我們去的地方
[00:00:30.040 --> 00:00:32.880]  就是神的同在的地方
[00:00:32.880 --> 00:00:34.920]  如果你們留意
[00:00:34.920 --> 00:00:37.960]  其實講到朝聖
[00:00:37.960 --> 00:00:40.160]  有一本名著
[00:00:40.160 --> 00:00:42.240]  我相信大家都可能聽過
[00:00:42.240 --> 00:00:44.760]  這一本就叫做《天路歷程》
[00:00:44.760 --> 00:00:49.960]  聽說施布真他讀過這本書一百次這麼多
[00:00:49.960 --> 00:00:55.200]  最近我又有機會拿起這本《天路歷程》去讀的時候
[00:00:55.520 --> 00:01:00.240]  我就看到神怎樣去透過基督徒
[00:01:00.240 --> 00:01:01.600]  這個主角
[00:01:01.600 --> 00:01:04.400]  祂在屬靈上的經歷
[00:01:04.400 --> 00:01:08.720]  就真的讓我們看到一條朝聖的路是怎麼走的
[00:01:08.720 --> 00:01:13.560]  我就有一些插圖想和大家去分享一下
[00:01:13.560 --> 00:01:15.040]  這個《天路歷程》
[00:01:15.040 --> 00:01:19.640]  第一幅圖就是講到背負著重擔的基督徒
[00:01:19.640 --> 00:01:20.960]  祂很辛苦
[00:01:20.960 --> 00:01:22.760]  祂辛苦到一個地步就是說
[00:01:22.760 --> 00:01:25.800]  我要離開我自己的家庭
[00:01:25.800 --> 00:01:28.000]  有四個小朋友和太太
[00:01:28.000 --> 00:01:30.440]  因為我要去到一個地方
[00:01:30.440 --> 00:01:34.200]  將我背負著的罪的擔子要脫下來
[00:01:34.200 --> 00:01:35.760]  因為實在太辛苦了
[00:01:35.760 --> 00:01:38.840]  這個罪壓得我太辛苦了
[00:01:38.840 --> 00:01:42.200]  當他下一張圖
[00:01:42.200 --> 00:01:43.880]  他遇到一個傳道人
[00:01:43.880 --> 00:01:47.160]  這個傳道人就指向基督徒說
[00:01:47.160 --> 00:01:50.080]  你去走去一個閘門的地方
[00:01:50.080 --> 00:01:52.080]  你走去閘門的地方
[00:01:52.080 --> 00:01:53.760]  你進到去閘門的時候
[00:01:53.760 --> 00:01:56.120]  你這個生命裡面的困惑
[00:01:56.120 --> 00:01:58.520]  就能夠得以解決的了
[00:01:58.520 --> 00:02:04.280]  所以這個傳道者就指點天路客這個迷蹤
[00:02:04.280 --> 00:02:07.480]  接著我們又看第三幅圖了
