
[00:00:00.000 --> 00:00:03.700]  觀眾姐妹平安
[00:00:03.700 --> 00:00:08.520]  今天我們講的經文是哈蓋書
[00:00:08.520 --> 00:00:14.240]  哈蓋書是在小仙之書的內容裡面
[00:00:14.240 --> 00:00:17.300]  其中的一卷 一講到仙之書
[00:00:17.300 --> 00:00:20.240]  大家都知道是沒有什麼好東西講的
[00:00:20.240 --> 00:00:22.540]  所以我們今天就一起看一下
[00:00:22.540 --> 00:00:27.840]  有什麼不好的東西講給我們聽
[00:00:27.840 --> 00:00:30.180]  當我們去看哈蓋書的時候
[00:00:30.180 --> 00:00:34.780]  我們看到有一個重建聖殿的吩咐
[00:00:34.780 --> 00:00:37.640]  當時以色列人 他們這幫領袖
[00:00:37.640 --> 00:00:42.160]  那幫百姓 他們不再關心神的吩咐
[00:00:42.160 --> 00:00:45.280]  人開始只關心自己的事
[00:00:45.280 --> 00:00:46.920]  我們可以去理解的
[00:00:46.920 --> 00:00:50.540]  因為他們已經是被擄 然後歸回
[00:00:50.540 --> 00:00:54.680]  歸回的時候開始過一些安定的日子
[00:00:54.680 --> 00:00:58.820]  所以只關心自己的事 這個我們都可以理解
[00:00:58.820 --> 00:01:01.860]  但是當時百姓出現了一個情況
[00:01:01.860 --> 00:01:04.060]  就是他們去拜偶像
[00:01:04.060 --> 00:01:05.940]  因為他們發現
[00:01:05.940 --> 00:01:09.480]  當他們只關心自己的生活的時候
[00:01:09.480 --> 00:01:12.220]  卻看到生活很困難
[00:01:12.220 --> 00:01:13.840]  所以當他們看到困難的時候
[00:01:13.840 --> 00:01:15.420]  他們就去拜偶像
[00:01:15.420 --> 00:01:19.400]  因為在他們心裡 其實他們只是期望著
[00:01:19.400 --> 00:01:22.260]  得到神的祝福
[00:01:22.260 --> 00:01:24.080]  所以我們很容易明白
[00:01:24.080 --> 00:01:25.640]  這幫以色列人就是
[00:01:25.640 --> 00:01:30.640]  其實為什麼他們對神的吩咐漠不關心
[00:01:30.640 --> 00:01:34.200]  他們去拜偶像是因為他們只是心裡期望著
[00:01:34.200 --> 00:01:35.780]  神的祝福來到
[00:01:35.780 --> 00:01:37.440]  當神的祝福見不到的時候
[00:01:37.440 --> 00:01:38.160]  那怎麼辦?
[00:01:38.160 --> 00:01:42.240]  他們就轉去拜偶像來祈神
[00:01:42.240 --> 00:01:45.420]  而今天我們看的這一段哈蓋書的第一章
[00:01:45.420 --> 00:01:47.300]  當時先知哈蓋
[00:01:47.300 --> 00:01:49.760]  他是被擄歸回的先知
[00:01:49.760 --> 00:01:51.900]  他是住在耶路撒冷的先知
[00:01:51.900 --> 00:01:56.380]  神就藉著哈蓋去責備這幫猶大的領袖和人民
[00:01:56.380 --> 00:01:57.960]  當我們看哈蓋書
[00:01:57.960 --> 00:01:59.680]  他全卷書
[00:01:59.680 --> 00:02:02.240]  最重要的那句就是我們今天的講題
[00:02:02.240 --> 00:02:04.920]  你們要審查自己的行為
[00:02:04.920 --> 00:02:09.040]  因為當他們遇到一些困難的時候
[00:02:09.040 --> 00:02:11.480]  他們對神的吩咐就不再關心
[00:02:11.480 --> 00:02:15.080]  他們都只顧自己的事
[00:02:15.080 --> 00:02:19.000]  讓到聖殿荒涼
[00:02:19.000 --> 00:02:21.640]  而以色列人他們被擄歸回的時候
[00:02:21.640 --> 00:02:25.720]  耶和華籍哈蓋先知就向大祭司約書傳講
[00:02:25.720 --> 00:02:27.060]  當時我們經文
[00:02:27.060 --> 00:02:28.600]  剛才我們領會
[00:02:28.600 --> 00:02:31.700]  我們跟大家用啟認的方式去讀這段經文
[00:02:31.700 --> 00:02:33.400]  我們都讀了很多次
[00:02:33.400 --> 00:02:35.520]  萬君之耶和華如此說
[00:02:35.520 --> 00:02:38.160]  其實在全書裏面出現了14字
[00:02:38.160 --> 00:02:40.620]  是表達神就是那位全能的
[00:02:40.620 --> 00:02:45.200]  祂是眾天使和世上一切生靈的主宰
[00:02:45.200 --> 00:02:47.160]  而這位全能的神
[00:02:47.160 --> 00:02:50.520]  這位眾天使和世上生靈的主宰
[00:02:50.520 --> 00:02:53.860]  就吩咐這群以色列的領袖和百姓
[00:02:53.860 --> 00:02:55.660]  要去重建聖殿
[00:02:55.660 --> 00:02:59.760]  但這群百姓竟然去回應耶和華上帝的
[00:02:59.760 --> 00:03:02.900]  他說建造耶和華的殿的時候
[00:03:02.900 --> 00:03:05.700]  還沒有到
[00:03:05.700 --> 00:03:10.940]  這一個回應是反映這群領袖和百姓
[00:03:10.940 --> 00:03:14.080]  其實他們一早已經知道
[00:03:14.080 --> 00:03:17.780]  耶和華吩咐他們要去重建聖殿
[00:03:17.780 --> 00:03:20.760]  但第二件事就是這群百姓
[00:03:20.760 --> 00:03:26.560]  他們已經選擇不再去聽從神的吩咐
[00:03:26.560 --> 00:03:28.540]  所以當我們看回經文
