
[00:00:00.000 --> 00:00:06.560]  今日同大家分享嘅題目係「侍奉學習三面體」
[00:00:06.560 --> 00:00:09.280]  再一節介紹一下我自己先啦
[00:00:09.280 --> 00:00:11.960]  我其實好鍾意睇電視㗎
[00:00:11.960 --> 00:00:14.880]  我好鍾意睇特別嗰啲古裝片呀
[00:00:14.880 --> 00:00:17.760]  無論打鬥呀、武俠呀或者文初呀
[00:00:17.760 --> 00:00:22.320]  各方面嗰啲古裝片呢我都好鍾意睇嘅
[00:00:22.320 --> 00:00:25.240]  我成日睇呢有時呢講到特別有啲嘅書生呀
[00:00:25.240 --> 00:00:28.560]  有啲四五十歲呢就好似我呢啲咁嘅四五十歲嘅書生呢
[00:00:28.560 --> 00:00:30.360]  如果成日係咁去考嗰啲試
[00:00:30.360 --> 00:00:32.560]  考嚟考去都考唔到狀元呢
[00:00:32.560 --> 00:00:33.800]  繼續係咁讀呢
[00:00:33.800 --> 00:00:36.440]  寒窗苦讀嘅時候呢啲人就會笑佢啦
[00:00:36.440 --> 00:00:38.400]  哇乜你咁老
[00:00:38.400 --> 00:00:41.120]  又媒又窮
[00:00:41.120 --> 00:00:44.520]  仲去繼續考試呀
[00:00:44.520 --> 00:00:45.640]  其實每一次我睇嘅時候呢
[00:00:45.640 --> 00:00:47.480]  我調返轉頭從另一個角度呢
[00:00:47.480 --> 00:00:49.520]  我好欣賞嗰啲人㗎
[00:00:49.520 --> 00:00:52.840]  嘩去到呢個年紀仲繼續咁樣去努力
[00:00:52.840 --> 00:00:55.120]  持續佢嘅目標進發呢
[00:00:55.120 --> 00:00:57.320]  即係我更加欣賞
[00:00:57.320 --> 00:01:00.960]  靚姐妹今時今日
[00:01:00.960 --> 00:01:04.720]  我哋要有一個新嘅學習態度
[00:01:04.720 --> 00:01:08.360]  一個好似我哋呢啲咁嘅中年男士呢
[00:01:08.360 --> 00:01:11.080]  繼續去讀書去培訓呢
[00:01:11.080 --> 00:01:13.000]  係一件好正常嘅事
[00:01:13.000 --> 00:01:16.320]  特別喺而家呢個世界嘅經濟唔係咁好嘅時候
[00:01:16.320 --> 00:01:18.880]  乜嘢呢我哋都講求呢要不斷進步
[00:01:18.880 --> 00:01:20.720]  要呢講自我增值
[00:01:20.720 --> 00:01:22.560]  咁所以呢
[00:01:22.560 --> 00:01:24.880]  今日我想同大家去講
[00:01:24.880 --> 00:01:27.000]  我哋喺屬靈上面
[00:01:27.000 --> 00:01:28.840]  我哋喺聖經入面
[00:01:28.840 --> 00:01:31.280]  各方面嘅裝備上面
[00:01:31.280 --> 00:01:33.400]  因為呢個世界呢不斷嘅扭壞
[00:01:33.400 --> 00:01:35.040]  呢個世界嘅價值觀呢
[00:01:35.040 --> 00:01:36.560]  同聖經所講嘅
[00:01:36.560 --> 00:01:38.960]  不斷相差得好遠
[00:01:38.960 --> 00:01:42.680]  所以其實我哋自己都需要不斷嘅繼續去進修
[00:01:42.680 --> 00:01:43.920]  不斷嘅學習
[00:01:43.920 --> 00:01:45.960]  我哋一路侍奉嘅時候
