
[00:00:00.000 --> 00:00:02.060]  歡迎來到《九曰網》上的第六集
[00:00:02.060 --> 00:00:05.280]  過去五集我們研究過《創世紀》一至到第十一章
[00:00:05.280 --> 00:00:07.080]  你可能會覺得好像沒有什麼行程
[00:00:07.080 --> 00:00:08.200]  沒有什麼去過的地方
[00:00:08.200 --> 00:00:11.280]  因為《創世紀》一至到第十一章的背景
[00:00:11.280 --> 00:00:13.800]  都是集中在美索不達米亞的南面
[00:00:13.800 --> 00:00:15.960]  一至到第十一章
[00:00:15.960 --> 00:00:18.360]  是整本《聖經》的導演
[00:00:18.360 --> 00:00:21.980]  告訴我們世人多次來到叛變上帝的故事
[00:00:21.980 --> 00:00:23.680]  第一個故事我們看過
[00:00:23.680 --> 00:00:25.420]  就是人類代表亞當夏娃
[00:00:25.420 --> 00:00:27.680]  去叛變上帝想自立為臣
[00:00:27.680 --> 00:00:29.480]  被審判之後流亡
[00:00:29.480 --> 00:00:31.020]  臣有什麼反應呢?
[00:00:31.020 --> 00:00:33.880]  臣反而是應許去救贖
[00:00:33.880 --> 00:00:38.180]  並且他願意離開伊甸與罪人同在
[00:00:38.180 --> 00:00:41.140]  有一節很重要的經文是三章第十五節
[00:00:41.140 --> 00:00:44.080]  他說我要使你和女人彼此為首
[00:00:44.080 --> 00:00:46.820]  你的後裔和女人的後裔也要彼此為首
[00:00:46.820 --> 00:00:48.060]  他要傷你的頭
[00:00:48.060 --> 00:00:49.920]  你要傷他的腳筋
[00:00:49.920 --> 00:00:51.920]  這裡講到一個的爭戰
[00:00:51.920 --> 00:00:54.640]  一個人與蛇的爭戰
[00:00:54.640 --> 00:00:56.480]  人與邪惡的爭戰
[00:00:56.480 --> 00:01:00.640]  女人的後裔會傷蛇的頭
[00:01:00.640 --> 00:01:03.340]  蛇會傷他的腳筋
[00:01:03.340 --> 00:01:05.820]  有少許伏筆告訴我們
[00:01:05.820 --> 00:01:09.880]  上帝如何救贖人類
[00:01:09.880 --> 00:01:13.620]  應許有一位女人的後裔
[00:01:13.620 --> 00:01:16.640]  與邪惡的爭鬥
