
[00:00:00.000 --> 00:00:03.000]  頂子沒有去平安
[00:00:03.000 --> 00:00:06.000]  有一個人
[00:00:06.000 --> 00:00:09.000]  好幾年前信了耶穌
[00:00:09.000 --> 00:00:13.000]  但是他撕不開打麻將
[00:00:13.000 --> 00:00:17.000]  整天攻打四方城
[00:00:17.000 --> 00:00:20.000]  很少很少讀經、祈禱
[00:00:20.000 --> 00:00:23.000]  也都間中回教會
[00:00:23.000 --> 00:00:26.000]  在九個月之前
[00:00:26.000 --> 00:00:29.000]  他的兒子三十幾歲
[00:00:29.000 --> 00:00:31.000]  突然呼吸覺得有問題
[00:00:31.000 --> 00:00:34.000]  胸有痛、頭有痛
[00:00:34.000 --> 00:00:36.000]  去了急症室
[00:00:36.000 --> 00:00:39.000]  擾攘了好幾天
[00:00:39.000 --> 00:00:40.000]  做檢查等等
[00:00:40.000 --> 00:00:45.000]  最後發現他患上了罕有的癌症
[00:00:45.000 --> 00:00:48.000]  而且是末期
[00:00:48.000 --> 00:00:51.000]  在一個星期之內
[00:00:51.000 --> 00:00:54.000]  他就匆匆離開了世界
[00:00:54.000 --> 00:00:57.000]  這個突然的打擊
[00:00:57.000 --> 00:00:59.000]  暗指之痛
[00:00:59.000 --> 00:01:02.000]  令到這個人情緒很低落
[00:01:02.000 --> 00:01:07.000]  抑鬱、難過、傷痛不已
[00:01:07.000 --> 00:01:12.000]  好幾個月教牧關懷和開解他
[00:01:12.000 --> 00:01:16.000]  慢慢才走出傷痛
[00:01:16.000 --> 00:01:19.000]  和抑鬱的陰霾
[00:01:19.000 --> 00:01:24.000]  之後他人生有一點扭轉
[00:01:24.000 --> 00:01:26.000]  他要調整一下自己的人生
[00:01:26.000 --> 00:01:28.000]  未來方向如何
[00:01:28.000 --> 00:01:31.000]  要更多依靠神、親近主
[00:01:31.000 --> 00:01:33.000]  要更加積極回教會
[00:01:33.000 --> 00:01:38.000]  他願意做一個健康成長的基督徒
[00:01:38.000 --> 00:01:40.000]  挺子門
