
[00:00:00.000 --> 00:00:02.000]  感謝主讓我有這個機會
[00:00:02.000 --> 00:00:03.000]  可以來到大家當中
[00:00:03.000 --> 00:00:06.000]  跟你們一起分享上帝的話語
[00:00:06.000 --> 00:00:09.000]  我們一起禱告吧
[00:00:09.000 --> 00:00:17.000]  親愛的主我們感謝您
[00:00:17.000 --> 00:00:21.000]  感謝您讓我們可以
[00:00:21.000 --> 00:00:24.000]  來到您面前
[00:00:24.000 --> 00:00:25.000]  一起去敬拜您
[00:00:25.000 --> 00:00:28.000]  感謝您讓我們可以
[00:00:30.000 --> 00:00:32.000]  在不同的人生的經驗裏面
[00:00:32.000 --> 00:00:33.000]  跟你相遇
[00:00:33.000 --> 00:00:35.000]  我們感謝您
[00:00:35.000 --> 00:00:37.000]  因爲您
[00:00:37.000 --> 00:00:39.000]  節省了我們
[00:00:39.000 --> 00:00:40.000]  讓我們可以
[00:00:40.000 --> 00:00:42.000]  成爲您的兒女
[00:00:42.000 --> 00:00:44.000]  我們求主
[00:00:44.000 --> 00:00:46.000]  藉着您的聖靈
[00:00:46.000 --> 00:00:49.000]  透過您的話語
[00:00:49.000 --> 00:00:51.000]  引導我們進入真理
[00:00:51.000 --> 00:00:54.000]  幫助我們思想您的話語
[00:00:54.000 --> 00:00:56.000]  也幫助我們的心靠近您
[00:00:58.000 --> 00:01:00.000]  逃離的喜悅
[00:01:00.000 --> 00:01:01.000]  奉耶穌名求
[00:01:01.000 --> 00:01:02.000]  Amen
[00:01:02.000 --> 00:01:09.000]  問大家一個很基本的問題
[00:01:09.000 --> 00:01:13.000]  信耶穌
[00:01:13.000 --> 00:01:15.000]  有什麼好處啊
[00:01:15.000 --> 00:01:23.000]  信耶穌有什麼好處啊
[00:01:27.000 --> 00:01:28.000]  有些人
[00:01:28.000 --> 00:01:29.000]  我們常常聽說
[00:01:29.000 --> 00:01:31.000]  信耶穌的永生是嗎
[00:01:31.000 --> 00:01:34.000]  信耶穌可以進天堂
[00:01:34.000 --> 00:01:35.000]  信耶穌可以得永生
[00:01:35.000 --> 00:01:41.000]  信耶穌可以上天堂
[00:01:41.000 --> 00:01:43.000]  那麼天堂是什麼
[00:01:43.000 --> 00:01:47.000]  我們是不是真的
[00:01:47.000 --> 00:01:49.000]  可以上天堂啊
[00:01:49.000 --> 00:01:56.000]  我們是不是真的可以上天堂啊
[00:01:58.000 --> 00:02:02.000]  剛纔我們讀的經文
[00:02:02.000 --> 00:02:05.000]  毛馬書五章一到十一節
[00:02:05.000 --> 00:02:13.000]  那一段的經文裏面
[00:02:13.000 --> 00:02:16.000]  保羅一開始就講到
[00:02:16.000 --> 00:02:20.000]  講到信耶穌的一個好處
[00:02:20.000 --> 00:02:22.000]  第一節他說
[00:02:22.000 --> 00:02:25.000]  所以我們既然因信
[00:02:26.000 --> 00:02:27.000]  因信稱義
[00:02:27.000 --> 00:02:29.000]  信
[00:02:29.000 --> 00:02:30.000]  這個信
[00:02:30.000 --> 00:02:32.000]  得以稱義
[00:02:32.000 --> 00:02:37.000]  神稱我們爲義
[00:02:37.000 --> 00:02:41.000]  看我們爲無罪
[00:02:41.000 --> 00:02:43.000]  稱我們爲義
[00:02:43.000 --> 00:02:45.000]  這個是第一個
[00:02:45.000 --> 00:02:46.000]  他提到的一個恩典
[00:02:46.000 --> 00:02:49.000]  但是他不單單講到
[00:02:49.000 --> 00:02:50.000]  這個因信稱義
[00:02:50.000 --> 00:02:53.000]  這個因信稱義帶來是什麼結果呢
[00:02:53.000 --> 00:02:55.000]  另外一個恩典
[00:02:55.000 --> 00:02:59.000]  就藉助我們的主耶穌基督與神和好
[00:02:59.000 --> 00:03:03.000]  以前有罪
