
[00:00:00.000 --> 00:00:02.140]  我曾經講了三篇道
[00:00:02.140 --> 00:00:03.980]  不知道大家有沒有印象
[00:00:03.980 --> 00:00:07.420]  其中一篇道是「一樣米,百樣果」
[00:00:07.420 --> 00:00:09.660]  是講耶穌殺種的比喻
[00:00:09.660 --> 00:00:13.820]  但是他說到撒旦會用橫欄壁壩
[00:00:13.820 --> 00:00:17.780]  令到一些初信者跌倒
[00:00:17.780 --> 00:00:19.980]  然後有一篇道
[00:00:19.980 --> 00:00:21.980]  原來在網上很多人聽
[00:00:21.980 --> 00:00:24.300]  超過一千七百人聽這篇道
[00:00:24.300 --> 00:00:26.300]  就叫「袋住先,路」
[00:00:26.500 --> 00:00:30.340]  是講摩西與法老的對峙
[00:00:30.340 --> 00:00:32.780]  法老除了用壁壩之後
[00:00:32.780 --> 00:00:36.420]  有四個方案叫摩西「袋住先」
[00:00:36.420 --> 00:00:38.100]  但是摩西不肯
[00:00:38.100 --> 00:00:40.980]  結果終於他們可以離開埃及
[00:00:40.980 --> 00:00:44.260]  這四個方案其實是針對基督徒
[00:00:44.260 --> 00:00:47.100]  四個不同的階段來迷惑我們
[00:00:47.100 --> 00:00:51.140]  還有一個講道叫「魚目混珠」
[00:00:51.140 --> 00:00:53.260]  就是《馬太福音》第十三章
[00:00:53.260 --> 00:00:56.620]  講撒旦將一些有毒的種子
[00:00:56.620 --> 00:00:58.220]  殺在田裏面
[00:00:58.220 --> 00:01:02.420]  好的與壞的、有毒的糾纏在一起
[00:01:02.420 --> 00:01:05.340]  但是終於有一天神會清理門戶
[00:01:05.340 --> 00:01:07.420]  我說到今天在教會裏面
[00:01:07.420 --> 00:01:10.020]  撒旦都會做破壞的工作
[00:01:10.020 --> 00:01:12.940]  甚至找一些人混入教會裏面做破壞
[00:01:12.940 --> 00:01:14.220]  所以我們要很小心
[00:01:14.220 --> 00:01:18.500]  今天和下一次我們會直接來看
[00:01:18.500 --> 00:01:21.540]  耶穌面對撒旦的誘惑
[00:01:21.820 --> 00:01:23.620]  耶穌怎樣來得勝
[00:01:23.620 --> 00:01:25.460]  講完這兩堂道之後
[00:01:25.460 --> 00:01:28.500]  我們就會開始研讀《已不所書》第六章
[00:01:28.500 --> 00:01:32.180]  那裏是講到我們怎樣有全副的軍裝
[00:01:32.180 --> 00:01:33.380]  來帶去裝備
[00:01:33.380 --> 00:01:35.100]  以致我們可以得勝
