
[00:00:00.000 --> 00:00:02.000]  Thank you 每位早晨
[00:00:02.000 --> 00:00:04.000]  我想問下呢
[00:00:04.000 --> 00:00:07.000]  在座當中有幾多人揸車㗎?
[00:00:07.000 --> 00:00:10.000]  唔算好多咋喎
[00:00:10.000 --> 00:00:12.000]  鍾意車㗎?
[00:00:12.000 --> 00:00:17.000]  OK 鍾意車不過我揸係咪呀?
[00:00:17.000 --> 00:00:20.000]  鍾意睇賽車㗎?
[00:00:20.000 --> 00:00:22.000]  我知道呢個紙板度有一個
[00:00:22.000 --> 00:00:24.000]  有幾個喎原來呀
[00:00:24.000 --> 00:00:26.000]  大家呢
[00:00:26.000 --> 00:00:28.000]  可能都有睇新聞呀
[00:00:28.000 --> 00:00:30.000]  今年嘅12月
[00:00:30.000 --> 00:00:32.000]  2號至到3號
[00:00:32.000 --> 00:00:34.000]  香港呢
[00:00:34.000 --> 00:00:37.000]  會舉行一個世界頂級嘅
[00:00:37.000 --> 00:00:39.000]  街道嘅賽事
[00:00:39.000 --> 00:00:41.000]  電動方程式錦標賽
[00:00:41.000 --> 00:00:43.000]  Formula E
[00:00:43.000 --> 00:00:45.000]  其實唔係第一次係香港
[00:00:45.000 --> 00:00:47.000]  舉行㗎啦第二次㗎啦
[00:00:47.000 --> 00:00:49.000]  當然
[00:00:49.000 --> 00:00:52.000]  呢個係一個重要嘅賽事
[00:00:52.000 --> 00:00:54.000]  因為係新嘅一個
[00:00:54.000 --> 00:00:56.000]  季度嘅揭幕戰嚟㗎
[00:00:56.000 --> 00:00:59.000]  賽車有一個特質就係
[00:00:59.000 --> 00:01:01.000]  速度快
[00:01:01.000 --> 00:01:03.000]  咁速度快之餘呢
[00:01:03.000 --> 00:01:06.000]  當然亦都有相當嘅危險性
[00:01:06.000 --> 00:01:11.000]  其實過去有唔少嘅車手
[00:01:11.000 --> 00:01:13.000]  都因著
[00:01:13.000 --> 00:01:15.000]  喺賽車場上面
