
[00:00:00.000 --> 00:00:03.400]  相信我們都會同意的
[00:00:03.400 --> 00:00:05.200]  就是我們每一個人
[00:00:05.200 --> 00:00:10.600]  都有時遇到一個害怕的時刻
[00:00:10.600 --> 00:00:12.400]  有時我們害怕一些人
[00:00:12.400 --> 00:00:15.400]  有時我們害怕一些事物
[00:00:15.400 --> 00:00:18.200]  有時我們害怕一些現象
[00:00:18.200 --> 00:00:21.000]  總之我們或多或少
[00:00:21.000 --> 00:00:25.600]  都經歷過懼怕、害怕的時刻
[00:00:25.600 --> 00:00:28.600]  我相信這個都是人的本性
[00:00:28.600 --> 00:00:33.400]  亦都是反映了人的一個脆弱的一面
[00:00:33.400 --> 00:00:37.800]  我相信天不怕地不怕的人
[00:00:37.800 --> 00:00:41.200]  應該都是很少的
[00:00:41.200 --> 00:00:44.200]  究竟我們害怕些甚麼呢?
[00:00:44.200 --> 00:00:45.600]  如果問到這個問題的時候
[00:00:45.600 --> 00:00:47.000]  我們就發現
[00:00:47.000 --> 00:00:48.600]  原來不同的人
[00:00:48.600 --> 00:00:51.000]  又害怕的東西都是不同的
[00:00:51.000 --> 00:00:52.800]  是不是?
[00:00:52.800 --> 00:00:55.000]  有些人害怕貓
[00:00:55.000 --> 00:00:56.600]  害怕狗
[00:00:56.600 --> 00:00:58.600]  怕老鼠、怕蟑螂
[00:00:58.600 --> 00:00:59.400]  是不是?
[00:00:59.400 --> 00:01:02.200]  但有些人對這些一點都不怕
[00:01:02.200 --> 00:01:05.200]  但卻是有些人很怕骯髒的
[00:01:05.200 --> 00:01:07.600]  有些人又怕死
[00:01:07.600 --> 00:01:09.200]  怕失業
[00:01:09.200 --> 00:01:11.400]  怕孤獨
[00:01:11.400 --> 00:01:15.800]  這些都是有些人這樣的感受
[00:01:15.800 --> 00:01:17.200]  有些人不是怕這些
[00:01:17.200 --> 00:01:19.200]  不過他怕改變
[00:01:19.200 --> 00:01:21.000]  改變就很怕了
[00:01:21.000 --> 00:01:24.000]  有些人是怕病、怕老
[00:01:24.000 --> 00:01:27.600]  有些人卻是怕患難的臨到
[00:01:27.600 --> 00:01:29.000]  我們發現
[00:01:29.000 --> 00:01:30.600]  原來不同的人
[00:01:30.600 --> 00:01:34.600]  都有不同的事情去懼怕
[00:01:34.600 --> 00:01:37.400]  裏面有一些很特別的地方
