
[00:00:00.000 --> 00:00:04.000]  好,今日的正道開始先讓我們先有一個祈禱
[00:00:04.000 --> 00:00:06.000]  主,我們感謝讚美你
[00:00:06.000 --> 00:00:11.000]  多謝你讓我們一同在你的聖所當中能夠學習你的話語
[00:00:11.000 --> 00:00:13.000]  主,願你開啟我們的心
[00:00:13.000 --> 00:00:16.000]  讓你的話語在我們的生命裏面作功
[00:00:16.000 --> 00:00:20.000]  讓你復活的大能成為我們生命的力量
[00:00:20.000 --> 00:00:25.000]  主,願今日無論講的聽的都在你的話語裏面得著祝福
[00:00:25.000 --> 00:00:28.000]  並且有力量繼續去見證上帝你
[00:00:28.000 --> 00:00:31.000]  禱告奉告主耶穌基督得聖名字祈求,阿們
[00:00:31.000 --> 00:00:36.000]  早前我放假去了一個旅行,去東京旅行
[00:00:36.000 --> 00:00:40.000]  大家知道其實當你去到另一個國家旅行的時候
[00:00:40.000 --> 00:00:43.000]  你會發現你一些習慣是需要調整的
[00:00:43.000 --> 00:00:45.000]  就好像譬如搭地鐵那樣
[00:00:45.000 --> 00:00:48.000]  去東京的時候,我就搭地鐵
[00:00:48.000 --> 00:00:54.000]  大家你們知不知道在香港我們通常搭地鐵是靠哪邊的?
[00:00:54.000 --> 00:00:56.000]  靠右邊站的,是不是?
[00:00:56.000 --> 00:01:01.000]  但是我們在東京的時候其實是靠左邊站的
[00:01:01.000 --> 00:01:05.000]  所以當時我們搭地鐵是很不習慣的
[00:01:05.000 --> 00:01:09.000]  但是當搭地鐵的時候突然間突了你出來的時候
[00:01:09.000 --> 00:01:11.000]  實在太明顯了
[00:01:11.000 --> 00:01:14.000]  所以你會發覺你是站錯了那一邊的
[00:01:14.000 --> 00:01:17.000]  所以你就立刻站回左邊
[00:01:17.000 --> 00:01:20.000]  經過了幾天回來香港
[00:01:20.000 --> 00:01:25.000]  我發現短短幾天就已經令我在香港靠右站的時候
[00:01:25.000 --> 00:01:27.000]  有點不習慣
[00:01:27.000 --> 00:01:29.000]  這個小小的體驗
[00:01:29.000 --> 00:01:32.000]  這個經歷令我有小小的體驗
[00:01:32.000 --> 00:01:35.000]  第一,人是會改變的
[00:01:35.000 --> 00:01:37.000]  大家都知道,是不是?
[00:01:37.000 --> 00:01:42.000]  第二,人會被身邊的社會影響而改變
[00:01:42.000 --> 00:01:50.000]  第三,人將改變變為習以為常的時候
[00:01:50.000 --> 00:01:53.000]  當直至另一個改變出現的時候
[00:01:53.000 --> 00:01:57.000]  你發現原來你自己已經被改變了
[00:01:57.000 --> 00:02:01.000]  改變對於我們基督律徒來說一點都不陌生
[00:02:01.000 --> 00:02:03.000]  特別是在決治之後
[00:02:03.000 --> 00:02:05.000]  我們上初信栽培的時候
[00:02:05.000 --> 00:02:09.000]  就會問你信主前和信主後有什麼改變呢?
[00:02:09.000 --> 00:02:12.000]  可能你會說了一大堆的東西出來
[00:02:12.000 --> 00:02:15.000]  因為當你突然進入一個信仰群體的時候
[00:02:15.000 --> 00:02:19.000]  你會察現它會有很多的不同
