
[00:00:00.000 --> 00:00:02.660]  想想教會的方向,大家都很清楚
[00:00:02.660 --> 00:00:04.440]  我們看得見的愛,明白主的心
[00:00:04.440 --> 00:00:07.040]  顛覆生命的能力和被神翻轉的生命
[00:00:07.040 --> 00:00:10.600]  在過往這半年,我們說了看得見的愛
[00:00:10.600 --> 00:00:16.040]  神的愛不是說,而是讓人經歷到,感受到
[00:00:16.040 --> 00:00:19.960]  但是當我說明白主的心的時候
[00:00:19.960 --> 00:00:21.600]  我說了很多次
[00:00:21.600 --> 00:00:25.040]  如果我們只是看看得見的愛
[00:00:25.040 --> 00:00:27.760]  我們不明白神的心
[00:00:27.760 --> 00:00:31.380]  我們會用我們覺得是這樣的愛的方式
[00:00:31.380 --> 00:00:34.240]  去愛我們所選擇的人
[00:00:34.240 --> 00:00:37.360]  覺得可愛的,我們會選擇
[00:00:37.360 --> 00:00:41.240]  在《真言二十一章》二節裡面說
[00:00:41.240 --> 00:00:45.320]  人所行的,在自己的眼中看為正
[00:00:45.320 --> 00:00:49.160]  惟有耶和華衡量人心
[00:00:49.160 --> 00:00:51.480]  神的心是怎樣呢?
[00:00:51.480 --> 00:00:53.680]  在這段時間我為教會禱告
[00:00:53.680 --> 00:00:57.320]  神很清楚要我跟教會說
[00:00:57.320 --> 00:00:58.960]  教會說什麼呢?
[00:00:58.960 --> 00:01:03.760]  「已忽所書四章一至三節
[00:01:03.760 --> 00:01:06.560]  既然蒙召行事為人
[00:01:06.560 --> 00:01:09.440]  就當與蒙召的恩相稱
[00:01:09.440 --> 00:01:13.160]  凡事謙虛、溫柔、忍耐
[00:01:13.160 --> 00:01:15.800]  用愛心互相寬容
[00:01:15.800 --> 00:01:18.400]  用和平彼此聯絡
[00:01:18.400 --> 00:01:23.920]  竭力保守聖靈所賜合而為一的心」
[00:01:23.920 --> 00:01:26.880]  第二段聖經是同一卷書
[00:01:26.880 --> 00:01:30.040]  同一章,四章二十九節
[00:01:30.040 --> 00:01:33.720]  「污穢的言語一句不可出口
[00:01:33.720 --> 00:01:37.040]  只要隨時說造就人的好話
[00:01:37.040 --> 00:01:40.160]  叫聽見的人得益處」
[00:01:40.160 --> 00:01:41.920]  第一段,我不需要識經
[00:01:41.920 --> 00:01:43.080]  不需要解經
[00:01:43.080 --> 00:01:45.200]  因為裡面的文字
[00:01:45.200 --> 00:01:49.280]  是很清楚,很清楚跟我們每一個人說
[00:01:49.280 --> 00:01:51.080]  大家都容易明白
[00:01:51.080 --> 00:01:54.560]  「已忽所書」是神跟教會說的話
[00:01:54.560 --> 00:01:56.680]  教會不是建築物
[00:01:56.680 --> 00:01:58.000]  不是組織
[00:01:58.000 --> 00:01:59.760]  教會是你和我加在一起
[00:01:59.760 --> 00:02:01.080]  所以「已忽所書」
[00:02:01.080 --> 00:02:02.440]  今天神的說話
[00:02:02.440 --> 00:02:05.320]  是跟我們教會每一個弟兄姊妹
[00:02:05.320 --> 00:02:07.000]  每一個教睦同工
[00:02:07.000 --> 00:02:08.480]  每一個目者
[00:02:08.480 --> 00:02:10.840]  包括在台上說到這個人
[00:02:10.840 --> 00:02:12.640]  跟我們每一個人說
[00:02:12.640 --> 00:02:14.240]  今天聖靈也問我們
