
[00:00:00.000 --> 00:00:02.320]  在這個《約翰福音》十三章第三十四節
[00:00:02.320 --> 00:00:06.540]  「我賜給你們一條新命令,乃是要叫你們彼此相愛」
[00:00:06.540 --> 00:00:07.840]  是命令來的
[00:00:07.840 --> 00:00:10.260]  去到這個十五章十二節
[00:00:10.260 --> 00:00:14.520]  他說「你們要彼此相愛,像我愛你們一樣,這是我的命令」
[00:00:14.520 --> 00:00:16.520]  接著《約翰福音》十五章十七節
[00:00:16.520 --> 00:00:18.520]  他說「我這樣命令你們」
[00:00:18.520 --> 00:00:22.400]  「我這樣命令你們,是要你們彼此相愛」
[00:00:22.400 --> 00:00:26.440]  我們看得到耶穌基督向我們發出一個命令
[00:00:26.440 --> 00:00:29.000]  命令很重要的,是不是?
[00:00:29.000 --> 00:00:32.160]  如果你跟你的小朋友說「坐下吧」
[00:00:32.160 --> 00:00:37.320]  他好像借了聾耳、蠢耳似的
[00:00:37.320 --> 00:00:40.520]  接著你說「你可不可以坐下?」
[00:00:40.520 --> 00:00:46.040]  他仍然好像不理你一樣
[00:00:46.040 --> 00:00:47.560]  接著你會怎樣?
[00:00:47.560 --> 00:00:49.520]  Mr. Tan
[00:00:49.520 --> 00:00:52.720]  鄧哥哥,你會怎樣?
[00:00:52.720 --> 00:00:55.480]  你爸爸會怎樣?
[00:00:55.480 --> 00:00:57.000]  不是你會怎樣,是你爸爸會怎樣?
[00:00:57.000 --> 00:00:58.080]  「坐下!」
[00:00:58.520 --> 00:01:00.520]  當然,你不是一隻狗
[00:01:00.520 --> 00:01:06.160]  下了一個命令,那時候真的會醒一醒
[00:01:06.160 --> 00:01:08.160]  聽不聽到另一件事,醒一醒
[00:01:08.160 --> 00:01:10.160]  「坐下!坐下吧!」
[00:01:10.160 --> 00:01:11.160]  是不是?
[00:01:11.160 --> 00:01:14.680]  所以我們看得見,當然主耶穌不是這樣的語氣
[00:01:14.680 --> 00:01:17.520]  「我現在給你一個新命令,你要彼此相愛」
[00:01:17.520 --> 00:01:19.520]  這樣是不行的,是不是?
[00:01:19.520 --> 00:01:23.200]  所以我們看得到,我特別用了一點時間講這一段
[00:01:23.200 --> 00:01:27.600]  就是因為原來主耶穌基督對於彼此相愛這件事
[00:01:27.600 --> 00:01:31.680]  祂是用命令式來的
[00:01:31.680 --> 00:01:35.920]  不是好像「我勸勸你們,不如你們這樣,我提議你們,我建議你們」
[00:01:35.920 --> 00:01:36.920]  不是的
[00:01:36.920 --> 00:01:38.560]  所以多麼重要
[00:01:38.560 --> 00:01:40.560]  我想強調的就是這一點
[00:01:40.560 --> 00:01:43.960]  接著保羅,我不會讀完這麼多了
[00:01:43.960 --> 00:01:45.760]  《羅馬書》13章第8節
[00:01:45.760 --> 00:01:50.920]  「你們除了彼此相愛,對任何人都不可虧欠什麼?」
[00:01:50.920 --> 00:01:55.320]  就是有些人對你來說,你可能欠了他人情
[00:01:55.320 --> 00:01:59.320]  或者不請他吃飯,或者你也有欠他的東西
[00:01:59.320 --> 00:02:02.560]  但是保羅說「除了彼此相愛」
[00:02:02.560 --> 00:02:04.560]  就是彼此相愛你不可以欠別人
[00:02:04.560 --> 00:02:06.560]  很重要,是不是?
[00:02:06.560 --> 00:02:09.560]  接著彼得又說什麼呢?
[00:02:09.560 --> 00:02:13.880]  彼得就說「既然你們因順從真理而結成你自己的心靈
[00:02:13.880 --> 00:02:19.560]  能真誠愛弟兄,就該以清潔的心彼此切實相愛」
[00:02:19.560 --> 00:02:22.760]  這個是彼得的勸勉
[00:02:22.760 --> 00:02:25.560]  在彼得前書第4章第8節說
[00:02:25.560 --> 00:02:32.760]  「最要緊的是彼此切實相愛
[00:02:32.760 --> 00:02:35.760]  因為愛能遮掩許多的罪」
[00:02:35.760 --> 00:02:38.760]  好了,這個是使徒約翰
[00:02:38.760 --> 00:02:41.760]  他也是一樣,《楊一書》3章第11節
[00:02:41.760 --> 00:02:46.760]  「我們要彼此相愛,這就是你們從起初所聽到的訊息」
[00:02:46.760 --> 00:02:52.760]  即是說,從起初,我跟你們說的時候,都是說這些東西
[00:02:52.760 --> 00:02:55.760]  就是要彼此相愛
[00:02:55.760 --> 00:03:00.760]  好了,這個我就賴一個給大家認識
[00:03:00.760 --> 00:03:05.760]  在彼此相愛裡面,愛的表現是什麼呢?
[00:03:05.760 --> 00:03:08.760]  我不會跟大家繼續說了
[00:03:08.760 --> 00:03:12.760]  因為這個之前已經曾經跟大家分享過了
[00:03:12.760 --> 00:03:17.760]  我不會逐節說,我只是選那句說話出來
[00:03:17.760 --> 00:03:20.760]  愛有表現的,有一本書
[00:03:20.760 --> 00:03:25.760]  有一個作者叫做Gary Chapman
[00:03:25.760 --> 00:03:27.760]  他曾經說過
[00:03:27.760 --> 00:03:29.760]  The five languages of love
[00:03:29.760 --> 00:03:32.760]  五種愛表達的言語
[00:03:32.760 --> 00:03:37.760]  其實language這個字眼就好像很有趣,是言語
[00:03:37.760 --> 00:03:39.760]  其實他的東西都不是全部說的
[00:03:39.760 --> 00:03:43.760]  不過他用言語,就不是真的說話
[00:03:43.760 --> 00:03:44.760]  就是說有五樣東西
[00:03:44.760 --> 00:03:46.760]  例如什麼呢?讓我看看記不記得
[00:03:46.760 --> 00:03:49.760]  第一,如果你愛一個人的時候
[00:03:49.760 --> 00:03:52.760]  譬如那個是你太太,或者是你的媽媽
[00:03:52.760 --> 00:03:59.760]  或者是你的愛人
[00:03:59.760 --> 00:04:01.760]  愛人不等於任何什麼的
[00:04:01.760 --> 00:04:04.760]  你會怎樣?你是不是會有一些時間跟他在一起,對不對?
[00:04:04.760 --> 00:04:09.760]  你不會給他時間的
[00:04:09.760 --> 00:04:11.760]  那你是不是叫愛他呢?這個問題
[00:04:11.760 --> 00:04:14.760]  第二,你會不會說出來呢?
[00:04:14.760 --> 00:04:16.760]  可能你不會說
[00:04:16.760 --> 00:04:19.760]  我最近看了一部劇集
[00:04:19.760 --> 00:04:20.760]  它說什麼呢?
[00:04:20.760 --> 00:04:27.760]  我記得了
[00:04:27.760 --> 00:04:34.760]  它說I love you,有沒有聽過?
[00:04:34.760 --> 00:04:36.760]  沒有?
[00:04:36.760 --> 00:04:40.760]  它說I love you,知不知道什麼意思?
[00:04:40.760 --> 00:04:41.760]  知不知道什麼意思?
[00:04:41.760 --> 00:04:42.760]  另一句?
[00:04:42.760 --> 00:04:44.760]  I love you
