
[00:00:00.000 --> 00:00:05.000]  今日繼續跟大家講傳道書
[00:00:05.000 --> 00:00:08.000]  講到第九章
[00:00:08.000 --> 00:00:12.000]  第九章繼續探討一個問題
[00:00:12.000 --> 00:00:17.000]  就是人的智慧有限
[00:00:17.000 --> 00:00:23.000]  上一章第八章主要訊息的一部份是
[00:00:23.000 --> 00:00:27.000]  我們不能夠因為看不見神的公義
[00:00:27.000 --> 00:00:30.000]  在這個世界上彰顯出來
[00:00:30.000 --> 00:00:34.000]  我們就說神是不公義
[00:00:34.000 --> 00:00:39.000]  或者說神不再理會我們世人的善惡
[00:00:39.000 --> 00:00:42.000]  我們不可以這樣說
[00:00:42.000 --> 00:00:45.000]  因為我們人的智慧是有限
[00:00:45.000 --> 00:00:52.000]  我們不能夠完全明白神在背後的計劃作為
[00:00:52.000 --> 00:00:59.000]  我們不明白神在我們每一個人身上獨特的計劃
[00:00:59.000 --> 00:01:05.000]  現在第九章的主要訊息就是
[00:01:05.000 --> 00:01:11.000]  我們不能夠因為我們的遭遇是好是壞
[00:01:11.000 --> 00:01:15.000]  我們就說神是愛我們
[00:01:15.000 --> 00:01:20.000]  還是不愛我們甚至是恨我們
[00:01:20.000 --> 00:01:28.000]  我們不能夠因為我們的遭遇去定神是愛我們還是恨我們
[00:01:28.000 --> 00:01:32.000]  因為我們人的確是智慧有限
[00:01:32.000 --> 00:01:39.000]  我們不可以因為順境而簡單地說神愛我們
[00:01:39.000 --> 00:01:42.000]  當然順境的時候我們很感恩
[00:01:42.000 --> 00:01:47.000]  但是我們不能夠很簡單或者絕對地說神是愛我們
[00:01:47.000 --> 00:01:56.000]  比如我們做一些壞事
[00:01:56.000 --> 00:01:59.000]  順境也沒有用
[00:01:59.000 --> 00:02:03.000]  你不要做壞事順境就感謝神
[00:02:03.000 --> 00:02:05.000]  是不對的
[00:02:05.000 --> 00:02:10.000]  我們也不能夠因為逆境而簡單地說神不愛我們
[00:02:10.000 --> 00:02:16.000]  因為我們不知道神背後在我們身上的計劃是怎樣
[00:02:16.000 --> 00:02:18.000]  因此我們必須要忍耐
[00:02:18.000 --> 00:02:21.000]  要繼續信靠神
[00:02:21.000 --> 00:02:24.000]  用神的話語來驗證
[00:02:24.000 --> 00:02:28.000]  也要用神的話語來教導我們自己
[00:02:28.000 --> 00:02:31.000]  指引我們自己怎樣繼續生活下去
[00:02:31.000 --> 00:02:37.000]  這個就是今天我要說的主要訊息
[00:02:37.000 --> 00:02:39.000]  我們看今天的經文
[00:02:39.000 --> 00:02:43.000]  全道書第九章一節
[00:02:43.000 --> 00:02:47.000]  我將這一切事放在心上詳細考究
[00:02:47.000 --> 00:02:52.000]  就知道義人和智慧人並他們的作為都在神手中
[00:02:52.000 --> 00:02:57.000]  或是愛或是恨都在他們的前面
[00:02:57.000 --> 00:03:01.000]  人不能知道
[00:03:01.000 --> 00:03:14.000]  作為是指義人和智慧人在生活上所做所說所想的事
[00:03:14.000 --> 00:03:19.000]  而這一切神都知道
[00:03:19.000 --> 00:03:22.000]  神監察人的內心
[00:03:22.000 --> 00:03:26.000]  所以每一樣事人的思念
[00:03:26.000 --> 00:03:29.000]  祂都知道
[00:03:29.000 --> 00:03:34.000]  是愛是恨這個意思是很特別的
[00:03:34.000 --> 00:03:38.000]  是指神給人的愛和恨
