
[00:00:00.000 --> 00:00:03.200]  今天就會繼續和大家分享
[00:00:03.200 --> 00:00:04.980]  你怎麼去看耶穌
[00:00:04.980 --> 00:00:08.560]  你怎麼去看待耶穌
[00:00:08.560 --> 00:00:10.280]  在過去一個禮拜當中
[00:00:10.280 --> 00:00:14.320]  我相信一個大新聞
[00:00:14.320 --> 00:00:15.960]  全世界都觸目的
[00:00:15.960 --> 00:00:18.460]  就是羅馬天主教的教廷
[00:00:18.460 --> 00:00:24.360]  在禮拜三選出了第266任教宗
[00:00:24.360 --> 00:00:26.160]  這個就是來自阿根廷
[00:00:26.160 --> 00:00:28.920]  第一次是從中南美洲出來的
[00:00:28.920 --> 00:00:32.200]  來自阿根廷的書籍主教
[00:00:32.200 --> 00:00:36.520]  Jorge Mario Bergoglio
[00:00:36.520 --> 00:00:39.480]  不知道有沒有讀錯 應該差不多
[00:00:39.480 --> 00:00:44.400]  他將教宗的封號選為Francis
[00:00:44.400 --> 00:00:47.000]  即是來自St. Francis Assisi
[00:00:47.000 --> 00:00:51.400]  中文的聖禱日報翻譯為方祭
[00:00:51.400 --> 00:00:53.920]  26台翻譯為方祭國
[00:00:53.920 --> 00:00:56.000]  無論怎樣Francis都要說一點
[00:00:56.000 --> 00:00:57.760]  Pope Francis
[00:00:57.760 --> 00:00:59.000]  這個人很特別
[00:00:59.000 --> 00:01:02.840]  除了是第一個來自中南美洲的教宗之外
[00:01:02.840 --> 00:01:04.840]  人們報道他的時候
[00:01:04.840 --> 00:01:07.960]  說他的生活是相當簡樸的
[00:01:07.960 --> 00:01:09.400]  他做到書籍主教
[00:01:09.400 --> 00:01:11.720]  其實自己可以有自己的自用車
[00:01:11.720 --> 00:01:13.040]  甚至有司機
[00:01:13.040 --> 00:01:15.520]  但是他出入是坐公車的
[00:01:15.520 --> 00:01:19.000]  而且在家裡自己煮食
[00:01:19.000 --> 00:01:21.480]  所以給人一種謙卑
[00:01:21.480 --> 00:01:25.120]  很廉潔和清新的感覺
[00:01:25.120 --> 00:01:26.920]  所以當他被選出來的時候
[00:01:26.920 --> 00:01:30.800]  很多人批評和作出討論
[00:01:30.800 --> 00:01:34.120]  為什麼會選一個這樣的人做教宗呢
[00:01:34.120 --> 00:01:35.920]  他們很希望
[00:01:35.920 --> 00:01:39.560]  回顧過去這幾十年
[00:01:39.560 --> 00:01:41.800]  天主教的教會
[00:01:41.800 --> 00:01:47.720]  一直受很多性醜聞和貪腐醜聞的影響
[00:01:47.720 --> 00:01:49.840]  希望教宗的出現
[00:01:49.840 --> 00:01:53.920]  上任能夠帶給天主教
[00:01:53.920 --> 00:01:57.960]  一個革新和清新的形象
[00:01:57.960 --> 00:02:00.600]  事實上我認為是公平的
[00:02:00.600 --> 00:02:03.560]  性醜聞和貪腐醜聞
[00:02:03.560 --> 00:02:06.320]  其實不僅在天主教裡面有
[00:02:06.320 --> 00:02:08.280]  在基督教裡面有嗎
[00:02:08.280 --> 00:02:09.000]  有的
[00:02:09.000 --> 00:02:10.640]  不過只是少一點報道
