
[00:00:00.000 --> 00:00:02.000]  鄧英姐妹主內平安
[00:00:02.000 --> 00:00:06.200]  今天是新年初七
[00:00:06.200 --> 00:00:09.960]  在這裡也跟大家說一聲新年快樂
[00:00:09.960 --> 00:00:11.960]  主因滿日
[00:00:11.960 --> 00:00:14.560]  今天除了是年初七之外
[00:00:14.560 --> 00:00:15.800]  也是很特別的
[00:00:15.800 --> 00:00:17.320]  正如剛才主席所說
[00:00:17.320 --> 00:00:19.320]  今天也是情人節
[00:00:19.320 --> 00:00:23.360]  想問問大家知不知道情人節的來源呢?
[00:00:23.360 --> 00:00:28.280]  在幾個來源當中
[00:00:28.280 --> 00:00:29.840]  其中一個是這樣說的
[00:00:29.840 --> 00:00:31.560]  在公元三世紀
[00:00:31.560 --> 00:00:35.280]  三世紀是初期教會很久很久以前的事
[00:00:35.280 --> 00:00:38.760]  當時古羅馬帝國有一個暴君
[00:00:38.760 --> 00:00:43.920]  他叫做哥迪斯二世
[00:00:43.920 --> 00:00:45.920]  當時是由他統治的
[00:00:45.920 --> 00:00:50.560]  當時的羅馬是一個很反對基督教的國家
[00:00:50.560 --> 00:00:53.040]  很多基督徒都受到逼迫
[00:00:53.040 --> 00:00:55.520]  如果大家有看聖經就知道
[00:00:55.520 --> 00:00:56.720]  初期教會的時候
[00:00:56.720 --> 00:00:58.720]  很多基督徒是受到逼迫的
[00:00:58.720 --> 00:01:01.600]  當時不斷地打仗
[00:01:01.600 --> 00:01:05.280]  皇帝要徵召壯丁
[00:01:05.280 --> 00:01:07.800]  來到戰場打仗
[00:01:07.800 --> 00:01:11.280]  壯丁也有妻兒
[00:01:11.280 --> 00:01:15.160]  他們很不願意離開太太和子女
[00:01:15.160 --> 00:01:17.760]  皇帝又要想辦法
[00:01:17.760 --> 00:01:20.200]  逼迫他們一定要去打仗
[00:01:20.200 --> 00:01:22.600]  他們不願意也要逼迫他們去
[00:01:22.600 --> 00:01:26.520]  他指定在適合打仗的年齡範圍內的人
[00:01:26.520 --> 00:01:29.040]  必須要參加,是不能選擇的
