
[00:00:00.000 --> 00:00:03.160]  天父 我們看到被逼迫的仕途們
[00:00:03.160 --> 00:00:07.080]  看到現今世界的動盪不安
[00:00:07.080 --> 00:00:10.800]  我們深深感受到被聖靈充滿
[00:00:10.800 --> 00:00:14.840]  以致我們有喜樂 有平安 有愛
[00:00:14.840 --> 00:00:18.280]  有忍耐 有溫柔 節制
[00:00:18.280 --> 00:00:21.560]  這些聖靈的果子的生命質素
[00:00:21.560 --> 00:00:23.960]  對我們是何等的寶貴
[00:00:23.960 --> 00:00:27.480]  我們又想起在我們寶光的大堂
[00:00:27.480 --> 00:00:30.200]  有個金句 喜樂的心乃是良藥
[00:00:30.200 --> 00:00:33.840]  今天我們有時都覺得很難喜樂
[00:00:33.840 --> 00:00:35.240]  但我們感謝神
[00:00:35.240 --> 00:00:39.640]  因爲禰在艱難裏仍然是我們的喜樂
[00:00:39.640 --> 00:00:42.440]  我們仰望禰 求禰指教我們
[00:00:42.440 --> 00:00:46.520]  如何在縱然有困難 有苦楚
[00:00:46.520 --> 00:00:49.360]  我們仍然去堅定跟隨禰
[00:00:49.360 --> 00:00:51.480]  求禰聽我們的祈禱
[00:00:51.480 --> 00:00:52.840]  預納我們
[00:00:52.840 --> 00:00:56.480]  聽我們同心的禱告 奉耶穌的聖名
[00:00:56.480 --> 00:00:59.480]  丙姐妹 有沒有一些事
[00:00:59.480 --> 00:01:04.160]  你明知是困難 仍然迎難而上
[00:01:04.160 --> 00:01:06.560]  或者你明知這件事是很辛苦的
[00:01:06.560 --> 00:01:10.600]  你仍然硬着頭皮照做
[00:01:10.600 --> 00:01:11.800]  有沒有?
[00:01:11.800 --> 00:01:15.040]  有 很多 特別是老闆叫到
[00:01:15.040 --> 00:01:18.000]  或者阿伯叫到 阿媽叫到
[00:01:18.000 --> 00:01:20.360]  特別是媽媽生兒子
[00:01:20.360 --> 00:01:22.840]  生兒子是不是很勇敢的事?
[00:01:22.840 --> 00:01:24.040]  聽說是吧?
