
[00:00:00.000 --> 00:00:02.360]  今天我們所讀經文記載的故事
[00:00:02.360 --> 00:00:05.800]  是撒加利亞的第五個遺像
[00:00:05.800 --> 00:00:07.240]  在這個遺像裡面
[00:00:07.240 --> 00:00:10.320]  撒加利亞所看到的是一個金燈台
[00:00:10.320 --> 00:00:15.120]  金燈台兩邊左右都各有一個橄欖樹
[00:00:15.120 --> 00:00:17.920]  如果大家看我們所投射的圖片
[00:00:17.920 --> 00:00:20.720]  我們大概就可以認得到
[00:00:20.720 --> 00:00:25.800]  這個金燈台和兩棵橄欖樹
[00:00:25.800 --> 00:00:29.280]  大概的形狀是怎麼樣
[00:00:29.280 --> 00:00:33.680]  在所形容的金燈台上面有一個燈盞
[00:00:33.680 --> 00:00:37.440]  有兩斤的橄欖枝
[00:00:37.440 --> 00:00:41.360]  在兩個流出金色油的金嘴旁邊
[00:00:41.360 --> 00:00:45.840]  大概流出來的橄欖油
[00:00:45.840 --> 00:00:50.080]  就是提供金燈台需要的燃油
[00:00:50.080 --> 00:00:52.160]  對於我們現代人來說
[00:00:52.160 --> 00:00:53.720]  我們比較困難去理解
[00:00:53.720 --> 00:00:56.320]  這個奇特的圖畫
[00:00:56.320 --> 00:01:00.000]  究竟是在表彰什麼意思呢?
[00:01:00.000 --> 00:01:02.000]  不容易理解的原因
[00:01:02.000 --> 00:01:05.040]  因為這個圖畫背後
[00:01:05.040 --> 00:01:08.840]  包含了頗多舊約的歷史背景
[00:01:08.840 --> 00:01:14.200]  也包含了基督教很多獨特的符號在裡面
[00:01:14.200 --> 00:01:19.640]  今天讓我們通過撒加利亞所看到的這個遺像
[00:01:19.640 --> 00:01:23.320]  來一起學習一些屬靈功課
[00:01:23.320 --> 00:01:25.240]  如果大家記得的話
[00:01:25.240 --> 00:01:27.000]  我們上星期也提過
[00:01:27.000 --> 00:01:30.560]  撒加利亞書這本書的書寫目的
[00:01:30.560 --> 00:01:32.880]  最主要就是去鼓勵
[00:01:32.880 --> 00:01:36.520]  那些回到耶路撒冷的以色列人
[00:01:36.520 --> 00:01:41.000]  重建被毀壞了的聖殿
[00:01:41.000 --> 00:01:42.480]  而我們也知道
[00:01:42.480 --> 00:01:44.720]  在聖殿裡面一個很重要的物件
[00:01:44.720 --> 00:01:47.320]  就是這個金燈台
[00:01:47.320 --> 00:01:52.600]  很明顯金燈台是提供聖殿一些的光
[00:01:52.600 --> 00:01:57.520]  在裡面敬拜或參與侍奉的人有光可以用
