
[00:00:00.000 --> 00:00:02.800]  我們再看剛才讀的經文
[00:00:02.800 --> 00:00:06.080]  啟示錄第二章第一節至到第七節
[00:00:06.080 --> 00:00:09.840]  是主基督對以弗所教會
[00:00:09.840 --> 00:00:13.920]  亦是對眾教會的嚴肅叮嚀
[00:00:13.920 --> 00:00:16.880]  第二章第一節至到第七節
[00:00:16.880 --> 00:00:19.800]  主基督這樣說
[00:00:19.800 --> 00:00:22.880]  你要寫信給以弗所教會的使者
[00:00:22.880 --> 00:00:26.240]  說那右手拿著七星
[00:00:26.240 --> 00:00:29.720]  在七個金燈台中間行走的
[00:00:29.720 --> 00:00:33.520]  說:我知道你的行為勞碌忍耐
[00:00:33.520 --> 00:00:36.240]  亦知道你不能夠用忍惡人
[00:00:36.240 --> 00:00:40.880]  你亦曾經試驗那些自稱為使徒卻不是使徒的
[00:00:40.880 --> 00:00:42.640]  看到他們的假
[00:00:42.640 --> 00:00:46.000]  你亦能夠忍耐成為我的明奴婦
[00:00:46.000 --> 00:00:48.360]  並不罰權
[00:00:48.360 --> 00:00:50.760]  然而
[00:00:50.760 --> 00:00:52.840]  我有一件事要責備你
[00:00:52.840 --> 00:00:55.640]  就是你把起初的愛心離棄了
[00:00:55.640 --> 00:00:58.640]  所以應當回想你是在那裡墜落的
[00:00:58.640 --> 00:01:02.040]  並要悔改行起初所行的事
[00:01:02.040 --> 00:01:03.240]  你若不悔改
[00:01:03.240 --> 00:01:05.120]  我就臨到你那裡
[00:01:05.120 --> 00:01:08.600]  把你的燈台從原處拿去
[00:01:08.600 --> 00:01:09.520]  然而
[00:01:09.520 --> 00:01:11.520]  你還有一件可取的事
[00:01:11.520 --> 00:01:14.280]  就是你橫誤尼哥拉一黨人的行為
[00:01:14.280 --> 00:01:16.280]  這個都是我所橫誤的
[00:01:16.280 --> 00:01:19.000]  聖靈向眾教會所說的話
[00:01:19.000 --> 00:01:21.320]  凡有義的就應當聽
[00:01:21.320 --> 00:01:22.520]  得聖的
[00:01:22.520 --> 00:01:27.160]  我必將神樂園中生命樹的果子賜給他吃
