
[00:00:00.000 --> 00:00:03.300]  12月了,我們來到張臨節
[00:00:03.300 --> 00:00:07.500]  所以今個主日,我們開始點第一支蠟燭
[00:00:07.500 --> 00:00:10.980]  正如麗仙所說
[00:00:10.980 --> 00:00:17.260]  是一個很多年的,或許多個世紀的基督教儀式
[00:00:17.260 --> 00:00:23.080]  這個傳統,提醒我們需要去預備我們自己
[00:00:23.080 --> 00:00:25.140]  去迎接聖壇
[00:00:25.140 --> 00:00:26.680]  生命已經夠忙了
[00:00:26.680 --> 00:00:29.500]  我們自己的生活已經有很多事情要處理
[00:00:29.500 --> 00:00:32.800]  除了疫情,或者病,等等
[00:00:32.800 --> 00:00:36.480]  不同的事,已經搞到我們頭昏腦脹了
[00:00:36.480 --> 00:00:39.680]  我們更加需要給自己多一點空間
[00:00:39.680 --> 00:00:43.860]  早一點來預備,到底聖誕節是一回什麼事
[00:00:43.860 --> 00:00:47.200]  張臨節,Evan,到底是一回什麼事
[00:00:47.200 --> 00:00:50.140]  所以我們繼續看這個系列的時候
[00:00:50.140 --> 00:00:53.680]  我們希望能夠和大家思想一下
[00:00:53.680 --> 00:00:58.760]  張臨節,Evan,到底是一回什麼事
[00:00:58.760 --> 00:01:03.240]  如果你記得的話,可能也是曾經解釋過的
[00:01:03.240 --> 00:01:08.160]  張臨節,Evan,Eventus,拉丁文
[00:01:08.160 --> 00:01:11.200]  其實就是Arrival的意思
[00:01:11.200 --> 00:01:15.980]  就是說一位君王,他要來臨,要駕臨的時候
[00:01:15.980 --> 00:01:19.440]  到底有什麼我們需要迎接,去到預備的
[00:01:19.440 --> 00:01:21.440]  這個就是Evan的意思
[00:01:21.440 --> 00:01:25.360]  大家可能在自己的家裏面,都有不同的裝飾,對吧
[00:01:25.360 --> 00:01:27.360]  有誰已經做了聖誕樹的?
[00:01:27.360 --> 00:01:29.360]  有哪一個?
[00:01:29.360 --> 00:01:31.360]  小小,是嗎?那些是去年做的
[00:01:31.360 --> 00:01:35.400]  一直沒有收回來,是嗎?
[00:01:35.400 --> 00:01:37.400]  有哪一個將會做的?
[00:01:37.400 --> 00:01:41.400]  那些放棄了,是嗎?
[00:01:41.400 --> 00:01:47.140]  有人在家裏就會做一些裝飾
[00:01:47.140 --> 00:01:52.680]  門口可能掛個Wreath,或者做一些裝飾等等
[00:01:52.680 --> 00:01:58.220]  有什麼我們應該去做,去準備Evan呢?
[00:01:58.220 --> 00:02:04.420]  我們繼續看這個系列,去講這個節期
[00:02:04.420 --> 00:02:08.220]  想起一個節期,是跟張臨節很有關的
[00:02:08.220 --> 00:02:10.220]  就是Hanukkah
[00:02:10.220 --> 00:02:12.700]  Hanukkah,可能大家聽過,是一個猶太人的節期
[00:02:12.700 --> 00:02:17.140]  到今時今日,仍然有很多猶太人的社區
[00:02:17.140 --> 00:02:19.140]  以色列人的社區
[00:02:19.140 --> 00:02:22.860]  他們會很著重這個節期
[00:02:22.860 --> 00:02:24.860]  如果你回到聖經的話
[00:02:24.860 --> 00:02:29.380]  聖經舊約裏面,是從來沒有提過這個獻殿節
[00:02:29.380 --> 00:02:31.380]  或者修殿節,Hanukkah
[00:02:31.380 --> 00:02:34.380]  或者有時候叫做Festival of Lights
[00:02:34.380 --> 00:02:37.880]  為什麼呢?因為他們去慶祝Hanukkah的時候
[00:02:37.880 --> 00:02:43.880]  他們都會點一些蠟燭,或者掛一些燈飾等等
[00:02:43.880 --> 00:02:45.880]  是一個猶太人的節期
[00:02:45.880 --> 00:02:49.880]  從舊約裏面沒有提過,所以也不算是聖經裏面的節期
[00:02:49.880 --> 00:02:54.880]  因為聖經裏面沒有吩咐過,要去慶祝這個節日
[00:02:54.880 --> 00:02:57.880]  為什麼會有所謂Hanukkah出現呢?
[00:02:57.880 --> 00:03:01.880]  Hanukkah,其實就是希伯的意思,即是奉獻的意思
[00:03:01.880 --> 00:03:06.880]  Hanukkah,去到獻一樣東西
[00:03:06.880 --> 00:03:11.880]  這裏講到就是獻聖殿,或者聖殿再rededication
[00:03:11.880 --> 00:03:14.880]  原因就是為什麼呢?因為有一段故事
[00:03:14.880 --> 00:03:16.880]  在兩約中間的時候
[00:03:16.880 --> 00:03:18.880]  大概耶穌基督來之前
[00:03:18.880 --> 00:03:20.880]  大概三百年左右的時候
[00:03:20.880 --> 00:03:24.880]  耶穌基督來之前三百多BC開始
[00:03:24.880 --> 00:03:31.880]  當時的世界是由希臘的帝國來統治的
[00:03:31.880 --> 00:03:36.880]  所以大概耶穌基督來之前三百年的時候
[00:03:36.880 --> 00:03:41.880]  希臘的帝國已經統治了當時聖經的世界
[00:03:41.880 --> 00:03:44.880]  本身都好好的
[00:03:44.880 --> 00:03:52.880]  猶太人在巴勒斯坦地有他們自己所謂宗教的自由
[00:03:52.880 --> 00:03:55.880]  或者他們信仰的一種表達
[00:03:55.880 --> 00:03:59.880]  所以他們開頭的時候是可以的
[00:03:59.880 --> 00:04:01.880]  但是到耶穌之前來
[00:04:01.880 --> 00:04:03.880]  大概二百年左右
[00:04:03.880 --> 00:04:07.880]  一百六十多、一百七十BC左右的時候
[00:04:07.880 --> 00:04:09.880]  那個政局就開始變了
[00:04:09.880 --> 00:04:14.880]  有另外一個希臘的大帝上任之後
[00:04:14.880 --> 00:04:21.880]  他們就全力的去推行所謂的希利利法
[00:04:21.880 --> 00:04:23.880]  analyzation
[00:04:23.880 --> 00:04:26.880]  就是說所有的人不單止只講希臘話
[00:04:26.880 --> 00:04:28.880]  也都有希臘的文化
[00:04:28.880 --> 00:04:31.880]  不單止有希臘文化的薰陶
[00:04:31.880 --> 00:04:38.880]  希臘文化的薰陶是一種不能夠容忍其他分別的影響
[00:04:38.880 --> 00:04:49.880]  所以當時希臘的大帝就禁止猶太人在聖殿去敬拜
[00:04:49.880 --> 00:04:53.880]  禁止他們去念讀聖經
[00:04:53.880 --> 00:04:55.880]  禁止他們去行割禮
[00:04:55.880 --> 00:04:58.880]  禁止他們去守安息日
[00:04:58.880 --> 00:05:00.880]  就是Shabbat等等不同的事情
[00:05:00.880 --> 00:05:09.880]  就嘗試強硬的去實行希臘的洗禮
[00:05:09.880 --> 00:05:11.880]  要所有的民族
[00:05:11.880 --> 00:05:12.880]  特別是猶太人
[00:05:12.880 --> 00:05:20.880]  所以是一種強硬的文化的轉變
[00:05:20.880 --> 00:05:23.880]  這種文化的轉變對於猶太人來說
[00:05:23.880 --> 00:05:32.880]  不單止是以往猶太人歷史歷代在不同的政權之下
[00:05:32.880 --> 00:05:35.880]  都會受到不同的迫害
[00:05:35.880 --> 00:05:38.880]  但是這種迫害就不是肉身上的迫害
[00:05:38.880 --> 00:05:42.880]  而是一種文化上的侵略
[00:05:42.880 --> 00:05:46.880]  文化上的影響
[00:05:46.880 --> 00:05:48.880]  所以因為這樣的緣故
[00:05:48.880 --> 00:05:50.880]  當時大概耶穌來之前
[00:05:50.880 --> 00:05:52.880]  大概二百年到一百七十多年
[00:05:52.880 --> 00:05:54.880]  當時的猶太人
[00:05:54.880 --> 00:05:56.880]  和當時的當局
[00:05:56.880 --> 00:05:58.880]  就有很大的張力
[00:05:58.880 --> 00:06:01.880]  這張力繼續到蔓延的時候
[00:06:01.880 --> 00:06:06.880]  就引致有更加劇烈的迫害
[00:06:06.880 --> 00:06:09.880]  譬如迫猶太人去吃豬肉
[00:06:09.880 --> 00:06:11.880]  因為猶太人歷史歷代都不吃豬肉
