
[00:00:00.000 --> 00:00:06.880]  不少人都覺得信耶穌是不錯的
[00:00:06.880 --> 00:00:10.240]  甚至說死前他一定會相信
[00:00:10.240 --> 00:00:11.920]  但不是現在
[00:00:11.920 --> 00:00:13.400]  我不知道你傳福音時
[00:00:13.400 --> 00:00:15.440]  有沒有朋友這樣回答你
[00:00:15.440 --> 00:00:16.720]  「我一定信的」
[00:00:16.720 --> 00:00:18.040]  「信得不錯的」
[00:00:18.040 --> 00:00:21.080]  「但我不是現在相信」
[00:00:21.080 --> 00:00:23.320]  「死前我一定會信的」
[00:00:23.320 --> 00:00:24.640]  有沒有這個經驗?
[00:00:24.640 --> 00:00:25.560]  當你傳福音時
[00:00:25.560 --> 00:00:28.600]  有些人這樣跟你說
[00:00:28.600 --> 00:00:30.720]  究竟他們擔心甚麼呢?
[00:00:30.720 --> 00:00:33.160]  原來他們擔心信了耶穌之後
[00:00:33.160 --> 00:00:35.240]  就失去自由
[00:00:35.240 --> 00:00:36.480]  我想問問你們在座
[00:00:36.480 --> 00:00:38.760]  有多少人覺得信了耶穌之後
[00:00:38.760 --> 00:00:39.920]  是有自由的
[00:00:39.920 --> 00:00:41.400]  是比以前更加自由的?
[00:00:41.400 --> 00:00:43.360]  舉手
[00:00:43.360 --> 00:00:44.560]  都不少
[00:00:44.560 --> 00:00:46.440]  我不知道不舉手的人是在想
[00:00:46.440 --> 00:00:51.160]  還是原來是真的沒有自由
[00:00:51.160 --> 00:00:53.440]  為何他們會覺得沒有自由呢?
[00:00:53.440 --> 00:00:55.320]  原來他們覺得信了耶穌之後
[00:00:55.320 --> 00:00:57.600]  有很多規條 很多規矩
[00:00:57.600 --> 00:00:59.960]  又要上教會 又要讀聖經
[00:00:59.960 --> 00:01:02.080]  又要做好行為
[00:01:02.080 --> 00:01:04.680]  又不要經常掛在嘴邊吃喝玩樂
[00:01:04.680 --> 00:01:06.480]  因為這樣不屬靈
[00:01:06.480 --> 00:01:10.000]  究竟是否這麼多的規限裏
