
[00:00:00.000 --> 00:00:05.880]  在我們去言讀神的話語之前
[00:00:05.880 --> 00:00:10.480]  讓我們一同去低頭祈禱
[00:00:10.480 --> 00:00:13.000]  撐開天賦我們感謝祢
[00:00:13.000 --> 00:00:18.800]  因為祢賜給我們祢寶貴的說話
[00:00:18.800 --> 00:00:20.000]  我們信了主之後
[00:00:20.000 --> 00:00:22.960]  我們怎樣在世上行事為人
[00:00:22.960 --> 00:00:26.320]  祢都給我們有教導
[00:00:26.320 --> 00:00:28.840]  我們活在一個墮落的世代
[00:00:28.840 --> 00:00:32.520]  實在是不容易行事為人
[00:00:32.520 --> 00:00:34.600]  能夠見證祢的命
[00:00:34.600 --> 00:00:36.840]  主啊 但願以下的訊息
[00:00:36.840 --> 00:00:38.840]  都能夠幫助我們
[00:00:38.840 --> 00:00:40.840]  祢的話語教導我們
[00:00:40.840 --> 00:00:43.600]  怎樣來到榮神益人
[00:00:43.600 --> 00:00:46.400]  我們這樣祈禱奉主耶穌基督名求
[00:00:46.400 --> 00:00:47.240]  阿們
[00:00:58.840 --> 00:01:01.920]  只喝汽水不喝酒
[00:01:01.920 --> 00:01:05.800]  基督徒可否去酒吧
[00:01:05.800 --> 00:01:10.400]  假如我和一些未信主的親人一起去掃墓
[00:01:10.400 --> 00:01:14.200]  親人就將一些祭過偶像的燒肉
[00:01:14.200 --> 00:01:15.240]  帶回家
[00:01:15.240 --> 00:01:22.000]  當晚放在晚飯的飯桌上
[00:01:22.000 --> 00:01:26.760]  我們能否和他們一起吃這些燒肉呢
[00:01:26.760 --> 00:01:32.280]  這些問題都是不少基督徒會問的問題
[00:01:32.280 --> 00:01:35.640]  不知你會怎樣回答呢?
[00:01:35.640 --> 00:01:37.640]  可能今天的訊息
[00:01:37.640 --> 00:01:40.160]  可以給你一些原則
[00:01:40.160 --> 00:01:44.280]  去面對這些情況
[00:01:44.280 --> 00:01:50.560]  哥倫多教會一向崇尚知識和自由
[00:01:50.560 --> 00:01:52.480]  例如在第十一章
[00:01:52.480 --> 00:01:56.960]  我們提到女人蒙頭的問題
[00:01:56.960 --> 00:02:00.960]  正正是因為她們認為信了主之後
[00:02:00.960 --> 00:02:02.720]  可以有另類的自由
[00:02:02.720 --> 00:02:07.360]  她們不需要跟隨某些規矩
[00:02:07.360 --> 00:02:08.880]  基督徒有知識
[00:02:08.880 --> 00:02:11.160]  亦有另類的自由
[00:02:11.160 --> 00:02:15.600]  認為我有權做某些事
[00:02:15.600 --> 00:02:19.680]  但這個自由是有限制的
[00:02:19.680 --> 00:02:23.960]  特別在一些不是絕對真理的事情上
[00:02:23.960 --> 00:02:27.560]  保羅在哥倫多前書的八至十章
