
[00:00:00.000 --> 00:00:06.000]  弟兄姊妹,我們知道轉眼間很快2014就要過去了
[00:00:06.000 --> 00:00:10.000]  過去的2014,當你要去回首的時候
[00:00:10.000 --> 00:00:16.000]  我不知道你有什麼是繼續留戀,或者你覺得想抓住它
[00:00:16.000 --> 00:00:21.000]  迎接2015,怎樣是用什麼最好的方法去迎接2015呢?
[00:00:21.000 --> 00:00:23.000]  你的2015是會怎樣呢?
[00:00:23.000 --> 00:00:25.000]  誰會知道?
[00:00:25.000 --> 00:00:27.000]  我們相信是神會知道
[00:00:27.000 --> 00:00:32.000]  所以既然神知道的時候,最好的方法就是去到神的面前
[00:00:32.000 --> 00:00:37.000]  去尋問神,我2015是會怎樣
[00:00:37.000 --> 00:00:41.000]  但是弟兄姊妹,先不要這麼快,我覺得太快了
[00:00:41.000 --> 00:00:43.000]  有一件事,每個人都想做的
[00:00:43.000 --> 00:00:45.000]  每一年都想做,在年尾
[00:00:45.000 --> 00:00:47.000]  但是卻是沒有做到很多事
[00:00:47.000 --> 00:00:50.000]  為什麼呢?因為聖誕節來了,又要購物,又要交換禮物
[00:00:50.000 --> 00:00:53.000]  接著新年又來了,我們又要去倒數,又要去派對
[00:00:53.000 --> 00:00:59.000]  很多東西接踵而來,我們還有一件事很重要,卻是沒有做到
[00:00:59.000 --> 00:01:01.000]  是什麼事呢?
[00:01:01.000 --> 00:01:03.000]  我不知道你過去人生有做了多少次這件事
[00:01:03.000 --> 00:01:08.000]  我鼓勵弟兄姊妹,每一年的年底,你都應該去做這件事
[00:01:08.000 --> 00:01:10.000]  到底這件事是什麼事?
[00:01:10.000 --> 00:01:13.000]  很簡單,其實這件事只有兩個字
[00:01:13.000 --> 00:01:15.000]  回顧
[00:01:15.000 --> 00:01:21.000]  回顧一下你今年2014,到底有什麼大事發生了
[00:01:21.000 --> 00:01:23.000]  不要讓它匆匆的過去
[00:01:23.000 --> 00:01:29.000]  因為接下來你的2015,會有更多的事發生
[00:01:29.000 --> 00:01:32.000]  但是如果你不停一停去回顧,看一看的時候
[00:01:32.000 --> 00:01:36.000]  你就只不過是每一天匆匆忙忙,每一年這樣匆匆忙忙
[00:01:36.000 --> 00:01:39.000]  人生幾十年,這樣就過了
[00:01:39.000 --> 00:01:42.000]  莫非要在病床的時候才回望嗎?
[00:01:42.000 --> 00:01:47.000]  也許當時會覺得很後悔,或者很遲
[00:01:47.000 --> 00:01:50.000]  既然今天你有生命氣息,你有健康的時候
[00:01:50.000 --> 00:01:54.000]  為什麼我們不一起去回顧一下我們2014
[00:01:54.000 --> 00:01:59.000]  在你的生命當中,神裡面怎樣在你生命當中出現過
[00:01:59.000 --> 00:02:03.000]  不要錯過這件事,每個人都不同,你有你的故事,我有我的故事
[00:02:03.000 --> 00:02:05.000]  坐在你旁邊的人有他旁邊的人的故事
[00:02:05.000 --> 00:02:07.000]  這個世界也有世界的大事
[00:02:07.000 --> 00:02:14.000]  每年美國時代雜誌都會去回顧十大事件
[00:02:14.000 --> 00:02:17.000]  我今天不會跟你去回顧十大事件,因為這不是新聞報告
[00:02:17.000 --> 00:02:23.000]  但他們的回顧方法很特別,他們是用一些相片作品去做回顧
[00:02:23.000 --> 00:02:27.000]  現在很方便,你偶爾去那裡參觀又拍一拍照
[00:02:27.000 --> 00:02:30.000]  見到那個人又拍一拍照,自拍又拍一拍照
[00:02:30.000 --> 00:02:34.000]  經常都有照片,當你看回你每個月拍的照片的時候
[00:02:34.000 --> 00:02:36.000]  你會發覺其實你也有些大事
[00:02:36.000 --> 00:02:39.000]  我們看看這個Time Magazine和我們回顧哪幾件事
[00:02:39.000 --> 00:02:41.000]  那些相片你可能未必想得到
[00:02:41.000 --> 00:02:46.000]  第一個是回顧叫做麥田中的座位
[00:02:46.000 --> 00:02:48.000]  麥田中的座位是什麼事呢?
[00:02:48.000 --> 00:02:52.000]  有沒有機會你想到是什麼事呢?會不會有人想到呢?
[00:02:52.000 --> 00:02:54.000]  這個挺難的
[00:02:54.000 --> 00:02:57.000]  原來在3月的時候馬航怎樣呢?
[00:02:57.000 --> 00:02:59.000]  失蹤,離奇失蹤
[00:02:59.000 --> 00:03:01.000]  7月的時候怎樣呢?
[00:03:01.000 --> 00:03:03.000]  馬航墜落,離奇的墜落
[00:03:03.000 --> 00:03:06.000]  墜落在哪裡?有沒有人記得?
[00:03:06.000 --> 00:03:11.000]  Ukraine,烏克蘭
[00:03:11.000 --> 00:03:17.000]  烏克蘭那個Time Magazine的記者就在麥田那裡見到一些殘骸
[00:03:17.000 --> 00:03:21.000]  那個記者就說這是他最近的一個相片
[00:03:21.000 --> 00:03:24.000]  他走過去的時候就被其他人攔住了
[00:03:24.000 --> 00:03:27.000]  最近見到的殘骸就是這張相片
[00:03:27.000 --> 00:03:29.000]  在麥田中的座位
[00:03:29.000 --> 00:03:33.000]  如果你放下手指這樣撥一撥那一種
[00:03:33.000 --> 00:03:38.000]  你會見到裡面其實有一個人在當中
[00:03:38.000 --> 00:03:41.000]  這是第一張相片他跟我們回顧
[00:03:41.000 --> 00:03:43.000]  第二個相片可以看看嗎?
[00:03:43.000 --> 00:03:46.000]  這個他們的命題叫做兩伊聯誓
[00:03:46.000 --> 00:03:48.000]  兩伊是哪兩伊呢?
[00:03:48.000 --> 00:03:52.000]  通常我們說的就是伊拉克和伊朗
[00:03:52.000 --> 00:03:54.000]  但這次他說兩伊不是這兩伊
[00:03:54.000 --> 00:03:55.000]  哪兩伊呢?
[00:03:55.000 --> 00:03:57.000]  第一伊就是伊波拉
[00:03:57.000 --> 00:03:59.000]  左邊就是伊波拉
[00:03:59.000 --> 00:04:01.000]  那個小孩就是患上了伊波拉
