
[00:00:00.000 --> 00:00:01.540]  第一姐妹朋友早晨
[00:00:01.540 --> 00:00:06.140]  新的一年很快就到了
[00:00:06.140 --> 00:00:08.140]  新的一年給人有新的希望
[00:00:08.140 --> 00:00:10.140]  新的盼望
[00:00:10.140 --> 00:00:12.840]  我不知道你上星期聽到穆斯科講到的時候
[00:00:12.840 --> 00:00:14.840]  聽完之後有沒有新的盼望呢
[00:00:14.840 --> 00:00:17.840]  或者甚至記不記得上星期穆斯科講過什麼
[00:00:17.840 --> 00:00:19.840]  我就用一分鐘的時間
[00:00:19.840 --> 00:00:21.840]  嘗試去重溫一下
[00:00:21.840 --> 00:00:24.840]  上星期講的那段經文是講什麼
[00:00:26.840 --> 00:00:32.140]  他說當我們遭遇各樣困難
[00:00:32.140 --> 00:00:34.140]  患難的時候
[00:00:34.140 --> 00:00:39.140]  我們心裏面要有大喜樂
[00:00:39.140 --> 00:00:42.140]  或者是Pure Joy
[00:00:42.140 --> 00:00:44.140]  只得喜樂
[00:00:44.140 --> 00:00:45.140]  沒有其他的習慣
[00:00:45.140 --> 00:00:47.140]  大的喜樂
[00:00:47.140 --> 00:00:48.140]  為什麼是這樣呢
[00:00:48.140 --> 00:00:49.140]  為什麼在犯難裏面
[00:00:49.140 --> 00:00:51.140]  我們可以心裏面有大喜樂呢
[00:00:51.140 --> 00:00:54.140]  他說因為我們知道
[00:00:54.140 --> 00:00:56.140]  我們有信心
[00:00:57.140 --> 00:00:59.140]  信心經過考驗
[00:00:59.140 --> 00:01:02.140]  慢慢就會生出忍耐
[00:01:02.140 --> 00:01:04.140]  他之前說是各樣的
[00:01:04.140 --> 00:01:06.140]  患難
[00:01:06.140 --> 00:01:08.140]  各樣的試煉
[00:01:08.140 --> 00:01:10.140]  當我們不斷在各樣的
[00:01:10.140 --> 00:01:12.140]  患難試煉裏面的時候
[00:01:12.140 --> 00:01:14.140]  我們的信心經過不斷的考驗
[00:01:14.140 --> 00:01:17.140]  就慢慢產生出
[00:01:17.140 --> 00:01:19.140]  有忍耐
[00:01:19.140 --> 00:01:21.140]  當這個忍耐發揮了完全的
[00:01:21.140 --> 00:01:23.140]  功用的時候
[00:01:23.140 --> 00:01:25.140]  我們就可以變得又完全
[00:01:25.140 --> 00:01:27.140]  又完整
[00:01:27.140 --> 00:01:29.140]  又完整的意思就是
[00:01:29.140 --> 00:01:31.140]  很成熟
[00:01:31.140 --> 00:01:33.140]  越來越成熟
[00:01:33.140 --> 00:01:35.140]  越來越完整
[00:01:35.140 --> 00:01:37.140]  最後一句
[00:01:37.140 --> 00:01:39.140]  一無所缺
[00:01:39.140 --> 00:01:41.140]  我不知道大家
[00:01:41.140 --> 00:01:43.140]  聽完之後
[00:01:43.140 --> 00:01:45.140]  有多少人可以在
[00:01:45.140 --> 00:01:47.140]  那樣的患難
[00:01:47.140 --> 00:01:49.140]  困苦裏面
[00:01:49.140 --> 00:01:51.140]  有大喜樂
[00:01:51.140 --> 00:01:53.140]  我相信你問一個問題
[00:01:53.140 --> 00:01:55.140]  就沒有人會舉手
[00:01:55.140 --> 00:01:57.140]  所以這不是我今天問的問題
[00:01:57.140 --> 00:01:59.140]  我預料
