
[00:00:00.000 --> 00:00:10.000]  切索羅尼加教會是馬其頓的首都
[00:00:10.000 --> 00:00:14.000]  是一個富庶有影響力的其中一個城市
[00:00:14.000 --> 00:00:18.000]  在保羅探訪這個城的時候
[00:00:18.000 --> 00:00:24.000]  他的教訓能夠吸引到一班上層社會人士
[00:00:24.000 --> 00:00:27.000]  在這裡第一次提到這方面
[00:00:27.000 --> 00:00:34.000]  在《士徒行傳》第一段經文第17章第4節都有提到
[00:00:34.000 --> 00:00:39.000]  保羅所建立的教會增長迅速
[00:00:39.000 --> 00:00:43.000]  但在公元50至51年的時候
[00:00:43.000 --> 00:00:46.000]  他被一班暴徒逼走
[00:00:46.000 --> 00:00:51.000]  就在《士徒行傳》第17章有提到
[00:00:51.000 --> 00:00:56.000]  後來保羅就派提摩太到切索羅尼加
[00:00:56.000 --> 00:01:00.000]  看看教會信徒的情況是怎樣
[00:01:00.000 --> 00:01:06.000]  沒多久他也在那裡寫了兩封信
[00:01:06.000 --> 00:01:09.000]  給切索羅尼加的弟兄姊妹
[00:01:09.000 --> 00:01:13.000]  就是切索羅尼加前書和後書
[00:01:13.000 --> 00:01:17.000]  勸他們要忠心
[00:01:17.000 --> 00:01:21.000]  不要聽一些假師父的話
[00:01:21.000 --> 00:01:30.000]  會堂是供應給猶太人聚集一起去教導祈禱的地方
[00:01:30.000 --> 00:01:37.000]  只要有十個男士是猶太人的男士
[00:01:37.000 --> 00:01:41.000]  就可以去成立一間會堂
[00:01:41.000 --> 00:01:43.000]  保羅是關上
[00:01:43.000 --> 00:01:46.000]  如果他們同意的時候
[00:01:46.000 --> 00:01:49.000]  他就會在會堂裡面去講道
[00:01:49.000 --> 00:01:55.000]  經常有很多非猶太人參與這些聚會
[00:01:55.000 --> 00:01:59.000]  他們想去聽保羅去講道
[00:01:59.000 --> 00:02:04.000]  猶太領袖沒有駁斥保羅或西拉他們所教導
[00:02:04.000 --> 00:02:12.000]  但是內心因為他們被群眾擁戴而生一個嫉妒
[00:02:12.000 --> 00:02:21.000]  因為這份妒忌的心令群眾感到騷亂
[00:02:21.000 --> 00:02:27.000]  耶穌為了接待保羅和西拉去保護他們
[00:02:27.000 --> 00:02:30.000]  所以就要承擔責任
[00:02:30.000 --> 00:02:36.000]  他可以說是一個勇敢的兒女
[00:02:36.000 --> 00:02:40.000]  他願意去承擔
[00:02:40.000 --> 00:02:45.000]  保羅和西拉可以更加有效去服侍神
[00:02:45.000 --> 00:02:48.000]  就是因為暴徒的迫害
[00:02:48.000 --> 00:02:55.000]  保羅和西拉都要離開貼撒羅尼加去到比利亞
[00:02:55.000 --> 00:02:59.000]  保羅為了貼撒羅尼加信徒去感謝神
[00:02:59.000 --> 00:03:02.000]  好像菲勒比教會一樣
[00:03:02.000 --> 00:03:10.000]  貼撒羅尼加信徒似乎一直都是讓保羅去感恩感到喜樂
[00:03:10.000 --> 00:03:17.000]  保羅為了他們所表現的信心盼望和愛心去感謝神
[00:03:17.000 --> 00:03:21.000]  第一方面因為主愛的激勵
[00:03:21.000 --> 00:03:27.000]  讓貼撒羅尼加的弟兄姊妹他們很努力來傳揚福音
[00:03:27.000 --> 00:03:32.000]  因著愛上帝拯救世界上每一位
[00:03:32.000 --> 00:03:37.000]  他甘願讓耶穌基督他的獨生兒子
