
[00:00:00.000 --> 00:00:01.400]  英姿妹主內平安
[00:00:01.400 --> 00:00:05.280]  好我們先做一個禱告
[00:00:05.280 --> 00:00:09.600]  天父我們謝謝你今天帶領我們來到你的面前
[00:00:09.600 --> 00:00:11.720]  求你的聖靈來做功
[00:00:11.720 --> 00:00:15.840]  讓講的和聽的都被你的話語所改變
[00:00:15.840 --> 00:00:18.240]  謝謝你把以下的時間交托
[00:00:18.240 --> 00:00:20.560]  禱告奉耶穌基督的聖名
[00:00:20.560 --> 00:00:26.400]  好我還是會繼續在講撒默爾濟上
[00:00:26.400 --> 00:00:30.200]  好我之前的兩個獎章都是撒默爾濟上
[00:00:30.200 --> 00:00:33.880]  好那我今天呢就從18章跳到了23章
[00:00:33.880 --> 00:00:36.440]  但是我中間的有一些經文
[00:00:36.440 --> 00:00:39.440]  還是會用到18章19章的一些經文
[00:00:39.440 --> 00:00:40.920]  就是有一個脈絡
[00:00:40.920 --> 00:00:43.160]  好我今天ppt比較多
[00:00:43.160 --> 00:00:46.040]  好所以大家就可以有點耐心
[00:00:46.040 --> 00:00:49.080]  好我今天的題目叫
[00:00:49.080 --> 00:00:51.360]  都是苦讀惹的禍
[00:00:51.360 --> 00:00:53.880]  好你們就知道我要講什麼
[00:00:53.880 --> 00:00:55.720]  好我一定要講苦讀的
[00:00:57.400 --> 00:01:01.080]  生經裡有一有一節經文
[00:01:01.080 --> 00:01:04.160]  對苦讀呢是一個非常形象的描述
[00:01:04.160 --> 00:01:08.480]  你看他說我發現有一種婦人比死還苦讀
[00:01:08.480 --> 00:01:10.360]  他本身是陷阱
[00:01:10.360 --> 00:01:13.560]  他的心是網羅手是鎖鏈
[00:01:13.560 --> 00:01:18.240]  好他就把苦讀呢形容成一個好像有生命力的一個婦人
[00:01:18.240 --> 00:01:22.640]  而且說這個苦讀比死還可怕
[00:01:22.880 --> 00:01:27.840]  好所以他說蒙神凡蒙神喜愛的人必能躲過他
[00:01:27.840 --> 00:01:30.760]  有罪的人卻被他纏住了
[00:01:30.760 --> 00:01:34.480]  好苦讀呢他就像好像很有力量的一個網羅
[00:01:34.480 --> 00:01:36.160]  能把人纏在裡面
[00:01:36.160 --> 00:01:40.560]  那苦讀是什麼意思呢我們就看一下
[00:01:40.560 --> 00:01:43.880]  苦讀的原文的意思呢就是苦味的
[00:01:43.880 --> 00:01:45.360]  有毒的
[00:01:45.360 --> 00:01:47.600]  尖刻的苦辣的
[00:01:47.920 --> 00:01:52.920]  好就是他他都是那種特別刺激的特別負面的一些感受
[00:01:52.920 --> 00:01:54.360]  一些感覺
[00:01:54.360 --> 00:01:58.560]  那中文一本呢也常常把苦讀翻譯成刻薄
[00:01:58.560 --> 00:02:00.960]  惡毒苛刻怨恨
[00:02:00.960 --> 00:02:04.200]  好就是你會發現這種情緒是特別
[00:02:04.200 --> 00:02:05.200]  激烈
