
[00:00:00.000 --> 00:00:05.300]  踏入三月份就是全英堂一年一度的猜拳月
[00:00:05.300 --> 00:00:09.000]  今天第一周我們會有猜拳面會
[00:00:09.000 --> 00:00:14.980]  我今天講到的訊息就叫做「雅氣中的寶貝」
[00:00:14.980 --> 00:00:16.820]  我想先考考大家
[00:00:16.820 --> 00:00:20.180]  看你認不認識這個是什麼
[00:00:20.180 --> 00:00:23.240]  有沒有人知道「撲滿」是什麼?
[00:00:23.240 --> 00:00:26.760]  如果你知道的 你可以舉手
[00:00:26.760 --> 00:00:29.800]  或者你開咪講出來「我知道」這樣
[00:00:29.800 --> 00:00:32.580]  有沒有人聽過這個「撲滿」是什麼?
[00:00:32.580 --> 00:00:35.980]  我想大家和我一樣
[00:00:35.980 --> 00:00:38.800]  見到這個詞的時候都是一頭
[00:00:38.800 --> 00:00:40.960]  滿頭都是問號在那裏
[00:00:40.960 --> 00:00:45.020]  原來當你看到這幅圖畫的時候
[00:00:45.020 --> 00:00:47.520]  你就知道「噢!是什麼來的?」
[00:00:47.520 --> 00:00:49.300]  「這個是什麼來的?」
[00:00:49.300 --> 00:00:52.320]  大家小時候不知道曾經有沒有擁有過
[00:00:52.320 --> 00:00:54.980]  一隻這樣的豬仔錢罌
[00:00:54.980 --> 00:00:58.320]  原來在中國在晉朝的時候
[00:00:58.320 --> 00:01:00.240]  就已經有記載
[00:01:00.240 --> 00:01:03.620]  那時候的豬仔錢罌就叫做「撲滿」
[00:01:03.620 --> 00:01:06.880]  那些「撲滿」 我不知道這個是不是晉朝
[00:01:06.880 --> 00:01:11.580]  可能不是 不過是舊式一點的豬仔錢罌
[00:01:11.580 --> 00:01:15.580]  晉朝時候那個「撲滿」就是用泥造成的
[00:01:15.580 --> 00:01:17.840]  用來儲錢的那些容器
[00:01:17.840 --> 00:01:22.120]  這個「撲滿」有洞進就不能出的
[00:01:22.120 --> 00:01:25.240]  你進到那個「撲滿」入滿錢
[00:01:25.240 --> 00:01:27.000]  你就要打爛那個「撲滿」
[00:01:27.000 --> 00:01:29.720]  你才可以拿到那些錢出來的
[00:01:29.720 --> 00:01:31.340]  當你去儲錢
[00:01:31.340 --> 00:01:32.760]  如果去到一個地步
[00:01:32.760 --> 00:01:35.240]  我真的很需要那些錢用的時候
[00:01:35.240 --> 00:01:36.640]  我相信你很自然
[00:01:36.640 --> 00:01:40.240]  你就打爛這個「撲滿」 這個錢罌
[00:01:40.240 --> 00:01:42.680]  否則的話 你裏面一直儲起的那些錢
[00:01:42.680 --> 00:01:44.160]  根本就沒有價值
[00:01:44.160 --> 00:01:47.080]  對你都完全起不了作用
[00:01:47.080 --> 00:01:50.240]  我們今天都講到一個「雅氣」
[00:01:50.240 --> 00:01:53.220]  在講這個「雅氣」之先
[00:01:53.220 --> 00:01:59.080]  我們先來看一點關於這本書的背景資料
[00:01:59.080 --> 00:02:01.620]  就是這個《哥林多後書》
[00:02:01.620 --> 00:02:05.360]  有人就講到保羅的那些作品
[00:02:05.360 --> 00:02:09.160]  他們說「菲勒比書」和「哥林多後書」
[00:02:09.160 --> 00:02:13.720]  是保羅眾多的作品裏面最富感情的
[00:02:13.720 --> 00:02:15.900]  「前者」即是「菲勒比書」
[00:02:15.900 --> 00:02:18.400]  就代表了保羅的笑
