
[00:00:00.000 --> 00:00:05.500]  讀兩節的聖經 在尼西米記第四章十四到第十五節
[00:00:05.500 --> 00:00:10.300]  這一說我查看了就起來的貴族官長和其餘的人說
[00:00:10.300 --> 00:00:13.500]  不要怕他們 當紀念祖是大而可畏的
[00:00:13.500 --> 00:00:17.500]  你們要為弟兄 兒女 妻子 家產征戰
[00:00:17.500 --> 00:00:20.000]  從敵聽見我們知道他們的心意
[00:00:20.000 --> 00:00:23.300]  見神也破壞他們的計謀就不來了
[00:00:23.300 --> 00:00:26.800]  我們都回到城牆那裡各做各的功
[00:00:26.800 --> 00:00:28.000]  我們就讀到這裡
[00:00:29.000 --> 00:00:33.500]  上個禮拜在台灣長老教會的槍擊事件
[00:00:33.500 --> 00:00:37.000]  的確震驚了在北美的華人教會
[00:00:37.000 --> 00:00:41.500]  因為以前聽見這些事情覺得還是蠻遙遠的
[00:00:41.500 --> 00:00:46.500]  但這一次竟然是在南加的華人教會裡面
[00:00:46.500 --> 00:00:50.000]  感覺好像就是在家門口一樣
[00:00:50.000 --> 00:00:55.000]  這件事情的確帶給很多信徒心中的一些恐懼
[00:00:56.000 --> 00:01:01.000]  很多人問我說我們教會對這些事情是否有應變的一些措施
[00:01:01.000 --> 00:01:08.000]  其實我們教會早在幾年前已經開始做很多防範的一些措施
[00:01:08.000 --> 00:01:09.700]  事實上如果你走進教會
[00:01:09.700 --> 00:01:17.000]  你就會發現我們一直在安排了安全的警衛在各個角落來站崗
[00:01:17.000 --> 00:01:19.000]  那其中也有帶槍的
[00:01:19.000 --> 00:01:23.000]  就是為了防範這類似的事件發生
[00:01:23.000 --> 00:01:26.000]  好讓大家能夠安心的聚會
[00:01:26.000 --> 00:01:31.000]  但無論如何這次槍擊事件也再次讓我們感覺到
[00:01:31.000 --> 00:01:34.000]  屬靈征戰的一種真實性
[00:01:34.000 --> 00:01:42.000]  再加上這兩年來疫情帶給很多弟兄姐妹在心靈上的壓力跟挫折
[00:01:42.000 --> 00:01:48.000]  我看見也帶給很多的家庭人際關係上的衝突與創傷
[00:01:48.000 --> 00:01:56.000]  我們看見在教會裡面弟兄姐妹無論在身心靈上都願意到極大仇敵的攻擊
[00:01:56.000 --> 00:01:58.000]  特別在最近這一段日子
[00:01:58.000 --> 00:02:03.000]  我們也看見接二連三有人家人過世了
[00:02:03.000 --> 00:02:10.000]  有些青少年甚至成人都是在憂鬱症的捆綁的裡面
[00:02:10.000 --> 00:02:13.000]  也有人現在正在醫院當中
[00:02:13.000 --> 00:02:21.000]  最近一段時間我就忽然感覺到仇敵好像從四面八方要來攻擊我們
[00:02:21.000 --> 00:02:24.000]  叫我們不知道如何來回應
[00:02:24.000 --> 00:02:27.000]  我就想到在尼西米記裡面
[00:02:27.000 --> 00:02:32.000]  當時以色列人也是面對同樣的處境
[00:02:32.000 --> 00:02:35.000]  當時聖殿雖然已經建好了
[00:02:35.000 --> 00:02:39.000]  而且話語的供應也恢復起來了
[00:02:39.000 --> 00:02:44.000]  但耶路撒冷的城牆卻沒有被建造起來
[00:02:44.000 --> 00:02:50.000]  所以至於仇敵從四面八方隨時任意的來攻擊他們
[00:02:50.000 --> 00:02:54.000]  所以尼西米就回到了耶路撒冷
[00:02:54.000 --> 00:02:58.000]  他就召集了當時以色列的百姓
[00:02:58.000 --> 00:03:06.000]  提醒他們在面對仇敵攻擊的時候要興起衛族戰力
[00:03:06.000 --> 00:03:11.000]  你們那怎麼樣能夠興起衛族戰力呢
[00:03:11.000 --> 00:03:15.000]  尼西米提醒我們三件事情很重要
[00:03:15.000 --> 00:03:17.000]  在尼西米四章十四節裡面
[00:03:17.000 --> 00:03:20.000]  第一件事他提到說不要害怕
[00:03:20.000 --> 00:03:23.000]  跟你們說不要害怕
[00:03:23.000 --> 00:03:26.000]  為什麼你說我們今天可以不用害怕呢
[00:03:26.000 --> 00:03:31.000]  因為第一個你要明白你是屬神的兒女
[00:03:31.000 --> 00:03:36.000]  你們今天無論我們的環境如何改變
[00:03:36.000 --> 00:03:40.000]  無論仇敵多麼厲害的攻擊我們
[00:03:40.000 --> 00:03:43.000]  你要明白只要你是神的兒女
[00:03:43.000 --> 00:03:47.000]  神對你的愛永不改變
[00:03:47.000 --> 00:03:49.000]  約翰福音十三章第一節講得很清楚
[00:03:49.000 --> 00:03:51.000]  就是越節以前
[00:03:51.000 --> 00:03:54.000]  耶穌知道自己離世歸父的時候到了
[00:03:54.000 --> 00:03:56.000]  他竟然愛世間屬自己人
[00:03:56.000 --> 00:04:01.000]  就是怎麼樣愛他們到底
[00:04:01.000 --> 00:04:04.000]  什麼叫愛他們到底
[00:04:04.000 --> 00:04:07.000]  那就是無論任何的環境
[00:04:07.000 --> 00:04:10.000]  無論你覺得你配得與否
[00:04:10.000 --> 00:04:13.000]  無論你愛主與否
[00:04:13.000 --> 00:04:17.000]  甚至今天你在灰心疲倦軟弱的光景當中
[00:04:17.000 --> 00:04:21.000]  我告訴你主仍然愛你
[00:04:21.000 --> 00:04:24.000]  主永遠不會離開你
[00:04:24.000 --> 00:04:27.000]  主是愛你 背逆遠離神
[00:04:27.000 --> 00:04:30.000]  約翰福音十章二十八節裡面講得很清楚
[00:04:30.000 --> 00:04:33.000]  主說我又賜給他們永生
[00:04:33.000 --> 00:04:35.000]  他們永不滅亡
[00:04:35.000 --> 00:04:39.000]  誰也不能從他們把我的仇敵奪去
[00:04:39.000 --> 00:04:44.000]  我們看見我們的神是愛我們直到永遠的神
[00:04:44.000 --> 00:04:47.000]  第二節多少時候我們看見我們在患難當中
[00:04:47.000 --> 00:04:51.000]  心中常常容易恐懼害怕
