
[00:00:00.000 --> 00:00:02.980]  很開心,我今年選了個題目,
[00:00:02.980 --> 00:00:07.620]  我每次選的題目都是與香港的情況相關,
[00:00:07.620 --> 00:00:10.240]  我不是講一些離地的東西,
[00:00:10.240 --> 00:00:14.160]  我今次選了個題目是生命更新,
[00:00:14.160 --> 00:00:19.040]  生命更新是甚麼,人的生命是不斷要更新,
[00:00:19.040 --> 00:00:26.540]  我真是醫生,我紅血球120日全部換了,
[00:00:26.540 --> 00:00:30.000]  它的壽命只有121日,
[00:00:30.000 --> 00:00:33.280]  所以它不變功能不會發揮,
[00:00:33.280 --> 00:00:37.000]  但即使我們是老細胞它不會變,
[00:00:37.000 --> 00:00:40.880]  死一粒就一粒,但天天更新,
[00:00:40.880 --> 00:00:46.840]  倘若它缺乏氧氣缺乏糖分缺乏礦物,
[00:00:46.840 --> 00:00:49.960]  缺乏那些它幾分鐘就死,
[00:00:49.960 --> 00:00:54.160]  所以你知你的身體每日都不斷更新,
[00:00:54.160 --> 00:00:59.640]  這就是身體,但我們發覺人不僅是身體更新,
[00:00:59.640 --> 00:01:05.480]  你情緒要更新,香港人的情緒是全世界最差,
[00:01:05.480 --> 00:01:12.080]  有紀錄的,精神健康是全球最差,
[00:01:12.080 --> 00:01:15.280]  所以我知道陳茂波明天的財政報告
[00:01:15.280 --> 00:01:18.280]  會撥很多是搞精神健康,
[00:01:18.280 --> 00:01:22.840]  黃仁龍司長會有個精神健康諮詢委員會
[00:01:22.840 --> 00:01:25.080]  處理香港的精神健康問題,
[00:01:25.080 --> 00:01:30.320]  我做千禧公衆我當然知中學生57%有抑鬱症狀,
[00:01:30.320 --> 00:01:34.440]  所以過去兩年很多自殺,
[00:01:34.440 --> 00:01:38.920]  所以你變了心理上情緒更新,
[00:01:38.920 --> 00:01:45.520]  但不單止這樣,人是有靈的萬物之靈,
[00:01:45.520 --> 00:01:47.840]  這如現在全世界都講,
[00:01:47.840 --> 00:01:52.000]  爲何人無了靈魂,教育無了靈魂,
[00:01:52.000 --> 00:01:54.520]  只教你技巧教你如何賺錢,
[00:01:54.520 --> 00:01:56.040]  excellence without a soul,
[00:01:56.040 --> 00:01:59.760]  於是教育制度要更新,
[00:01:59.760 --> 00:02:01.920]  爲何excellence without a soul,
[00:02:01.920 --> 00:02:05.400]  無靈魂無生命,全部都要更新,
[00:02:05.400 --> 00:02:07.640]  當然聖經不斷講這些,
[00:02:07.640 --> 00:02:11.320]  約翰在基督的約筆成爲新造的人,
[00:02:11.320 --> 00:02:13.560]  舊事已過變成新的了,
[00:02:13.560 --> 00:02:16.440]  更新要知道如何更新纔行,
[00:02:16.440 --> 00:02:18.480]  而且不是一次過,
[00:02:18.480 --> 00:02:22.440]  爲何以爲信耶穌我缺了字,我信了就算了,
[00:02:22.440 --> 00:02:27.240]  你信了你缺了字不不斷更新是無意思,
[00:02:27.240 --> 00:02:29.960]  始終要見主面,
[00:02:29.960 --> 00:02:34.160]  你不天天更新時如何面對我們的神,
[00:02:34.160 --> 00:02:37.360]  全世界都知人死不是燈滅,
[00:02:37.360 --> 00:02:41.160]  已經醫學證明,人死後有感覺,
[00:02:41.160 --> 00:02:45.680]  看到,知道有另一個世界,
[00:02:45.680 --> 00:02:50.920]  life after life,有科學研究,
[00:02:50.920 --> 00:02:54.520]  你停了心臟它會靈魂飄出來,
[00:02:54.520 --> 00:02:58.120]  看到發生甚麼事,所以是講更新,
