
[00:00:00.000 --> 00:00:02.000]  求您再次求祢幫助我們
[00:00:02.000 --> 00:00:04.000]  我們真的要呼求祢
[00:00:04.000 --> 00:00:08.000]  神啊,求祢為我們做清潔的心
[00:00:08.000 --> 00:00:10.000]  讓我們有正直的靈
[00:00:10.000 --> 00:00:13.000]  求主親自的願臨我們在祢的面前
[00:00:13.000 --> 00:00:15.000]  向祢的呼求
[00:00:15.000 --> 00:00:17.000]  也都按祢的心意
[00:00:17.000 --> 00:00:20.000]  我們很深信一定是祢的心意
[00:00:20.000 --> 00:00:24.000]  祢願意我們一生能夠有清潔的心
[00:00:24.000 --> 00:00:26.000]  有正直的靈
[00:00:26.000 --> 00:00:29.000]  求祢親自的願臨我們向祢的禱告
[00:00:29.000 --> 00:00:31.000]  向祢的讚美
[00:00:31.000 --> 00:00:33.000]  向祢的敬拜
[00:00:33.000 --> 00:00:36.000]  我們真的不止得心的理由去讚美祢
[00:00:36.000 --> 00:00:38.000]  其實我們有千萬的理由
[00:00:38.000 --> 00:00:40.000]  可以去歌頌祢
[00:00:40.000 --> 00:00:42.000]  感謝天父求祢聽我們的祈禱
[00:00:42.000 --> 00:00:44.000]  奉主名求
[00:00:44.000 --> 00:00:46.000]  Amen,你們清楚嗎?
[00:00:46.000 --> 00:00:49.000]  我們強調我們是銅鑼灣堂的同工
[00:00:49.000 --> 00:00:52.000]  我們仍然每一次都是按著馬賀福音
[00:00:52.000 --> 00:00:55.000]  和大家來到去一段一段
[00:00:55.000 --> 00:00:57.000]  我們希望在2016年
[00:00:57.000 --> 00:00:59.000]  我們全年這邊
[00:00:59.000 --> 00:01:02.000]  我們能夠看完整卷的馬賀福音
[00:01:02.000 --> 00:01:05.000]  而今天我們會去到馬賀福音第六章
[00:01:05.000 --> 00:01:08.000]  由十四節到二十九節
[00:01:08.000 --> 00:01:10.000]  上一次我講道的時候
[00:01:10.000 --> 00:01:11.000]  我和大家提到
[00:01:11.000 --> 00:01:13.000]  馬賀福音第六章
[00:01:13.000 --> 00:01:16.000]  由第七節到第三十節
[00:01:16.000 --> 00:01:20.000]  其實可以說是一個整體的段落
[00:01:20.000 --> 00:01:23.000]  所以是一個很長的篇幅
[00:01:23.000 --> 00:01:24.000]  是一個段落
[00:01:24.000 --> 00:01:26.000]  而這個段落在近代的學者
[00:01:26.000 --> 00:01:28.000]  是現代的聖經學者
[00:01:28.000 --> 00:01:30.000]  他們說這個段落裏邊
[00:01:30.000 --> 00:01:32.000]  他們的架構
[00:01:32.000 --> 00:01:35.000]  稱之為所謂三文治的架構
[00:01:35.000 --> 00:01:37.000]  我們一定吃過三文治
[00:01:37.000 --> 00:01:40.000]  三文治一定是有兩片的麵包
[00:01:40.000 --> 00:01:43.000]  中間夾著一個餡
[00:01:43.000 --> 00:01:45.000]  當然這個餡可以是雞蛋
[00:01:45.000 --> 00:01:47.000]  可以是火腿
[00:01:47.000 --> 00:01:48.000]  可以什麼都可以
[00:01:48.000 --> 00:01:51.000]  你喜歡夾什麼都可以放在中間
[00:01:51.000 --> 00:01:53.000]  上一次我講道提到
[00:01:53.000 --> 00:01:57.000]  耶穌基督差一派十二個門徒出去
[00:01:57.000 --> 00:01:59.000]  傳道、趕鬼、醫病
[00:01:59.000 --> 00:02:02.000]  是由第七節到十三節
[00:02:02.000 --> 00:02:03.000]  而去到第三十節
[00:02:03.000 --> 00:02:06.000]  最後一節就是看這班門徒
[00:02:06.000 --> 00:02:09.000]  回到耶穌的身邊
[00:02:09.000 --> 00:02:12.000]  回報他們的行程裏邊
[00:02:12.000 --> 00:02:16.000]  所作過的任何可開心的事
[00:02:16.000 --> 00:02:20.000]  所以我們看到這個大段落裏邊的兩片麵包
[00:02:20.000 --> 00:02:24.000]  這兩片麵包就提到耶穌差一派十二個門徒出去
[00:02:24.000 --> 00:02:26.000]  然後去到另一片麵包
[00:02:26.000 --> 00:02:29.000]  就是這班門徒回到耶穌的身邊
[00:02:29.000 --> 00:02:33.000]  來數算上帝的恩典
[00:02:33.000 --> 00:02:35.000]  他們歸榮要給回耶穌
[00:02:35.000 --> 00:02:39.000]  他們知道所有的權柄都是來自耶穌
[00:02:39.000 --> 00:02:43.000]  而今日和大家分享這個餡
[00:02:43.000 --> 00:02:48.000]  在兩片麵包中間究竟夾了什麼內容呢
[00:02:48.000 --> 00:02:52.000]  如果從第十四節一直到第二十九節
[00:02:52.000 --> 00:02:55.000]  我們看到整個內容的重點
[00:02:55.000 --> 00:02:59.000]  是講述了施洗約翰的死
[00:02:59.000 --> 00:03:01.000]  究竟他怎樣死
[00:03:01.000 --> 00:03:03.000]  為何他會死
[00:03:03.000 --> 00:03:09.000]  很明顯前面後面講述耶穌基督差一派門徒出去
[00:03:09.000 --> 00:03:16.000]  但中間忽然記載了施洗約翰不單止坐牢
[00:03:16.000 --> 00:03:17.000]  究竟為何他會坐牢
[00:03:17.000 --> 00:03:20.000]  甚至到最後為何他會死
[00:03:20.000 --> 00:03:25.000]  究竟是誰主使他的死刑呢
[00:03:25.000 --> 00:03:27.000]  所以這就是中間的餡
[00:03:27.000 --> 00:03:31.000]  當然如果我們看回馬克福音第一章第十四節
[00:03:31.000 --> 00:03:32.000]  一開始的時候我已經講過
[00:03:32.000 --> 00:03:37.000]  當時作者很簡單就介紹了耶穌出來開始侍奉
[00:03:37.000 --> 00:03:39.000]  而當中一章十四節
[00:03:39.000 --> 00:03:44.000]  作者就說施洗約翰去到監獄當中
[00:03:44.000 --> 00:03:47.000]  然後耶穌開始出來侍奉
[00:03:47.000 --> 00:03:50.000]  換言之當施洗約翰坐牢之後
[00:03:50.000 --> 00:03:55.000]  耶穌就開始那三年的侍奉的起點
[00:03:55.000 --> 00:03:58.000]  但當時第一章並沒有解釋到
[00:03:58.000 --> 00:04:00.000]  為何施洗約翰會坐牢
