
[00:00:00.000 --> 00:00:03.280]  很高興能夠一同的牧土
[00:00:03.280 --> 00:00:06.920]  將我們心所想的和最重要的
[00:00:06.920 --> 00:00:12.880]  向我們真正的神一同去陳命
[00:00:12.880 --> 00:00:15.680]  我們先讀一段經文
[00:00:15.680 --> 00:00:19.800]  就是在約書記一章一至九節
[00:00:19.800 --> 00:00:24.520]  耶和華的僕人摩西死了以後
[00:00:24.520 --> 00:00:29.320]  耶和華遇到摩西幫手亂的兒子約書亞說
[00:00:30.120 --> 00:00:31.880]  我的僕人摩西死了
[00:00:31.880 --> 00:00:33.160]  現在你要起來
[00:00:33.160 --> 00:00:36.480]  和眾百聲歌者約丹河
[00:00:36.480 --> 00:00:41.080]  和我所要賜給以色列人的地去
[00:00:41.080 --> 00:00:41.600]  第三節
[00:00:41.600 --> 00:00:45.000]  凡你們腳掌所踏之地
[00:00:45.000 --> 00:00:49.400]  我都照著我所應許摩西的話賜給你們
[00:00:49.400 --> 00:00:50.280]  第五節
[00:00:50.280 --> 00:00:53.240]  你平生的日子
[00:00:53.240 --> 00:00:57.200]  必無一人能在你的面前站立得住
[00:00:57.200 --> 00:00:59.360]  我怎樣與摩西同在
[00:00:59.360 --> 00:01:01.280]  也必照樣與你同在
[00:01:01.280 --> 00:01:03.240]  我必不撇下你
[00:01:03.240 --> 00:01:05.440]  也不丟棄你
[00:01:05.440 --> 00:01:07.600]  你當剛強壯膽
[00:01:07.600 --> 00:01:10.680]  因為你必使這百姓承受那地圍毅
[00:01:10.680 --> 00:01:13.560]  就是我向他們列祖起誓
[00:01:13.560 --> 00:01:15.360]  應許賜給他們的地
[00:01:15.360 --> 00:01:19.440]  只要剛強大大的壯膽
[00:01:19.440 --> 00:01:22.520]  謹守遵守我僕人摩西
[00:01:22.520 --> 00:01:24.280]  所吩咐你的一切的律法
[00:01:24.280 --> 00:01:26.120]  不可偏離左右
[00:01:26.120 --> 00:01:28.560]  使你無論往哪裏去
[00:01:29.040 --> 00:01:30.200]  都可以順利
[00:01:30.200 --> 00:01:33.280]  這律法書不可離開你的口
[00:01:33.280 --> 00:01:35.640]  總要就夜思想
[00:01:35.640 --> 00:01:39.560]  好使你謹守遵行這書上所寫的一切話
[00:01:39.560 --> 00:01:43.080]  如此你的道路就可以亨通
[00:01:43.080 --> 00:01:44.120]  凡事順利
[00:01:44.120 --> 00:01:46.920]  你當剛強壯膽
[00:01:46.920 --> 00:01:48.640]  不要懼怕
[00:01:48.640 --> 00:01:50.000]  也不要驚慌
[00:01:50.000 --> 00:01:52.480]  因為你無論往哪裏去
[00:01:52.480 --> 00:01:54.560]  也會說你的神
[00:01:54.560 --> 00:01:57.240]  必與你同在
[00:01:59.600 --> 00:02:03.800]  這個世界是有些瘋狂失序
[00:02:03.800 --> 00:02:05.240]  你說是不是
[00:02:05.240 --> 00:02:08.360]  人不分紅做白
[00:02:08.360 --> 00:02:12.240]  是去攻擊其他的人
[00:02:12.240 --> 00:02:17.320]  人被人所造成的痛苦的歷史
[00:02:17.320 --> 00:02:19.640]  是很漫長的
[00:02:19.640 --> 00:02:23.160]  我們很多時候都感覺到無能為力
[00:02:23.160 --> 00:02:23.800]  你說是不是
[00:02:23.800 --> 00:02:27.320]  或者不少人真的會這樣想
[00:02:27.800 --> 00:02:29.080]  或者你也會這樣想
[00:02:29.080 --> 00:02:31.920]  但我認為在這個世界當中
[00:02:31.920 --> 00:02:33.680]  在天父創造的世界當中
[00:02:33.680 --> 00:02:35.520]  仍然是有秩序
[00:02:35.520 --> 00:02:39.000]  是要有品格的秩序
[00:02:39.000 --> 00:02:42.640]  我們要關注我們是怎樣的人
[00:02:42.640 --> 00:02:44.960]  是哪一種類的人
[00:02:44.960 --> 00:02:47.000]  我們是有什麼品格
[00:02:47.000 --> 00:02:51.720]  所以在今天的崇拜的聽道當中
[00:02:51.720 --> 00:02:53.680]  我希望我們能夠思想
[00:02:53.680 --> 00:02:58.600]  我們靈性和品格成熟的問題
[00:02:58.600 --> 00:03:00.840]  我們會說到品格
[00:03:00.840 --> 00:03:03.680]  我們會集中多一點講到勇氣
[00:03:03.680 --> 00:03:06.080]  在這段日子當中
[00:03:06.080 --> 00:03:08.120]  我重重複複說
[00:03:08.120 --> 00:03:12.160]  這篇第一篇重要的金句
[00:03:12.160 --> 00:03:14.480]  因為是我這段日子
[00:03:14.480 --> 00:03:17.400]  所常常思想的金句
[00:03:17.400 --> 00:03:18.920]  是印在我心靈裏面
[00:03:18.920 --> 00:03:21.800]  所和你們分享聖經話語的重要
[00:03:22.480 --> 00:03:24.840]  我們記得詩人的講話
