
[00:00:00.000 --> 00:00:03.040]  六月份是教會的猜傳月
[00:00:03.040 --> 00:00:05.040]  在宣教的工作上
[00:00:05.040 --> 00:00:10.960]  猜者和傳者同樣很重要
[00:00:10.960 --> 00:00:14.560]  猜者是指教會
[00:00:14.560 --> 00:00:18.000]  傳者是宣教士
[00:00:18.000 --> 00:00:20.960]  兩者的關係非常密切
[00:00:20.960 --> 00:00:24.640]  如果兩方面都能夠彼此緊密聯繫
[00:00:24.640 --> 00:00:26.360]  彼此配搭
[00:00:26.360 --> 00:00:32.920]  確實可以將福音帶給更多人信耶穌
[00:00:32.920 --> 00:00:36.280]  福音的果效可以更好
[00:00:36.280 --> 00:00:40.520]  今日我很想和大家分享一間教會
[00:00:40.520 --> 00:00:43.080]  是一間很蒙福的教會
[00:00:43.080 --> 00:00:46.400]  名稱叫做安提柯
[00:00:46.400 --> 00:00:54.440]  我稱呼這間教會為「祝福萬民」的教會
[00:00:54.440 --> 00:00:57.920]  他們在猜者和傳者的角色上
[00:00:57.920 --> 00:01:01.040]  都擔任得非常稱職
[00:01:01.040 --> 00:01:04.240]  或者我先講一些背景資料
[00:01:04.240 --> 00:01:06.440]  以至大家能夠明白
[00:01:06.440 --> 00:01:11.240]  這間安提柯教會是怎樣的教會
[00:01:11.240 --> 00:01:13.840]  在《使徒行傳》第八章記載
[00:01:13.840 --> 00:01:16.040]  當時提反殉道之後
[00:01:16.040 --> 00:01:19.520]  在耶路撒冷的教會大遭逼迫
[00:01:19.520 --> 00:01:20.800]  當時的門徒
[00:01:20.800 --> 00:01:24.680]  他們被逼北分散到不同的地方
[00:01:24.680 --> 00:01:28.640]  但他們仍然努力將福音傳開
[00:01:28.640 --> 00:01:32.400]  在十一章十九至二十一節提到
[00:01:32.400 --> 00:01:33.720]  當時的門徒
[00:01:33.720 --> 00:01:39.120]  他們去到腓力基、居比路和安提柯
[00:01:39.120 --> 00:01:42.600]  但當時的門徒仍然以福音對象
[00:01:42.600 --> 00:01:45.320]  就是以猶太人為主
[00:01:45.320 --> 00:01:48.760]  後來有居比路和古里內人
[00:01:48.760 --> 00:01:50.960]  他們去到安提柯
[00:01:50.960 --> 00:01:54.080]  他們突破了一些慣常的傳統
[00:01:54.080 --> 00:01:57.800]  他們就將福音傳給希臘人
[00:01:57.800 --> 00:02:00.080]  於是安提柯教會
[00:02:00.080 --> 00:02:02.440]  就在《使徒行傳》裏面記載
[00:02:02.440 --> 00:02:09.440]  第一間由猶太人和愛邦人組成的教會
[00:02:09.440 --> 00:02:13.760]  安提柯本身在當時的羅馬帝國
[00:02:13.760 --> 00:02:17.640]  是屬於最繁榮熱鬧的城市之一
[00:02:17.640 --> 00:02:23.160]  它的位置地位僅次於羅馬和亞歷山大
[00:02:23.160 --> 00:02:26.720]  在《使徒行傳》十一章二十二至二十六節
[00:02:26.720 --> 00:02:30.000]  這樣去形容安提柯教會的弟兄姊妹
[00:02:30.000 --> 00:02:34.640]  形容到他們很樂意來努力傳揚福音
[00:02:34.640 --> 00:02:37.840]  帶領了很多人來歸向神
[00:02:37.840 --> 00:02:41.080]  所以在當時耶路撒冷的教會領袖
[00:02:41.080 --> 00:02:43.040]  他們聽見這個消息
[00:02:43.040 --> 00:02:47.880]  他們就馬上差派巴拿巴去安提柯教會
[00:02:47.880 --> 00:02:51.840]  希望可以了解一下情況
[00:02:51.840 --> 00:02:54.960]  當巴拿巴去到安提柯教會的時候
[00:02:54.960 --> 00:02:57.440]  他就看見神的恩典
[00:02:57.440 --> 00:03:01.160]  確實很豐富淋到這間教會的身上
[00:03:01.160 --> 00:03:06.120]  後來巴拿巴自己都留下來一起服事
[00:03:06.120 --> 00:03:07.720]  過了一段日子
[00:03:07.720 --> 00:03:10.640]  巴拿巴可能覺得在侍奉的安排上
[00:03:10.640 --> 00:03:12.720]  很需要找幫手
[00:03:12.720 --> 00:03:14.880]  所以他就想起一個人
[00:03:14.880 --> 00:03:17.080]  這個人就是掃羅
[00:03:17.080 --> 00:03:20.600]  即是我們後來稱為的保羅
