
[00:00:00.000 --> 00:00:02.000]  世英前平安
[00:00:02.000 --> 00:00:06.560]  這幾天這麼熱,有沒有熱到病?
[00:00:06.560 --> 00:00:09.200]  站在這裡也有點頭暈
[00:00:09.200 --> 00:00:11.200]  希望不會待會睡在這裡
[00:00:11.200 --> 00:00:15.520]  我們一起禱告預備心靈
[00:00:15.520 --> 00:00:18.720]  去聆聽上主的說話
[00:00:18.720 --> 00:00:21.680]  主在這幾天這麼酷熱的天氣下
[00:00:21.680 --> 00:00:24.640]  求主保守我們的身體
[00:00:24.640 --> 00:00:26.880]  也保守我們的心靈
[00:00:26.880 --> 00:00:30.080]  叫我們能夠常常的預備好
[00:00:30.080 --> 00:00:32.320]  去領受祢的幫助
[00:00:32.320 --> 00:00:34.320]  領受祢的恩典
[00:00:34.320 --> 00:00:37.680]  求主祢在這一陣子時間與我們同在
[00:00:37.680 --> 00:00:38.960]  幫助我們
[00:00:38.960 --> 00:00:42.800]  讓我們心靈都聽到祢的說話
[00:00:42.800 --> 00:00:46.640]  又叫我口中的言語心裡的思念
[00:00:46.640 --> 00:00:49.280]  當說出來的時候就成為祢的道
[00:00:49.280 --> 00:00:51.280]  去幫助弟兄姊妹
[00:00:51.280 --> 00:00:53.280]  我們禱告、交託、仰望
[00:00:53.280 --> 00:00:55.680]  是奉主耶穌基督的名字祈求
[00:00:55.680 --> 00:00:58.160]  阿門
[00:00:58.160 --> 00:01:01.760]  今天我想和大家一起看看
[00:01:01.760 --> 00:01:05.280]  《經》課裡面的
[00:01:05.280 --> 00:01:14.880]  患十二年血流的婦女那一段的記載
[00:01:14.880 --> 00:01:18.720]  我想大家都很熟悉這段經文
[00:01:18.720 --> 00:01:21.760]  一個婦女患了十二年的血流
[00:01:21.760 --> 00:01:25.600]  或者在《新易和修本》裡面就說
[00:01:25.600 --> 00:01:28.160]  經血不止十二年
[00:01:28.160 --> 00:01:32.160]  她就偷偷在耶穌的背後
[00:01:32.160 --> 00:01:37.520]  想摸一摸耶穌的衣裳、衣裳、鎚子或三角
[00:01:37.520 --> 00:01:40.400]  想著摸一摸就會康復
[00:01:40.400 --> 00:01:43.200]  就會痊癒
[00:01:43.200 --> 00:01:45.040]  她真的痊癒
[00:01:45.040 --> 00:01:49.840]  而耶穌就轉身來問婦人
[00:01:49.840 --> 00:01:51.360]  或者我們今天的講題
[00:01:51.360 --> 00:01:54.800]  「放心,你的信治好你了」
[00:01:54.800 --> 00:01:56.560]  或者在《和本》裡面就譯作
[00:01:56.560 --> 00:02:00.960]  「放心,你的信救了你了」
[00:02:00.960 --> 00:02:04.720]  我稍後也會解釋一下這些用語的問題
[00:02:04.720 --> 00:02:06.160]  在《馬太福音》裡面
[00:02:06.160 --> 00:02:10.560]  其實有很多內容是重揀的
[00:02:10.560 --> 00:02:12.720]  如果大家想再了解一下
[00:02:12.720 --> 00:02:16.400]  譬如婦女在十二年的經驗等等
[00:02:16.400 --> 00:02:21.040]  你可以看《馬可福音》或《路加福音》同樣的記載
