
[00:00:00.000 --> 00:00:02.680]  丁姐妹 又見面了
[00:00:02.680 --> 00:00:06.720]  未試過連續見三次
[00:00:06.720 --> 00:00:10.720]  我希望我們懷著一個很開心的心情
[00:00:10.720 --> 00:00:12.440]  今天我很開心
[00:00:12.440 --> 00:00:15.720]  看到穿得很鮮艷
[00:00:15.720 --> 00:00:17.880]  很活潑的兒童師班
[00:00:17.880 --> 00:00:20.000]  比起在十六號晚上
[00:00:20.000 --> 00:00:21.440]  我覺得你更加投入
[00:00:21.440 --> 00:00:24.200]  更加能夠將那種歡樂氣氛
[00:00:24.200 --> 00:00:25.840]  展現出來
[00:00:25.840 --> 00:00:28.240]  小朋友 你們是夢幅的
[00:00:29.120 --> 00:00:30.320]  我很開心
[00:00:30.320 --> 00:00:32.640]  因為看到很多不同的丁姐妹
[00:00:32.640 --> 00:00:36.000]  不僅是從海外回來香港
[00:00:36.000 --> 00:00:38.240]  短暫旅遊的丁姐妹
[00:00:38.240 --> 00:00:40.720]  繼續在我們當中敬拜侍奉
[00:00:40.720 --> 00:00:42.160]  更加有姿堂
[00:00:42.160 --> 00:00:44.680]  甚至有堂的丁姐妹執事
[00:00:44.680 --> 00:00:46.240]  在我們當中敬拜
[00:00:46.240 --> 00:00:48.680]  更加有很久沒見的丁姐妹
[00:00:48.680 --> 00:00:51.920]  你今天在聖誕崇拜當中一起出現
[00:00:51.920 --> 00:00:54.840]  因為是我們的救主
[00:00:54.840 --> 00:00:59.760]  紀念祂生日降生的大好日子
[00:00:59.760 --> 00:01:01.440]  你和我都應該
[00:01:01.440 --> 00:01:04.280]  不僅是今天去紀念祂
[00:01:04.280 --> 00:01:06.760]  甚至可以說是我們一生一世
[00:01:06.760 --> 00:01:09.200]  都要謹記一個重要日子
[00:01:09.200 --> 00:01:11.360]  這是我們的使命
[00:01:11.360 --> 00:01:13.440]  這是我們不能夠忘記的
[00:01:13.440 --> 00:01:16.920]  不過坊間不一定是這樣看
[00:01:16.920 --> 00:01:18.200]  想給大家看看
[00:01:18.200 --> 00:01:19.960]  最近認識了一首詩歌
[00:01:19.960 --> 00:01:22.320]  叫《叮叮噹》
[00:01:23.120 --> 00:01:26.120]  叮叮噹 叮叮噹 鐘聲四處響
[00:01:26.120 --> 00:01:27.360]  這樣唱
[00:01:27.360 --> 00:01:29.880]  看歌詞我不和大家唱了
[00:01:29.880 --> 00:01:32.160]  下半節
[00:01:32.160 --> 00:01:37.280]  很開心
[00:01:37.280 --> 00:01:38.720]  很多人在街上
[00:01:38.720 --> 00:01:40.400]  霓虹光館
[00:01:40.400 --> 00:01:42.920]  燈飾亮在兩邊
[00:01:42.920 --> 00:01:44.280]  街道很長
[00:01:44.280 --> 00:01:46.560]  大家在四望
[00:01:46.560 --> 00:01:47.760]  大家很開心
[00:01:47.760 --> 00:01:48.880]  大家在拍照
[00:01:49.720 --> 00:01:53.480]  很希望能夠懷念記住這個日子
[00:01:53.480 --> 00:01:57.720]  以上這首普通的聖誕歌
[00:01:57.720 --> 00:01:59.680]  原來是由小朋友唱出來的
[00:01:59.680 --> 00:02:01.200]  可以這麼說
[00:02:01.200 --> 00:02:02.200]  我個人來說
[00:02:02.200 --> 00:02:04.000]  覺得它的旋律
[00:02:04.000 --> 00:02:05.440]  歌詞
[00:02:05.440 --> 00:02:06.720]  又輕快
[00:02:06.720 --> 00:02:08.040]  算是優美的
[00:02:08.040 --> 00:02:13.480]  歌詞都包含了不少正向的字眼
[00:02:13.480 --> 00:02:15.680]  例如快樂
